Time,T_IS_P,T_IS_AO,T_IS_AI,T_IS_D,T_AO_AI,T_AO_FP,T_AI_DI
0,0.240,0.163,0.029,0.019,0.269,0.126,0.018
1,0.096,0.087,0.032,0.027,0.105,0.059,0.043
2,0.067,0.065,0.031,0.029,0.094,0.037,0.041
3,0.062,0.068,0.034,0.032,0.083,0.037,0.044
4,0.055,0.067,0.040,0.040,0.081,0.038,0.048
5,0.051,0.063,0.046,0.044,0.066,0.040,0.050
6,0.044,0.057,0.053,0.048,0.058,0.043,0.054
7,0.055,0.086,0.060,0.050,0.045,0.040,0.046
8,0.042,0.057,0.065,0.049,0.028,0.037,0.051
9,0.029,0.043,0.072,0.050,0.021,0.035,0.042
10,0.037,0.059,0.063,0.046,0.018,0.033,0.043
11,0.026,0.032,0.065,0.045,0.018,0.029,0.043
12,0.015,0.022,0.055,0.043,0.013,0.026,0.041
13,0.012,0.015,0.051,0.039,0.011,0.026,0.033
14,0.013,0.019,0.044,0.035,0.008,0.024,0.037
15,0.013,0.015,0.034,0.034,0.007,0.023,0.028
16,0.009,0.008,0.032,0.028,0.006,0.020,0.029
17,0.007,0.006,0.026,0.026,0.006,0.019,0.027
18,0.006,0.005,0.020,0.027,0.006,0.019,0.024
19,0.005,0.004,0.015,0.022,0.004,0.017,0.022
20,0.005,0.005,0.013,0.020,0.005,0.015,0.015
21,0.005,0.004,0.009,0.018,0.004,0.014,0.015
22,0.005,0.004,0.008,0.019,0.003,0.013,0.014
23,0.004,0.002,0.010,0.016,0.005,0.012,0.013
24,0.004,0.002,0.007,0.014,0.002,0.013,0.015
25,0.004,0.002,0.007,0.012,0.002,0.011,0.010
26,0.003,0.002,0.005,0.011,0.003,0.010,0.011
27,0.004,0.002,0.007,0.010,0.003,0.010,0.010
28,0.003,0.002,0.006,0.011,0.001,0.010,0.007
29,0.003,0.002,0.004,0.009,0.001,0.009,0.012
30,0.003,0.002,0.004,0.007,0.002,0.008,0.008
31,0.004,0.003,0.006,0.009,0.002,0.007,0.011
32,0.003,0.002,0.004,0.008,0.002,0.008,0.007
33,0.002,0.002,0.004,0.007,0.001,0.007,0.006
34,0.002,0.001,0.003,0.006,0.001,0.007,0.006
35,0.002,0.001,0.002,0.006,0.001,0.007,0.005
36,0.002,0.001,0.002,0.005,0.002,0.007,0.005
37,0.002,0.001,0.003,0.006,0.000,0.006,0.005
38,0.002,0.001,0.002,0.006,0.001,0.005,0.002
39,0.002,0.001,0.002,0.004,0.001,0.005,0.002
40,0.002,0.001,0.001,0.003,0.001,0.005,0.005
41,0.001,0.001,0.002,0.004,0.002,0.005,0.002
42,0.002,0.001,0.001,0.003,0.001,0.005,0.003
43,0.001,0.001,0.002,0.004,0.001,0.004,0.003
44,0.001,0.001,0.002,0.004,0.001,0.004,0.004
45,0.001,0.001,0.001,0.003,0.001,0.004,0.003
46,0.001,0.001,0.001,0.003,0.000,0.003,0.004
47,0.001,0.000,0.000,0.003,0.000,0.003,0.004
48,0.001,0.001,0.002,0.003,0.000,0.004,0.002
49,0.001,0.001,0.001,0.003,0.000,0.003,0.003
50,0.001,0.001,0.002,0.003,0.001,0.003,0.003
51,0.001,0.001,0.001,0.002,0.000,0.003,0.002
52,0.001,0.000,0.002,0.002,0.001,0.003,0.001
53,0.001,0.000,0.000,0.002,0.000,0.003,0.002
54,0.001,0.000,0.000,0.002,0.000,0.002,0.002
55,0.001,0.000,0.001,0.002,0.001,0.003,0.002
56,0.001,0.000,0.000,0.001,0.001,0.002,0.001
57,0.001,0.000,0.000,0.001,0.000,0.002,0.003
58,0.001,0.000,0.000,0.001,0.001,0.002,0.003
59,0.001,0.000,0.000,0.002,0.000,0.002,0.001
60,0.001,0.000,0.000,0.001,0.000,0.002,0.000
61,0.001,0.000,0.000,0.002,0.000,0.002,0.001
62,0.001,0.000,0.000,0.001,0.000,0.002,0.001
63,0.001,0.000,0.001,0.001,0.000,0.001,0.001
64,0.001,0.000,0.000,0.001,0.000,0.002,0.001
65,0.001,0.000,0.000,0.001,0.000,0.001,0.001
66,0.001,0.000,0.000,0.001,0.000,0.001,0.000
67,0.001,0.000,0.001,0.001,0.000,0.001,0.000
68,0.001,0.000,0.000,0.000,0.001,0.001,0.001
69,0.001,0.000,0.001,0.001,0.000,0.001,0.001
70,0.001,0.000,0.000,0.001,0.000,0.001,0.000
71,0.001,0.000,0.000,0.000,0.000,0.001,0.000
72,0.001,0.000,0.000,0.000,0.000,0.001,0.000
73,0.001,0.000,0.000,0.001,0.000,0.001,0.000
74,0.001,0.000,0.001,0.000,0.000,0.001,0.001
75,0.001,0.000,0.000,0.001,0.000,0.001,0.000
76,0.001,0.000,0.000,0.000,0.000,0.001,0.000
77,0.001,0.000,0.000,0.001,0.000,0.001,0.001
78,0.001,0.000,0.000,0.000,0.000,0.001,0.001
79,0.001,0.000,0.000,0.000,0.000,0.001,0.000
80,0.001,0.000,0.000,0.000,0.000,0.000,0.001
81,0.001,0.000,0.000,0.000,0.000,0.000,0.000
82,0.001,0.000,0.000,0.000,0.000,0.000,0.000
83,0.001,0.000,0.000,0.000,0.000,0.000,0.000
84,0.001,0.000,0.000,0.000,0.000,0.000,0.000
85,0.001,0.000,0.000,0.000,0.000,0.000,0.000
86,0.001,0.000,0.000,0.000,0.000,0.000,0.000
87,0.001,0.000,0.000,0.000,0.000,0.000,0.000
88,0.001,0.000,0.000,0.000,0.000,0.000,0.000
89,0.001,0.000,0.000,0.000,0.000,0.000,0.000
90,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91,0.000,0.000,0.000,0.000,0.000,0.000,0.000
92,0.000,0.000,0.000,0.000,0.000,0.000,0.000
93,0.001,0.000,0.000,0.000,0.000,0.000,0.000
94,0.000,0.000,0.000,0.000,0.000,0.000,0.000
95,0.000,0.000,0.000,0.000,0.000,0.000,0.000
96,0.001,0.000,0.000,0.000,0.000,0.000,0.000
97,0.000,0.000,0.000,0.000,0.000,0.000,0.000
98,0.000,0.000,0.000,0.000,0.000,0.000,0.000
99,0.000,0.000,0.000,0.000,0.000,0.000,0.000
100,0.000,0.000,0.000,0.000,0.000,0.000,0.000
