date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,-1
2020-02-28,0
2020-02-29,0
2020-03-01,-1
2020-03-02,-1
2020-03-03,0
2020-03-04,0
2020-03-05,-1
2020-03-06,4
2020-03-07,-1
2020-03-08,-1
2020-03-09,5
2020-03-10,10
2020-03-11,8
2020-03-12,14
2020-03-13,12
2020-03-14,15
2020-03-15,18
2020-03-16,17
2020-03-17,17
2020-03-18,16
2020-03-19,43
2020-03-20,25
2020-03-21,26
2020-03-22,34
2020-03-23,35
2020-03-24,39
2020-03-25,41
2020-03-26,53
2020-03-27,56
2020-03-28,50
2020-03-29,55
2020-03-30,55
2020-03-31,56
2020-04-01,73
2020-04-02,80
2020-04-03,92
2020-04-04,91
2020-04-05,86
2020-04-06,111
2020-04-07,82
2020-04-08,81
2020-04-09,111
2020-04-10,120
2020-04-11,143
2020-04-12,168
2020-04-13,153
2020-04-14,140
2020-04-15,165
2020-04-16,154
2020-04-17,149
2020-04-18,158
2020-04-19,169
2020-04-20,164
2020-04-21,155
2020-04-22,154
2020-04-23,161
2020-04-24,181
2020-04-25,175
2020-04-26,168
2020-04-27,167
2020-04-28,146
2020-04-29,162
2020-04-30,161
2020-05-01,159
2020-05-02,141
2020-05-03,147
2020-05-04,110
2020-05-05,124
2020-05-06,103
2020-05-07,93
2020-05-08,93
2020-05-09,111
