date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,-1
2020-03-06,0
2020-03-07,0
2020-03-08,-1
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,-1
2020-03-13,-1
2020-03-14,-1
2020-03-15,0
2020-03-16,-1
2020-03-17,-1
2020-03-18,4
2020-03-19,8
2020-03-20,5
2020-03-21,8
2020-03-22,12
2020-03-23,28
2020-03-24,18
2020-03-25,24
2020-03-26,26
2020-03-27,32
2020-03-28,41
2020-03-29,41
2020-03-30,35
2020-03-31,52
2020-04-01,54
2020-04-02,62
2020-04-03,65
2020-04-04,68
2020-04-05,75
2020-04-06,83
2020-04-07,84
2020-04-08,87
2020-04-09,76
2020-04-10,93
2020-04-11,98
2020-04-12,93
2020-04-13,77
2020-04-14,88
2020-04-15,81
2020-04-16,76
2020-04-17,86
2020-04-18,74
2020-04-19,62
2020-04-20,59
2020-04-21,60
2020-04-22,63
2020-04-23,74
2020-04-24,61
2020-04-25,53
2020-04-26,55
2020-04-27,60
2020-04-28,48
2020-04-29,51
2020-04-30,60
2020-05-01,56
2020-05-02,61
2020-05-03,42
2020-05-04,46
2020-05-05,44
2020-05-06,41
2020-05-07,41
2020-05-08,40
2020-05-09,43
