date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,-1
2020-02-27,-1
2020-02-28,5
2020-02-29,0
2020-03-01,0
2020-03-02,-1
2020-03-03,7
2020-03-04,8
2020-03-05,8
2020-03-06,18
2020-03-07,14
2020-03-08,19
2020-03-09,17
2020-03-10,13
2020-03-11,28
2020-03-12,42
2020-03-13,46
2020-03-14,56
2020-03-15,33
2020-03-16,71
2020-03-17,64
2020-03-18,65
2020-03-19,68
2020-03-20,63
2020-03-21,93
2020-03-22,71
2020-03-23,79
2020-03-24,80
2020-03-25,105
2020-03-26,56
2020-03-27,77
2020-03-28,86
2020-03-29,54
2020-03-30,52
2020-03-31,69
2020-04-01,59
2020-04-02,90
2020-04-03,48
2020-04-04,75
2020-04-05,68
2020-04-06,37
2020-04-07,40
2020-04-08,83
2020-04-09,53
2020-04-10,97
2020-04-11,66
2020-04-12,45
2020-04-13,39
2020-04-14,44
2020-04-15,73
2020-04-16,71
2020-04-17,36
2020-04-18,64
2020-04-19,36
2020-04-20,53
2020-04-21,56
2020-04-22,32
2020-04-23,60
2020-04-24,47
2020-04-25,41
2020-04-26,20
2020-04-27,27
2020-04-28,63
2020-04-29,36
2020-04-30,26
2020-05-01,21
2020-05-02,22
2020-05-03,10
2020-05-04,16
2020-05-05,10
2020-05-06,26
2020-05-07,13
2020-05-08,11
2020-05-09,14
