date,cases
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,-1
2020-02-17,-1
2020-02-18,-1
2020-02-19,-1
2020-02-20,-1
2020-02-21,-1
2020-02-22,7
2020-02-23,8
2020-02-24,11
2020-02-25,15
2020-02-26,15
2020-02-27,20
2020-02-28,26
2020-02-29,24
2020-03-01,28
2020-03-02,35
2020-03-03,29
2020-03-04,30
2020-03-05,30
2020-03-06,41
2020-03-07,47
2020-03-08,32
2020-03-09,35
2020-03-10,42
2020-03-11,48
2020-03-12,44
2020-03-13,48
2020-03-14,43
2020-03-15,52
2020-03-16,40
2020-03-17,45
2020-03-18,54
2020-03-19,61
2020-03-20,57
2020-03-21,45
2020-03-22,61
2020-03-23,49
2020-03-24,59
2020-03-25,48
2020-03-26,52
2020-03-27,49
2020-03-28,56
2020-03-29,59
2020-03-30,61
2020-03-31,39
2020-04-01,45
2020-04-02,49
2020-04-03,50
2020-04-04,45
2020-04-05,53
2020-04-06,46
2020-04-07,41
2020-04-08,43
2020-04-09,53
2020-04-10,45
2020-04-11,43
2020-04-12,49
2020-04-13,42
2020-04-14,39
2020-04-15,38
2020-04-16,36
2020-04-17,35
2020-04-18,34
2020-04-19,36
2020-04-20,29
2020-04-21,27
2020-04-22,25
2020-04-23,24
2020-04-24,17
2020-04-25,23
2020-04-26,18
2020-04-27,24
2020-04-28,24
2020-04-29,24
2020-04-30,22
2020-05-01,12
2020-05-02,8
2020-05-03,5
2020-05-04,18
2020-05-05,8
2020-05-06,15
2020-05-07,9
2020-05-08,10
2020-05-09,4
