data,IQP_fqp,iqp_FQP
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,-1,0
2020-02-17,-1,0
2020-02-18,-1,0
2020-02-19,-1,0
2020-02-20,-1,-1
2020-02-21,-1,-1
2020-02-22,7,4
2020-02-23,6,-1
2020-02-24,11,0
2020-02-25,14,0
2020-02-26,13,4
2020-02-27,17,-1
2020-02-28,24,5
2020-02-29,23,11
2020-03-01,25,10
2020-03-02,35,10
2020-03-03,28,20
2020-03-04,28,17
2020-03-05,26,23
2020-03-06,38,20
2020-03-07,42,21
2020-03-08,32,31
2020-03-09,35,32
2020-03-10,39,39
2020-03-11,42,33
2020-03-12,41,39
2020-03-13,41,40
2020-03-14,41,31
2020-03-15,47,48
2020-03-16,37,40
2020-03-17,39,36
2020-03-18,47,42
2020-03-19,56,43
2020-03-20,54,49
2020-03-21,40,40
2020-03-22,54,49
2020-03-23,47,37
2020-03-24,53,49
2020-03-25,44,40
2020-03-26,48,48
2020-03-27,44,62
2020-03-28,50,45
2020-03-29,51,55
2020-03-30,57,47
2020-03-31,34,62
2020-04-01,39,37
2020-04-02,46,48
2020-04-03,43,40
2020-04-04,36,40
2020-04-05,51,35
2020-04-06,46,64
2020-04-07,37,57
2020-04-08,38,49
2020-04-09,47,44
2020-04-10,41,34
2020-04-11,38,42
2020-04-12,44,41
2020-04-13,39,53
2020-04-14,38,37
2020-04-15,32,34
2020-04-16,33,34
2020-04-17,29,39
2020-04-18,31,38
2020-04-19,31,38
2020-04-20,27,46
2020-04-21,26,37
2020-04-22,25,38
2020-04-23,22,30
2020-04-24,14,27
2020-04-25,17,17
2020-04-26,17,20
2020-04-27,19,21
2020-04-28,21,28
2020-04-29,22,22
2020-04-30,20,22
2020-05-01,11,19
2020-05-02,7,8
2020-05-03,5,17
2020-05-04,18,17
2020-05-05,7,16
2020-05-06,13,10
2020-05-07,9,11
2020-05-08,7,12
2020-05-09,4,15
2020-05-10,8,11
2020-05-11,6,14
2020-05-12,6,8
2020-05-13,7,13
2020-05-14,5,-1
2020-05-15,-1,-1
2020-05-16,4,5
2020-05-17,8,5
2020-05-18,7,8
2020-05-19,4,8
2020-05-20,-1,9
2020-05-21,4,6
2020-05-22,-1,-1
2020-05-23,-1,4
2020-05-24,4,5
2020-05-25,4,-1
2020-05-26,-1,4
2020-05-27,-1,6
2020-05-28,-1,-1
2020-05-29,0,-1
2020-05-30,-1,-1
2020-05-31,0,-1
2020-06-01,-1,0
2020-06-02,-1,-1
