data,IS_p_iqo_fqo_g,is_P_iqo_fqo_g,is_p_IQO_fqo_g,is_p_iqo_FQO_g,is_p_iqo_fqo_G
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,-1,-1,-1,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,-1,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,-1,-1,0,0
2020-03-05,-1,-1,-1,0,0
2020-03-06,4,0,0,0,0
2020-03-07,4,6,6,0,0
2020-03-08,4,-1,-1,0,0
2020-03-09,-1,-1,-1,0,0
2020-03-10,-1,-1,-1,0,0
2020-03-11,7,-1,-1,0,0
2020-03-12,6,-1,-1,-1,-1
2020-03-13,4,6,6,0,0
2020-03-14,-1,8,8,0,0
2020-03-15,-1,-1,-1,0,0
2020-03-16,-1,-1,-1,0,0
2020-03-17,9,6,6,0,0
2020-03-18,7,5,5,-1,-1
2020-03-19,7,7,7,0,0
2020-03-20,10,6,6,0,0
2020-03-21,7,12,12,0,0
2020-03-22,13,11,11,-1,-1
2020-03-23,6,7,7,-1,-1
2020-03-24,6,7,7,-1,-1
2020-03-25,16,10,10,-1,-1
2020-03-26,8,9,9,-1,-1
2020-03-27,5,13,13,-1,-1
2020-03-28,18,10,10,7,7
2020-03-29,12,11,11,7,7
2020-03-30,15,8,8,-1,-1
2020-03-31,11,13,13,6,6
2020-04-01,8,13,13,-1,-1
2020-04-02,8,12,12,-1,-1
2020-04-03,9,4,4,4,4
2020-04-04,9,14,14,8,8
2020-04-05,8,10,10,4,4
2020-04-06,13,6,6,7,7
2020-04-07,10,10,10,14,14
2020-04-08,8,8,8,8,8
2020-04-09,11,9,9,5,5
2020-04-10,9,14,14,8,8
2020-04-11,11,17,17,14,14
2020-04-12,8,5,5,8,8
2020-04-13,5,4,4,12,12
2020-04-14,6,6,6,12,12
2020-04-15,9,11,11,13,13
2020-04-16,8,9,9,12,12
2020-04-17,6,5,5,7,7
2020-04-18,5,13,13,13,13
2020-04-19,4,0,0,4,4
2020-04-20,11,-1,-1,10,10
2020-04-21,15,14,14,10,10
2020-04-22,5,6,6,6,6
2020-04-23,6,11,11,8,8
2020-04-24,8,11,11,11,11
2020-04-25,8,9,9,15,15
2020-04-26,-1,5,5,11,11
2020-04-27,4,-1,-1,8,8
2020-04-28,5,-1,-1,11,11
2020-04-29,4,4,4,8,8
2020-04-30,4,8,8,12,12
2020-05-01,5,4,4,11,11
2020-05-02,-1,4,4,10,10
2020-05-03,-1,-1,-1,8,8
2020-05-04,6,0,0,5,5
2020-05-05,4,6,6,-1,-1
2020-05-06,-1,5,5,8,8
2020-05-07,-1,5,5,5,5
2020-05-08,-1,-1,-1,9,9
2020-05-09,0,-1,-1,9,9
2020-05-10,-1,0,0,10,10
2020-05-11,-1,-1,-1,6,6
2020-05-12,4,-1,-1,5,5
2020-05-13,-1,6,6,-1,-1
2020-05-14,-1,4,4,8,8
2020-05-15,0,-1,-1,7,7
2020-05-16,-1,0,0,4,4
2020-05-17,-1,0,0,5,5
2020-05-18,4,4,4,-1,-1
2020-05-19,0,-1,-1,7,7
2020-05-20,-1,-1,-1,-1,-1
2020-05-21,-1,0,0,4,4
2020-05-22,-1,-1,-1,-1,-1
2020-05-23,0,0,0,-1,-1
2020-05-24,0,0,0,6,6
2020-05-25,0,-1,-1,-1,-1
2020-05-26,-1,0,0,-1,-1
2020-05-27,-1,-1,-1,-1,-1
2020-05-28,-1,-1,-1,-1,-1
2020-05-29,0,-1,-1,-1,-1
2020-05-30,-1,0,0,-1,-1
2020-05-31,0,-1,-1,-1,-1
2020-06-01,-1,-1,-1,-1,-1
2020-06-02,0,0,0,-1,-1
2020-06-03,0,0,0,-1,-1
2020-06-04,0,0,0,4,4
2020-06-05,0,0,0,-1,-1
2020-06-06,-1,0,0,0,0
2020-06-07,0,0,0,0,0
2020-06-08,-1,-1,-1,0,0
2020-06-09,0,0,0,-1,-1
2020-06-10,0,-1,-1,0,0
2020-06-11,0,0,0,0,0
2020-06-12,0,0,0,-1,-1
2020-06-13,0,0,0,0,0
2020-06-14,-1,0,0,-1,-1
2020-06-15,0,0,0,0,0
2020-06-16,0,0,0,-1,-1
2020-06-17,0,-1,-1,-1,-1
2020-06-18,0,0,0,-1,-1
2020-06-19,-1,0,0,0,0
2020-06-20,-1,-1,-1,0,0
2020-06-21,0,-1,-1,0,0
2020-06-22,0,0,0,0,0
2020-06-23,0,0,0,0,0
2020-06-24,0,0,0,0,0
2020-06-25,0,0,0,-1,-1
2020-06-26,0,0,0,-1,-1
2020-06-27,0,0,0,0,0
2020-06-28,0,0,0,0,0
2020-06-29,0,0,0,0,0
2020-06-30,-1,-1,-1,0,0
2020-07-01,0,0,0,0,0
2020-07-02,0,0,0,0,0
2020-07-03,0,0,0,-1,-1
2020-07-04,0,0,0,0,0
2020-07-05,0,0,0,0,0
2020-07-06,0,0,0,0,0
2020-07-07,0,0,0,0,0
2020-07-08,0,0,0,-1,-1
2020-07-09,0,0,0,0,0
2020-07-10,0,0,0,-1,-1
2020-07-11,0,0,0,0,0
2020-07-12,0,0,0,0,0
2020-07-13,0,0,0,0,0
2020-07-14,0,0,0,0,0
2020-07-15,0,0,0,0,0
2020-07-16,0,0,0,0,0
2020-07-17,0,0,0,-1,-1
2020-07-18,0,0,0,0,0
2020-07-19,0,0,0,0,0
2020-07-20,0,0,0,0,0
2020-07-21,0,0,0,0,0
2020-07-22,-1,0,0,0,0
2020-07-23,0,0,0,0,0
2020-07-24,-1,-1,-1,0,0
2020-07-25,0,-1,-1,0,0
2020-07-26,0,0,0,0,0
2020-07-27,0,0,0,0,0
2020-07-28,-1,0,0,0,0
2020-07-29,-1,0,0,0,0
2020-07-30,-1,5,5,0,0
2020-07-31,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-08-02,-1,0,0,0,0
2020-08-03,0,-1,-1,0,0
2020-08-04,0,0,0,0,0
2020-08-05,0,0,0,0,0
2020-08-06,0,0,0,0,0
2020-08-07,0,0,0,-1,-1
2020-08-08,0,0,0,0,0
2020-08-09,-1,-1,-1,-1,-1
2020-08-10,0,0,0,0,0
2020-08-11,-1,-1,-1,0,0
2020-08-12,0,0,0,0,0
2020-08-13,0,0,0,0,0
2020-08-14,0,-1,-1,0,0
2020-08-15,0,0,0,-1,-1
2020-08-16,-1,0,0,-1,-1
2020-08-17,0,0,0,0,0
2020-08-18,0,-1,-1,0,0
2020-08-19,0,0,0,-1,-1
2020-08-20,0,0,0,0,0
2020-08-21,-1,0,0,0,0
2020-08-22,4,-1,-1,0,0
2020-08-23,-1,-1,-1,-1,-1
2020-08-24,0,-1,-1,0,0
2020-08-25,0,-1,-1,-1,-1
2020-08-26,0,0,0,0,0
2020-08-27,-1,0,0,0,0
2020-08-28,-1,0,0,0,0
2020-08-29,0,-1,-1,-1,-1
2020-08-30,0,0,0,0,0
2020-08-31,-1,0,0,0,0
2020-09-01,0,-1,-1,0,0
2020-09-02,0,-1,-1,0,0
2020-09-03,0,0,0,-1,-1
2020-09-04,-1,0,0,0,0
2020-09-05,-1,-1,-1,0,0
2020-09-06,-1,0,0,0,0
2020-09-07,-1,-1,-1,-1,-1
2020-09-08,0,-1,-1,0,0
2020-09-09,0,0,0,0,0
2020-09-10,-1,0,0,-1,-1
2020-09-11,-1,-1,-1,-1,-1
2020-09-12,-1,-1,-1,-1,-1
2020-09-13,-1,-1,-1,-1,-1
2020-09-14,-1,-1,-1,-1,-1
2020-09-15,4,-1,-1,0,0
2020-09-16,-1,-1,-1,0,0
2020-09-17,-1,-1,-1,-1,-1
2020-09-18,-1,-1,-1,-1,-1
2020-09-19,-1,-1,-1,0,0
2020-09-20,-1,0,0,-1,-1
2020-09-21,0,0,0,-1,-1
2020-09-22,-1,-1,-1,0,0
2020-09-23,-1,0,0,0,0
2020-09-24,-1,5,5,-1,-1
2020-09-25,0,-1,-1,-1,-1
2020-09-26,0,0,0,-1,-1
2020-09-27,-1,-1,-1,-1,-1
2020-09-28,-1,0,0,-1,-1
2020-09-29,-1,-1,-1,0,0
2020-09-30,-1,-1,-1,4,4
2020-10-01,-1,4,4,-1,-1
2020-10-02,-1,-1,-1,-1,-1
2020-10-03,4,-1,-1,-1,-1
2020-10-04,4,-1,-1,-1,-1
2020-10-05,-1,4,4,-1,-1
2020-10-06,6,5,5,-1,-1
2020-10-07,6,5,5,-1,-1
2020-10-08,10,7,7,-1,-1
2020-10-09,-1,5,5,-1,-1
2020-10-10,13,10,10,-1,-1
2020-10-11,10,7,7,4,4
2020-10-12,13,9,9,0,0
2020-10-13,20,17,17,-1,-1
2020-10-14,25,10,10,0,0
2020-10-15,14,19,19,-1,-1
2020-10-16,15,22,22,-1,-1
2020-10-17,26,27,27,0,0
2020-10-18,28,16,16,-1,-1
2020-10-19,37,26,26,-1,-1
2020-10-20,30,21,21,4,4
2020-10-21,34,37,37,-1,-1
2020-10-22,42,46,46,4,4
2020-10-23,39,41,41,4,4
2020-10-24,31,43,43,6,6
2020-10-25,35,21,21,10,10
2020-10-26,53,37,37,6,6
2020-10-27,65,48,48,6,6
2020-10-28,53,60,60,7,7
2020-10-29,60,64,64,8,8
2020-10-30,48,53,53,13,13
2020-10-31,45,61,61,12,12
2020-11-01,55,27,27,18,18
2020-11-02,70,59,59,28,28
2020-11-03,86,64,64,10,10
2020-11-04,90,86,86,19,19
2020-11-05,89,83,83,30,30
2020-11-06,70,107,107,29,29
2020-11-07,69,70,70,38,38
2020-11-08,63,46,46,31,31
2020-11-09,73,67,67,29,29
2020-11-10,90,77,77,38,38
2020-11-11,93,86,86,45,45
2020-11-12,69,97,97,45,45
2020-11-13,78,99,99,38,38
2020-11-14,75,83,83,42,42
2020-11-15,55,41,41,57,57
2020-11-16,75,68,68,52,52
2020-11-17,84,81,81,58,58
2020-11-18,47,55,55,55,55
2020-11-19,62,78,78,53,53
2020-11-20,51,61,61,81,81
2020-11-21,31,49,49,65,65
