data,P_iqo_fqo_g,p_IQO_fqo_g,p_iqo_FQO_g,p_iqo_fqo_G
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,-1,-1,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,-1,-1,0,0
2020-03-03,-1,-1,0,0
2020-03-04,6,6,0,0
2020-03-05,7,7,0,0
2020-03-06,11,11,0,0
2020-03-07,13,13,0,0
2020-03-08,12,12,0,0
2020-03-09,13,13,0,0
2020-03-10,12,12,0,0
2020-03-11,37,37,0,0
2020-03-12,29,29,0,0
2020-03-13,37,37,0,0
2020-03-14,37,37,0,0
2020-03-15,22,22,0,0
2020-03-16,37,37,-1,-1
2020-03-17,44,44,-1,-1
2020-03-18,62,62,-1,-1
2020-03-19,41,41,5,5
2020-03-20,43,43,4,4
2020-03-21,75,75,-1,-1
2020-03-22,62,62,-1,-1
2020-03-23,74,74,10,10
2020-03-24,49,49,10,10
2020-03-25,76,76,15,15
2020-03-26,54,54,11,11
2020-03-27,85,85,23,23
2020-03-28,58,58,29,29
2020-03-29,45,45,24,24
2020-03-30,26,26,24,24
2020-03-31,49,49,37,37
2020-04-01,54,54,39,39
2020-04-02,52,52,35,35
2020-04-03,41,41,39,39
2020-04-04,52,52,43,43
2020-04-05,40,40,53,53
2020-04-06,21,21,53,53
2020-04-07,29,29,51,51
2020-04-08,58,58,56,56
2020-04-09,37,37,52,52
2020-04-10,45,45,69,69
2020-04-11,27,27,71,71
2020-04-12,29,29,72,72
2020-04-13,27,27,50,50
2020-04-14,16,16,62,62
2020-04-15,48,48,62,62
2020-04-16,44,44,50,50
2020-04-17,27,27,59,59
2020-04-18,26,26,45,45
2020-04-19,10,10,38,38
2020-04-20,32,32,40,40
2020-04-21,25,25,38,38
2020-04-22,24,24,43,43
2020-04-23,33,33,41,41
2020-04-24,29,29,45,45
2020-04-25,29,29,35,35
2020-04-26,14,14,33,33
2020-04-27,16,16,42,42
2020-04-28,26,26,30,30
2020-04-29,20,20,31,31
2020-04-30,34,34,43,43
2020-05-01,12,12,32,32
2020-05-02,23,23,30,30
2020-05-03,13,13,25,25
2020-05-04,15,15,30,30
2020-05-05,12,12,29,29
2020-05-06,13,13,25,25
2020-05-07,7,7,28,28
2020-05-08,13,13,29,29
2020-05-09,12,12,33,33
2020-05-10,-1,-1,26,26
2020-05-11,4,4,26,26
2020-05-12,9,9,20,20
2020-05-13,7,7,20,20
2020-05-14,13,13,20,20
2020-05-15,9,9,27,27
2020-05-16,5,5,28,28
2020-05-17,-1,-1,19,19
2020-05-18,5,5,19,19
2020-05-19,8,8,23,23
2020-05-20,-1,-1,9,9
2020-05-21,-1,-1,13,13
2020-05-22,6,6,18,18
2020-05-23,5,5,19,19
2020-05-24,-1,-1,10,10
2020-05-25,5,5,10,10
2020-05-26,5,5,9,9
2020-05-27,-1,-1,7,7
2020-05-28,6,6,8,8
2020-05-29,5,5,9,9
2020-05-30,4,4,9,9
2020-05-31,-1,-1,6,6
2020-06-01,4,4,5,5
2020-06-02,-1,-1,7,7
2020-06-03,-1,-1,5,5
2020-06-04,-1,-1,7,7
2020-06-05,-1,-1,-1,-1
2020-06-06,0,0,4,4
2020-06-07,0,0,-1,-1
2020-06-08,-1,-1,6,6
2020-06-09,-1,-1,5,5
2020-06-10,4,4,4,4
2020-06-11,6,6,-1,-1
2020-06-12,4,4,-1,-1
2020-06-13,5,5,4,4
2020-06-14,-1,-1,-1,-1
2020-06-15,-1,-1,4,4
2020-06-16,-1,-1,4,4
2020-06-17,0,0,-1,-1
2020-06-18,0,0,6,6
2020-06-19,-1,-1,-1,-1
2020-06-20,-1,-1,4,4
2020-06-21,-1,-1,-1,-1
2020-06-22,0,0,-1,-1
2020-06-23,-1,-1,-1,-1
2020-06-24,0,0,-1,-1
2020-06-25,-1,-1,4,4
2020-06-26,0,0,-1,-1
2020-06-27,-1,-1,0,0
2020-06-28,0,0,6,6
2020-06-29,-1,-1,-1,-1
2020-06-30,-1,-1,5,5
2020-07-01,-1,-1,4,4
2020-07-02,0,0,-1,-1
2020-07-03,-1,-1,6,6
2020-07-04,-1,-1,-1,-1
2020-07-05,0,0,0,0
2020-07-06,-1,-1,-1,-1
2020-07-07,-1,-1,-1,-1
2020-07-08,-1,-1,-1,-1
2020-07-09,-1,-1,0,0
2020-07-10,0,0,-1,-1
2020-07-11,0,0,0,0
2020-07-12,0,0,-1,-1
2020-07-13,-1,-1,-1,-1
2020-07-14,-1,-1,0,0
2020-07-15,-1,-1,0,0
2020-07-16,0,0,-1,-1
2020-07-17,0,0,-1,-1
2020-07-18,-1,-1,-1,-1
2020-07-19,0,0,-1,-1
2020-07-20,0,0,-1,-1
2020-07-21,0,0,0,0
2020-07-22,-1,-1,-1,-1
2020-07-23,0,0,-1,-1
2020-07-24,0,0,-1,-1
2020-07-25,0,0,-1,-1
2020-07-26,0,0,0,0
2020-07-27,-1,-1,-1,-1
2020-07-28,0,0,0,0
2020-07-29,-1,-1,0,0
2020-07-30,0,0,-1,-1
2020-07-31,-1,-1,-1,-1
2020-08-01,-1,-1,0,0
2020-08-02,0,0,0,0
2020-08-03,-1,-1,0,0
2020-08-04,-1,-1,-1,-1
2020-08-05,-1,-1,0,0
2020-08-06,-1,-1,0,0
2020-08-07,-1,-1,0,0
2020-08-08,-1,-1,-1,-1
2020-08-09,-1,-1,0,0
2020-08-10,-1,-1,0,0
2020-08-11,-1,-1,-1,-1
2020-08-12,-1,-1,0,0
2020-08-13,-1,-1,0,0
2020-08-14,-1,-1,0,0
2020-08-15,-1,-1,-1,-1
2020-08-16,0,0,0,0
2020-08-17,0,0,0,0
2020-08-18,0,0,0,0
2020-08-19,4,4,-1,-1
2020-08-20,-1,-1,-1,-1
2020-08-21,-1,-1,-1,-1
2020-08-22,4,4,-1,-1
2020-08-23,0,0,-1,-1
2020-08-24,-1,-1,-1,-1
2020-08-25,-1,-1,-1,-1
2020-08-26,-1,-1,0,0
2020-08-27,-1,-1,-1,-1
2020-08-28,7,7,4,4
2020-08-29,-1,-1,0,0
2020-08-30,0,0,-1,-1
2020-08-31,-1,-1,-1,-1
2020-09-01,6,6,0,0
2020-09-02,-1,-1,-1,-1
2020-09-03,-1,-1,0,0
2020-09-04,4,4,-1,-1
2020-09-05,-1,-1,-1,-1
2020-09-06,-1,-1,-1,-1
2020-09-07,-1,-1,-1,-1
2020-09-08,7,7,4,4
2020-09-09,-1,-1,-1,-1
2020-09-10,5,5,0,0
2020-09-11,4,4,6,6
2020-09-12,4,4,4,4
2020-09-13,-1,-1,-1,-1
2020-09-14,5,5,5,5
2020-09-15,5,5,-1,-1
2020-09-16,7,7,-1,-1
2020-09-17,16,16,5,5
2020-09-18,5,5,0,0
2020-09-19,6,6,-1,-1
2020-09-20,-1,-1,-1,-1
2020-09-21,-1,-1,5,5
2020-09-22,12,12,4,4
2020-09-23,4,4,-1,-1
2020-09-24,11,11,-1,-1
2020-09-25,-1,-1,0,0
2020-09-26,12,12,4,4
2020-09-27,4,4,5,5
2020-09-28,6,6,10,10
2020-09-29,-1,-1,-1,-1
2020-09-30,8,8,-1,-1
2020-10-01,9,9,8,8
2020-10-02,9,9,6,6
2020-10-03,10,10,6,6
2020-10-04,5,5,7,7
2020-10-05,11,11,7,7
2020-10-06,14,14,6,6
2020-10-07,24,24,10,10
2020-10-08,28,28,9,9
2020-10-09,31,31,-1,-1
2020-10-10,41,41,-1,-1
2020-10-11,15,15,4,4
2020-10-12,42,42,9,9
2020-10-13,44,44,8,8
2020-10-14,58,58,5,5
2020-10-15,57,57,4,4
2020-10-16,79,79,7,7
2020-10-17,75,75,5,5
2020-10-18,52,52,6,6
2020-10-19,73,73,6,6
2020-10-20,94,94,14,14
2020-10-21,116,116,11,11
2020-10-22,137,137,13,13
2020-10-23,126,126,14,14
2020-10-24,145,145,14,14
2020-10-25,93,93,27,27
2020-10-26,139,139,29,29
2020-10-27,155,155,37,37
