data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,4,94
2020-01-01,2020-04-30,0,341
2020-01-01,2020-04-30,6,46
2020-01-01,2020-04-30,7,61
2020-01-01,2020-04-30,12,25
2020-01-01,2020-04-30,1,234
2020-01-01,2020-04-30,11,37
2020-01-01,2020-04-30,3,118
2020-01-01,2020-04-30,2,148
2020-01-01,2020-04-30,10,31
2020-01-01,2020-04-30,17,13
2020-01-01,2020-04-30,22,5
2020-01-01,2020-04-30,33,2
2020-01-01,2020-04-30,8,42
2020-01-01,2020-04-30,5,66
2020-01-01,2020-04-30,15,17
2020-01-01,2020-04-30,13,15
2020-01-01,2020-04-30,31,4
2020-01-01,2020-04-30,18,15
2020-01-01,2020-04-30,41,2
2020-01-01,2020-04-30,9,34
2020-01-01,2020-04-30,19,12
2020-01-01,2020-04-30,14,24
2020-01-01,2020-04-30,20,10
2020-01-01,2020-04-30,16,18
2020-01-01,2020-04-30,21,10
2020-01-01,2020-04-30,36,1
2020-01-01,2020-04-30,26,5
2020-05-01,2020-08-29,57,1
2020-08-30,2020-12-28,29,1
2020-08-30,2020-12-28,23,4
2020-08-30,2020-12-28,35,1
2020-08-30,2020-12-28,54,2
2020-08-30,2020-12-28,30,4
2020-08-30,2020-12-28,32,1
2020-08-30,2020-12-28,27,5
2020-08-30,2020-12-28,37,1
2020-08-30,2020-12-28,25,6
2020-08-30,2020-12-28,48,1
2020-08-30,2020-12-28,39,1
2020-08-30,2020-12-28,44,1
2020-08-30,2020-12-28,34,2
2020-08-30,2020-12-28,28,1
