data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,0,5832
2020-01-01,2020-12-31,3,646
2020-01-01,2020-12-31,1,1810
2020-01-01,2020-12-31,17,159
2020-01-01,2020-12-31,59,20
2020-01-01,2020-12-31,5,463
2020-01-01,2020-12-31,6,390
2020-01-01,2020-12-31,11,222
2020-01-01,2020-12-31,20,124
2020-01-01,2020-12-31,54,24
2020-01-01,2020-12-31,4,551
2020-01-01,2020-12-31,2,1217
2020-01-01,2020-12-31,15,159
2020-01-01,2020-12-31,7,365
2020-01-01,2020-12-31,22,98
2020-01-01,2020-12-31,43,36
2020-01-01,2020-12-31,29,77
2020-01-01,2020-12-31,74,10
2020-01-01,2020-12-31,38,51
2020-01-01,2020-12-31,14,160
2020-01-01,2020-12-31,21,111
2020-01-01,2020-12-31,9,252
2020-01-01,2020-12-31,13,175
2020-01-01,2020-12-31,12,220
2020-01-01,2020-12-31,117,2
2020-01-01,2020-12-31,27,98
2020-01-01,2020-12-31,8,303
2020-01-01,2020-12-31,33,62
2020-01-01,2020-12-31,36,61
2020-01-01,2020-12-31,18,154
2020-01-01,2020-12-31,40,56
2020-01-01,2020-12-31,42,43
2020-01-01,2020-12-31,32,56
2020-01-01,2020-12-31,37,50
2020-01-01,2020-12-31,114,1
2020-01-01,2020-12-31,57,19
2020-01-01,2020-12-31,31,76
2020-01-01,2020-12-31,81,5
2020-01-01,2020-12-31,16,141
2020-01-01,2020-12-31,26,92
2020-01-01,2020-12-31,34,72
2020-01-01,2020-12-31,41,45
2020-01-01,2020-12-31,24,110
2020-01-01,2020-12-31,25,96
2020-01-01,2020-12-31,10,232
2020-01-01,2020-12-31,84,4
2020-01-01,2020-12-31,23,116
2020-01-01,2020-12-31,69,3
2020-01-01,2020-12-31,145,1
2020-01-01,2020-12-31,83,5
2020-01-01,2020-12-31,39,59
2020-01-01,2020-12-31,82,8
2020-01-01,2020-12-31,44,35
2020-01-01,2020-12-31,28,80
2020-01-01,2020-12-31,19,140
2020-01-01,2020-12-31,45,41
2020-01-01,2020-12-31,99,2
2020-01-01,2020-12-31,70,8
2020-01-01,2020-12-31,35,63
2020-01-01,2020-12-31,48,30
2020-01-01,2020-12-31,68,8
2020-01-01,2020-12-31,61,10
2020-01-01,2020-12-31,71,4
2020-01-01,2020-12-31,49,26
2020-01-01,2020-12-31,103,3
2020-01-01,2020-12-31,62,9
2020-01-01,2020-12-31,55,23
2020-01-01,2020-12-31,50,18
2020-01-01,2020-12-31,52,26
2020-01-01,2020-12-31,88,2
2020-01-01,2020-12-31,30,64
2020-01-01,2020-12-31,58,13
2020-01-01,2020-12-31,118,1
2020-01-01,2020-12-31,119,2
2020-01-01,2020-12-31,165,2
2020-01-01,2020-12-31,125,2
2020-01-01,2020-12-31,115,2
2020-01-01,2020-12-31,64,9
2020-01-01,2020-12-31,92,1
2020-01-01,2020-12-31,46,27
2020-01-01,2020-12-31,124,1
2020-01-01,2020-12-31,163,2
2020-01-01,2020-12-31,98,5
2020-01-01,2020-12-31,121,1
2020-01-01,2020-12-31,63,11
2020-01-01,2020-12-31,51,17
2020-01-01,2020-12-31,72,2
2020-01-01,2020-12-31,65,8
2020-01-01,2020-12-31,78,6
2020-01-01,2020-12-31,151,2
2020-01-01,2020-12-31,157,1
2020-01-01,2020-12-31,53,19
2020-01-01,2020-12-31,73,3
2020-01-01,2020-12-31,56,9
2020-01-01,2020-12-31,93,6
2020-01-01,2020-12-31,76,5
2020-01-01,2020-12-31,133,1
2020-01-01,2020-12-31,67,6
2020-01-01,2020-12-31,147,1
2020-01-01,2020-12-31,168,3
2020-01-01,2020-12-31,142,1
2020-01-01,2020-12-31,101,2
2020-01-01,2020-12-31,111,4
2020-01-01,2020-12-31,97,1
2020-01-01,2020-12-31,47,25
2020-01-01,2020-12-31,60,10
2020-01-01,2020-12-31,174,1
2020-01-01,2020-12-31,96,2
2020-01-01,2020-12-31,102,2
2020-01-01,2020-12-31,120,1
2020-01-01,2020-12-31,107,1
2020-01-01,2020-12-31,85,3
2020-01-01,2020-12-31,224,1
2020-01-01,2020-12-31,79,2
2020-01-01,2020-12-31,89,4
2020-01-01,2020-12-31,127,2
2020-01-01,2020-12-31,91,1
2020-01-01,2020-12-31,129,1
2020-01-01,2020-12-31,95,3
2020-01-01,2020-12-31,110,1
2020-01-01,2020-12-31,75,2
2020-01-01,2020-12-31,104,1
2020-01-01,2020-12-31,94,2
2020-01-01,2020-12-31,90,1
2020-01-01,2020-12-31,66,7
2020-01-01,2020-12-31,113,2
2020-01-01,2020-12-31,112,1
2020-01-01,2020-12-31,192,1
2020-01-01,2020-12-31,77,3
2020-01-01,2020-12-31,100,2
2020-01-01,2020-12-31,80,4
2020-01-01,2020-12-31,146,1
2020-01-01,2020-12-31,143,1
2020-01-01,2020-12-31,132,1
2020-01-01,2020-12-31,148,1
2020-01-01,2020-12-31,175,1
2020-01-01,2020-12-31,162,1
2020-01-01,2020-12-31,131,1
2020-01-01,2020-12-31,141,1
2020-01-01,2020-12-31,86,3
2020-01-01,2020-12-31,105,2
2020-01-01,2020-12-31,108,1
2020-01-01,2020-12-31,87,1
