data_inizio,data_fine,delay,frequenza_delay
2020-02-26,2020-03-04,6,912
2020-02-26,2020-03-04,10,754
2020-02-26,2020-03-04,2,628
2020-03-05,2020-03-12,23,127
2020-03-05,2020-03-12,64,14
2020-03-05,2020-03-12,7,932
2020-03-05,2020-03-12,14,251
2020-03-05,2020-03-12,9,936
2020-03-05,2020-03-12,66,9
2020-03-05,2020-03-12,11,433
2020-03-05,2020-03-12,8,946
2020-03-05,2020-03-12,22,120
2020-03-05,2020-03-12,3,781
2020-03-05,2020-03-12,4,1141
2020-03-05,2020-03-12,28,89
2020-03-05,2020-03-12,49,27
2020-03-05,2020-03-12,36,69
2020-03-05,2020-03-12,1,257
2020-03-05,2020-03-12,47,28
2020-03-05,2020-03-12,26,102
2020-03-05,2020-03-12,19,154
2020-03-05,2020-03-12,35,69
2020-03-05,2020-03-12,20,134
2020-03-05,2020-03-12,116,1
2020-03-13,2020-03-20,12,352
2020-03-13,2020-03-20,24,103
2020-03-13,2020-03-20,13,290
2020-03-13,2020-03-20,15,223
2020-03-13,2020-03-20,123,2
2020-03-13,2020-03-20,42,57
2020-03-13,2020-03-20,39,41
2020-03-13,2020-03-20,45,41
2020-03-13,2020-03-20,85,4
2020-03-13,2020-03-20,40,48
2020-03-13,2020-03-20,37,46
2020-03-13,2020-03-20,29,83
2020-03-13,2020-03-20,31,90
2020-03-13,2020-03-20,94,3
2020-03-13,2020-03-20,41,51
2020-03-13,2020-03-20,43,44
2020-03-13,2020-03-20,32,73
2020-03-13,2020-03-20,148,2
2020-03-13,2020-03-20,16,197
2020-03-13,2020-03-20,46,40
2020-03-13,2020-03-20,27,91
2020-03-13,2020-03-20,52,17
2020-03-13,2020-03-20,61,15
2020-03-13,2020-03-20,38,48
2020-03-21,2020-03-28,75,5
2020-03-21,2020-03-28,88,2
2020-03-21,2020-03-28,17,201
2020-03-21,2020-03-28,53,22
2020-03-21,2020-03-28,21,141
2020-03-21,2020-03-28,76,6
2020-03-21,2020-03-28,65,7
2020-03-21,2020-03-28,25,100
2020-03-21,2020-03-28,86,4
2020-03-21,2020-03-28,78,1
2020-03-21,2020-03-28,109,2
2020-03-21,2020-03-28,55,21
2020-03-21,2020-03-28,34,61
2020-03-21,2020-03-28,73,7
2020-03-21,2020-03-28,44,31
2020-03-21,2020-03-28,127,2
2020-03-29,2020-04-05,5,840
2020-03-29,2020-04-05,33,63
2020-03-29,2020-04-05,30,87
2020-03-29,2020-04-05,48,33
2020-03-29,2020-04-05,51,23
2020-03-29,2020-04-05,92,2
2020-03-29,2020-04-05,175,1
2020-03-29,2020-04-05,58,16
2020-03-29,2020-04-05,93,2
2020-03-29,2020-04-05,168,1
2020-03-29,2020-04-05,135,2
2020-03-29,2020-04-05,54,20
2020-03-29,2020-04-05,57,17
2020-03-29,2020-04-05,161,1
2020-04-06,2020-04-13,84,2
2020-04-06,2020-04-13,124,1
2020-04-06,2020-04-13,50,24
2020-04-06,2020-04-13,68,7
2020-04-06,2020-04-13,62,11
2020-04-06,2020-04-13,96,1
2020-04-06,2020-04-13,176,1
2020-04-06,2020-04-13,143,1
2020-04-06,2020-04-13,106,1
2020-04-06,2020-04-13,118,2
2020-04-06,2020-04-13,87,2
2020-04-06,2020-04-13,101,3
2020-04-06,2020-04-13,97,2
2020-04-06,2020-04-13,63,7
2020-04-06,2020-04-13,56,18
2020-04-06,2020-04-13,174,1
2020-04-06,2020-04-13,83,5
2020-04-14,2020-04-21,18,151
2020-04-14,2020-04-21,126,2
2020-04-14,2020-04-21,130,1
2020-04-14,2020-04-21,120,2
2020-04-14,2020-04-21,80,1
2020-04-14,2020-04-21,72,5
2020-04-14,2020-04-21,98,1
2020-04-14,2020-04-21,100,2
2020-04-14,2020-04-21,69,3
2020-04-14,2020-04-21,105,3
2020-04-14,2020-04-21,102,2
2020-04-14,2020-04-21,142,1
2020-04-22,2020-04-29,82,2
2020-04-22,2020-04-29,103,3
2020-04-22,2020-04-29,59,14
2020-04-22,2020-04-29,180,1
2020-04-22,2020-04-29,99,3
2020-04-22,2020-04-29,198,1
2020-04-22,2020-04-29,71,2
2020-04-22,2020-04-29,155,3
2020-04-22,2020-04-29,163,1
2020-04-22,2020-04-29,170,1
2020-04-22,2020-04-29,81,3
2020-04-22,2020-04-29,136,1
2020-04-30,2020-05-07,228,1
2020-04-30,2020-05-07,90,2
2020-04-30,2020-05-07,79,4
2020-05-08,2020-05-15,139,1
2020-05-08,2020-05-15,70,9
2020-05-08,2020-05-15,111,1
2020-05-08,2020-05-15,113,1
2020-05-08,2020-05-15,125,1
2020-05-16,2020-05-23,121,1
2020-05-16,2020-05-23,108,1
2020-05-24,2020-05-31,119,1
2020-06-01,2020-06-08,89,6
2020-06-01,2020-06-08,67,4
2020-06-09,2020-06-16,60,12
2020-06-09,2020-06-16,172,1
2020-06-09,2020-06-16,77,1
2020-07-11,2020-07-18,167,1
2020-08-20,2020-08-27,74,2
2020-09-05,2020-09-12,112,2
2020-09-13,2020-09-20,104,1
2020-09-13,2020-09-20,107,1
