data_inizio,data_fine,delay,frequenza_delay
2020-03-03,2020-04-02,23,18
2020-03-03,2020-04-02,2,112
2020-03-03,2020-04-02,6,145
2020-03-03,2020-04-02,66,1
2020-03-03,2020-04-02,9,147
2020-03-03,2020-04-02,36,19
2020-03-03,2020-04-02,1,87
2020-03-03,2020-04-02,26,18
2020-03-03,2020-04-02,123,1
2020-03-03,2020-04-02,35,16
2020-03-03,2020-04-02,19,32
2020-03-03,2020-04-02,0,151
2020-03-03,2020-04-02,22,11
2020-03-03,2020-04-02,10,109
2020-03-03,2020-04-02,5,145
2020-03-03,2020-04-02,64,4
2020-03-03,2020-04-02,13,47
2020-03-03,2020-04-02,11,56
2020-03-03,2020-04-02,32,15
2020-03-03,2020-04-02,12,66
2020-03-03,2020-04-02,75,1
2020-03-03,2020-04-02,44,7
2020-03-03,2020-04-02,88,1
2020-03-03,2020-04-02,30,12
2020-03-03,2020-04-02,61,3
2020-03-03,2020-04-02,17,29
2020-03-03,2020-04-02,42,9
2020-03-03,2020-04-02,53,2
2020-03-03,2020-04-02,15,30
2020-03-03,2020-04-02,29,9
2020-03-03,2020-04-02,78,2
2020-03-03,2020-04-02,21,20
2020-03-03,2020-04-02,16,28
2020-03-03,2020-04-02,20,24
2020-03-03,2020-04-02,25,11
2020-03-03,2020-04-02,34,14
2020-03-03,2020-04-02,43,6
2020-03-03,2020-04-02,47,8
2020-03-03,2020-04-02,58,3
2020-03-03,2020-04-02,50,4
2020-04-03,2020-05-03,3,119
2020-04-03,2020-05-03,48,5
2020-04-03,2020-05-03,28,16
2020-04-03,2020-05-03,84,2
2020-04-03,2020-05-03,24,15
2020-04-03,2020-05-03,57,5
2020-04-03,2020-05-03,40,10
2020-04-03,2020-05-03,45,3
2020-04-03,2020-05-03,31,21
2020-04-03,2020-05-03,76,2
2020-04-03,2020-05-03,27,18
2020-04-03,2020-05-03,60,2
2020-04-03,2020-05-03,176,1
2020-04-03,2020-05-03,87,1
2020-04-03,2020-05-03,33,15
2020-04-03,2020-05-03,180,1
2020-04-03,2020-05-03,62,2
2020-04-03,2020-05-03,49,6
2020-04-03,2020-05-03,93,1
2020-04-03,2020-05-03,54,6
2020-04-03,2020-05-03,18,22
2020-04-03,2020-05-03,99,1
2020-04-03,2020-05-03,56,4
2020-04-03,2020-05-03,65,1
2020-04-03,2020-05-03,74,1
2020-04-03,2020-05-03,118,1
2020-04-03,2020-05-03,67,2
2020-04-03,2020-05-03,82,2
2020-04-03,2020-05-03,163,1
2020-04-03,2020-05-03,102,1
2020-04-03,2020-05-03,38,7
2020-04-03,2020-05-03,105,1
2020-04-03,2020-05-03,126,1
2020-04-03,2020-05-03,81,1
2020-05-04,2020-06-03,8,137
2020-05-04,2020-06-03,14,40
2020-05-04,2020-06-03,79,1
2020-05-04,2020-06-03,37,2
2020-05-04,2020-06-03,39,5
2020-05-04,2020-06-03,46,3
2020-05-04,2020-06-03,125,1
2020-05-04,2020-06-03,155,1
2020-05-04,2020-06-03,108,1
2020-08-05,2020-09-04,7,133
2020-09-05,2020-10-05,41,5
2020-10-06,2020-11-05,72,1
2020-10-06,2020-11-05,51,3
2020-10-06,2020-11-05,73,1
2020-10-06,2020-11-05,59,2
2020-10-06,2020-11-05,55,2
2020-11-06,2020-12-06,52,2
2020-12-07,2021-01-06,4,172
