data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,12,31
2020-01-01,2020-04-30,30,1
2020-01-01,2020-04-30,5,46
2020-01-01,2020-04-30,0,35
2020-01-01,2020-04-30,17,13
2020-01-01,2020-04-30,9,57
2020-01-01,2020-04-30,8,64
2020-01-01,2020-04-30,3,56
2020-01-01,2020-04-30,6,59
2020-01-01,2020-04-30,4,53
2020-01-01,2020-04-30,1,27
2020-01-01,2020-04-30,16,13
2020-01-01,2020-04-30,22,4
2020-01-01,2020-04-30,7,54
2020-01-01,2020-04-30,31,7
2020-01-01,2020-04-30,10,51
2020-01-01,2020-04-30,45,2
2020-01-01,2020-04-30,13,22
2020-01-01,2020-04-30,18,12
2020-01-01,2020-04-30,15,16
2020-01-01,2020-04-30,2,30
2020-01-01,2020-04-30,11,37
2020-01-01,2020-04-30,23,4
2020-01-01,2020-04-30,26,6
2020-05-01,2020-08-29,14,18
2020-05-01,2020-08-29,20,6
2020-05-01,2020-08-29,21,5
2020-08-30,2020-12-28,32,3
2020-08-30,2020-12-28,34,2
2020-08-30,2020-12-28,25,5
2020-08-30,2020-12-28,49,1
2020-08-30,2020-12-28,37,1
2020-08-30,2020-12-28,38,1
2020-08-30,2020-12-28,35,3
2020-08-30,2020-12-28,24,5
2020-08-30,2020-12-28,19,7
2020-08-30,2020-12-28,27,1
2020-08-30,2020-12-28,40,1
2020-08-30,2020-12-28,46,1
2020-08-30,2020-12-28,47,1
2020-08-30,2020-12-28,33,1
2020-08-30,2020-12-28,36,1
