data_inizio,data_fine,delay,frequenza_delay
2020-02-14,2020-03-06,42,19
2020-02-14,2020-03-06,29,52
2020-02-14,2020-03-06,13,117
2020-03-07,2020-03-28,2,305
2020-03-07,2020-03-28,1,286
2020-03-07,2020-03-28,38,22
2020-03-07,2020-03-28,12,119
2020-03-07,2020-03-28,157,2
2020-03-07,2020-03-28,9,171
2020-03-07,2020-03-28,5,228
2020-03-07,2020-03-28,15,96
2020-03-07,2020-03-28,20,57
2020-03-07,2020-03-28,17,98
2020-03-07,2020-03-28,39,32
2020-03-07,2020-03-28,6,222
2020-03-07,2020-03-28,28,40
2020-03-07,2020-03-28,7,176
2020-03-07,2020-03-28,30,35
2020-03-07,2020-03-28,3,317
2020-03-07,2020-03-28,18,75
2020-03-07,2020-03-28,285,1
2020-03-07,2020-03-28,14,106
2020-03-07,2020-03-28,8,153
2020-03-07,2020-03-28,21,61
2020-03-07,2020-03-28,106,1
2020-03-07,2020-03-28,4,217
2020-03-07,2020-03-28,31,28
2020-03-07,2020-03-28,69,6
2020-03-07,2020-03-28,56,13
2020-03-07,2020-03-28,16,93
2020-03-07,2020-03-28,35,38
2020-03-07,2020-03-28,24,54
2020-03-07,2020-03-28,32,37
2020-03-07,2020-03-28,43,16
2020-03-07,2020-03-28,11,140
2020-03-07,2020-03-28,175,2
2020-03-07,2020-03-28,33,26
2020-03-07,2020-03-28,58,8
2020-03-07,2020-03-28,36,19
2020-03-07,2020-03-28,37,33
2020-03-07,2020-03-28,67,5
2020-03-07,2020-03-28,87,5
2020-03-07,2020-03-28,279,1
2020-03-07,2020-03-28,44,23
2020-03-07,2020-03-28,19,76
2020-03-07,2020-03-28,62,2
2020-03-07,2020-03-28,111,4
2020-03-07,2020-03-28,25,40
2020-03-07,2020-03-28,123,1
2020-03-07,2020-03-28,65,3
2020-03-07,2020-03-28,112,1
2020-03-07,2020-03-28,276,1
2020-03-07,2020-03-28,23,64
2020-03-07,2020-03-28,85,1
2020-03-07,2020-03-28,52,10
2020-03-29,2020-04-19,10,112
2020-03-29,2020-04-19,126,2
2020-03-29,2020-04-19,75,3
2020-03-29,2020-04-19,273,1
2020-03-29,2020-04-19,100,2
2020-03-29,2020-04-19,0,54
2020-03-29,2020-04-19,34,30
2020-03-29,2020-04-19,45,16
2020-03-29,2020-04-19,269,1
2020-03-29,2020-04-19,47,16
2020-03-29,2020-04-19,50,11
2020-03-29,2020-04-19,91,3
2020-03-29,2020-04-19,41,24
2020-03-29,2020-04-19,108,5
2020-03-29,2020-04-19,76,5
2020-03-29,2020-04-19,49,15
2020-03-29,2020-04-19,134,2
2020-03-29,2020-04-19,268,1
2020-03-29,2020-04-19,55,9
2020-03-29,2020-04-19,27,51
2020-03-29,2020-04-19,267,1
2020-03-29,2020-04-19,40,19
2020-03-29,2020-04-19,53,10
2020-03-29,2020-04-19,102,3
2020-03-29,2020-04-19,78,2
2020-03-29,2020-04-19,95,2
2020-03-29,2020-04-19,64,8
2020-03-29,2020-04-19,63,7
2020-03-29,2020-04-19,22,74
2020-03-29,2020-04-19,77,3
2020-03-29,2020-04-19,144,1
2020-03-29,2020-04-19,188,1
2020-03-29,2020-04-19,205,1
2020-03-29,2020-04-19,48,9
2020-03-29,2020-04-19,140,1
2020-03-29,2020-04-19,96,3
2020-03-29,2020-04-19,210,1
2020-03-29,2020-04-19,90,2
2020-03-29,2020-04-19,93,1
2020-03-29,2020-04-19,131,2
2020-03-29,2020-04-19,141,2
2020-03-29,2020-04-19,59,6
2020-03-29,2020-04-19,129,1
2020-03-29,2020-04-19,46,24
2020-03-29,2020-04-19,68,6
2020-03-29,2020-04-19,70,2
2020-03-29,2020-04-19,159,1
2020-03-29,2020-04-19,256,1
2020-03-29,2020-04-19,57,5
2020-03-29,2020-04-19,211,1
2020-03-29,2020-04-19,83,1
2020-03-29,2020-04-19,219,1
2020-03-29,2020-04-19,150,2
2020-03-29,2020-04-19,79,2
2020-03-29,2020-04-19,72,2
2020-03-29,2020-04-19,103,1
2020-03-29,2020-04-19,51,6
2020-03-29,2020-04-19,82,1
2020-03-29,2020-04-19,118,1
2020-03-29,2020-04-19,113,2
2020-03-29,2020-04-19,60,4
2020-03-29,2020-04-19,255,1
2020-03-29,2020-04-19,110,1
2020-03-29,2020-04-19,252,1
2020-03-29,2020-04-19,86,1
2020-03-29,2020-04-19,253,1
2020-04-20,2020-05-11,26,39
2020-04-20,2020-05-11,74,1
2020-04-20,2020-05-11,181,1
2020-04-20,2020-05-11,208,1
2020-04-20,2020-05-11,101,1
2020-04-20,2020-05-11,81,1
2020-04-20,2020-05-11,247,1
2020-04-20,2020-05-11,248,1
2020-04-20,2020-05-11,66,2
2020-04-20,2020-05-11,73,2
2020-04-20,2020-05-11,88,2
2020-04-20,2020-05-11,177,1
2020-04-20,2020-05-11,130,1
2020-04-20,2020-05-11,121,1
2020-05-12,2020-06-02,54,9
2020-05-12,2020-06-02,71,2
2020-05-12,2020-06-02,119,1
2020-06-03,2020-06-24,148,1
2020-06-03,2020-06-24,61,5
2020-06-03,2020-06-24,160,1
2020-06-03,2020-06-24,183,1
2020-08-30,2020-09-20,89,1
2020-08-30,2020-09-20,107,1
2020-09-21,2020-10-12,80,1
