data_inizio,data_fine,delay,frequenza_delay
2020-03-19,2020-03-20,3,3
2020-03-23,2020-03-24,48,2
2020-03-23,2020-03-24,15,2
2020-03-23,2020-03-24,28,1
2020-03-25,2020-03-26,59,1
2020-04-12,2020-04-13,17,2
2020-04-24,2020-04-25,11,7
2020-04-30,2020-05-01,2,2
2020-10-05,2020-10-06,33,2
2020-10-17,2020-10-18,39,2
2020-10-19,2020-10-20,53,1
2020-10-19,2020-10-20,16,1
2020-10-19,2020-10-20,8,2
2020-10-21,2020-10-22,30,1
2020-10-23,2020-10-24,6,3
2020-10-29,2020-10-30,5,4
2020-10-29,2020-10-30,1,4
2020-10-31,2020-11-01,7,2
2020-10-31,2020-11-01,35,1
2020-11-02,2020-11-03,9,2
2020-11-04,2020-11-05,23,1
2020-11-04,2020-11-05,14,1
2020-11-10,2020-11-11,10,2
2020-11-10,2020-11-11,41,1
2020-11-12,2020-11-13,31,1
2020-11-14,2020-11-15,27,1
2020-11-14,2020-11-15,45,1
2020-11-16,2020-11-17,43,2
2020-11-16,2020-11-17,34,1
2020-11-18,2020-11-19,40,1
2020-11-20,2020-11-21,13,2
2020-11-22,2020-11-23,21,1
2020-11-28,2020-11-29,29,1
2020-11-28,2020-11-29,18,1
2020-12-04,2020-12-05,25,1
