data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,8,15
2020-01-01,2020-04-30,2,41
2020-01-01,2020-04-30,3,37
2020-01-01,2020-04-30,28,9
2020-01-01,2020-04-30,26,7
2020-01-01,2020-04-30,41,6
2020-01-01,2020-04-30,0,52
2020-01-01,2020-04-30,4,28
2020-01-01,2020-04-30,50,1
2020-01-01,2020-04-30,19,11
2020-01-01,2020-04-30,43,4
2020-01-01,2020-04-30,17,15
2020-01-01,2020-04-30,18,12
2020-01-01,2020-04-30,6,21
2020-01-01,2020-04-30,12,14
2020-01-01,2020-04-30,22,6
2020-01-01,2020-04-30,7,20
2020-01-01,2020-04-30,9,21
2020-01-01,2020-04-30,14,13
2020-01-01,2020-04-30,23,6
2020-01-01,2020-04-30,5,27
2020-01-01,2020-04-30,27,9
2020-01-01,2020-04-30,1,65
2020-01-01,2020-04-30,13,15
2020-01-01,2020-04-30,39,3
2020-01-01,2020-04-30,10,17
2020-01-01,2020-04-30,31,5
2020-01-01,2020-04-30,15,13
2020-01-01,2020-04-30,37,5
2020-05-01,2020-08-29,11,13
2020-08-30,2020-12-28,16,16
2020-08-30,2020-12-28,21,5
2020-08-30,2020-12-28,30,9
2020-08-30,2020-12-28,33,2
2020-08-30,2020-12-28,24,7
2020-08-30,2020-12-28,20,5
2020-08-30,2020-12-28,35,5
2020-08-30,2020-12-28,62,1
2020-08-30,2020-12-28,29,9
2020-08-30,2020-12-28,25,4
2020-08-30,2020-12-28,58,1
2020-08-30,2020-12-28,56,1
2020-08-30,2020-12-28,52,3
2020-08-30,2020-12-28,36,2
2020-08-30,2020-12-28,48,2
2020-08-30,2020-12-28,44,2
2020-08-30,2020-12-28,34,5
2020-08-30,2020-12-28,45,2
2020-08-30,2020-12-28,47,1
2020-08-30,2020-12-28,32,1
2020-08-30,2020-12-28,49,1
2020-08-30,2020-12-28,40,2
2020-08-30,2020-12-28,38,1
2020-08-30,2020-12-28,42,1
