data_inizio,data_fine,delay,frequenza_delay
2020-02-28,2020-02-28,48,28
2020-03-06,2020-03-06,34,51
2020-03-06,2020-03-06,25,64
2020-03-07,2020-03-07,12,114
2020-03-08,2020-03-08,41,44
2020-03-09,2020-03-09,8,78
2020-03-10,2020-03-10,164,2
2020-03-10,2020-03-10,20,88
2020-03-10,2020-03-10,57,11
2020-03-11,2020-03-11,11,124
2020-03-12,2020-03-12,24,84
2020-03-12,2020-03-12,14,112
2020-03-12,2020-03-12,38,38
2020-03-13,2020-03-13,18,103
2020-03-13,2020-03-13,30,70
2020-03-14,2020-03-14,16,104
2020-03-14,2020-03-14,23,78
2020-03-14,2020-03-14,37,49
2020-03-15,2020-03-15,13,133
2020-03-15,2020-03-15,28,71
2020-03-15,2020-03-15,112,4
2020-03-15,2020-03-15,22,86
2020-03-16,2020-03-16,7,78
2020-03-16,2020-03-16,4,43
2020-03-16,2020-03-16,36,51
2020-03-16,2020-03-16,84,2
2020-03-16,2020-03-16,2,5
2020-03-16,2020-03-16,9,106
2020-03-16,2020-03-16,17,88
2020-03-17,2020-03-17,289,1
2020-03-17,2020-03-17,10,122
2020-03-17,2020-03-17,49,28
2020-03-18,2020-03-18,29,57
2020-03-18,2020-03-18,44,22
2020-03-18,2020-03-18,27,72
2020-03-18,2020-03-18,50,25
2020-03-18,2020-03-18,39,39
2020-03-19,2020-03-19,117,4
2020-03-19,2020-03-19,32,46
2020-03-20,2020-03-20,40,30
2020-03-20,2020-03-20,90,3
2020-03-20,2020-03-20,56,16
2020-03-21,2020-03-21,5,55
2020-03-21,2020-03-21,181,1
2020-03-21,2020-03-21,6,56
2020-03-21,2020-03-21,72,8
2020-03-21,2020-03-21,45,38
2020-03-21,2020-03-21,35,64
2020-03-21,2020-03-21,46,31
2020-03-21,2020-03-21,73,8
2020-03-22,2020-03-22,31,54
2020-03-23,2020-03-23,19,88
2020-03-23,2020-03-23,108,4
2020-03-23,2020-03-23,118,1
2020-03-24,2020-03-24,62,8
2020-03-24,2020-03-24,47,22
2020-03-24,2020-03-24,21,80
2020-03-24,2020-03-24,81,6
2020-03-24,2020-03-24,127,3
2020-03-25,2020-03-25,58,10
2020-03-26,2020-03-26,158,1
2020-03-26,2020-03-26,78,5
2020-03-26,2020-03-26,26,65
2020-03-26,2020-03-26,280,1
2020-03-27,2020-03-27,134,1
2020-03-27,2020-03-27,42,35
2020-03-28,2020-03-28,64,10
2020-03-29,2020-03-29,51,28
2020-03-29,2020-03-29,137,3
2020-03-29,2020-03-29,130,1
2020-03-29,2020-03-29,176,1
2020-03-30,2020-03-30,92,1
2020-03-31,2020-03-31,135,1
2020-03-31,2020-03-31,54,22
2020-04-01,2020-04-01,15,115
2020-04-01,2020-04-01,3,26
2020-04-02,2020-04-02,273,1
2020-04-02,2020-04-02,53,23
2020-04-03,2020-04-03,94,5
2020-04-03,2020-04-03,76,2
2020-04-03,2020-04-03,88,2
2020-04-03,2020-04-03,272,1
2020-04-03,2020-04-03,59,12
2020-04-04,2020-04-04,33,55
2020-04-04,2020-04-04,143,1
2020-04-04,2020-04-04,271,1
2020-04-05,2020-04-05,43,41
2020-04-05,2020-04-05,97,5
2020-04-05,2020-04-05,83,4
2020-04-06,2020-04-06,142,2
2020-04-06,2020-04-06,93,4
2020-04-07,2020-04-07,55,18
2020-04-07,2020-04-07,82,6
2020-04-08,2020-04-08,107,2
2020-04-08,2020-04-08,69,9
2020-04-08,2020-04-08,106,2
2020-04-08,2020-04-08,102,1
2020-04-09,2020-04-09,149,1
2020-04-09,2020-04-09,79,1
2020-04-09,2020-04-09,96,2
2020-04-09,2020-04-09,157,1
2020-04-10,2020-04-10,209,2
2020-04-10,2020-04-10,99,3
2020-04-10,2020-04-10,197,1
2020-04-10,2020-04-10,146,1
2020-04-10,2020-04-10,75,2
2020-04-10,2020-04-10,138,1
2020-04-11,2020-04-11,168,1
2020-04-11,2020-04-11,165,1
2020-04-11,2020-04-11,141,2
2020-04-12,2020-04-12,119,2
2020-04-12,2020-04-12,246,1
2020-04-12,2020-04-12,65,9
2020-04-12,2020-04-12,123,3
2020-04-13,2020-04-13,114,3
2020-04-13,2020-04-13,203,1
2020-04-13,2020-04-13,98,2
2020-04-13,2020-04-13,61,10
2020-04-13,2020-04-13,262,1
2020-04-14,2020-04-14,170,1
2020-04-14,2020-04-14,66,7
2020-04-14,2020-04-14,63,7
2020-04-14,2020-04-14,85,2
2020-04-15,2020-04-15,139,1
2020-04-15,2020-04-15,259,1
