data_inizio,data_fine,delay,frequenza_delay
2020-03-11,2020-03-12,17,-1
2020-03-12,2020-03-13,3,-1
2020-03-16,2020-03-17,36,-1
2020-03-18,2020-03-19,10,-1
2020-03-22,2020-03-23,2,-1
2020-03-23,2020-03-24,40,-1
2020-03-23,2020-03-24,9,-1
2020-03-25,2020-03-26,21,-1
2020-03-26,2020-03-27,25,-1
2020-03-27,2020-03-28,18,-1
2020-03-28,2020-03-29,47,-1
2020-03-31,2020-04-01,9,-1
2020-04-03,2020-04-04,22,-1
2020-04-03,2020-04-04,4,-1
2020-04-04,2020-04-05,41,-1
2020-04-08,2020-04-09,10,-1
2020-04-21,2020-04-22,5,-1
2020-04-24,2020-04-25,20,-1
2020-05-06,2020-05-07,3,-1
2020-05-10,2020-05-11,12,-1
2020-08-12,2020-08-13,8,-1
2020-08-21,2020-08-22,8,-1
2020-09-16,2020-09-17,8,-1
2020-10-02,2020-10-03,40,-1
2020-10-09,2020-10-10,16,-1
2020-10-10,2020-10-11,61,-1
2020-10-12,2020-10-13,2,-1
2020-10-14,2020-10-15,19,-1
2020-10-15,2020-10-16,16,-1
2020-10-16,2020-10-17,25,-1
2020-10-16,2020-10-17,11,-1
2020-10-17,2020-10-18,71,-1
2020-10-18,2020-10-19,48,-1
2020-10-18,2020-10-19,29,-1
2020-10-20,2020-10-21,15,-1
2020-10-22,2020-10-23,7,-1
2020-10-23,2020-10-24,6,-1
2020-10-23,2020-10-24,35,-1
2020-10-24,2020-10-25,2,-1
2020-10-25,2020-10-26,1,-1
2020-10-26,2020-10-27,18,-1
2020-10-26,2020-10-27,23,-1
2020-10-27,2020-10-28,9,-1
2020-10-28,2020-10-29,16,-1
2020-10-28,2020-10-29,14,-1
2020-10-29,2020-10-30,40,-1
2020-10-30,2020-10-31,20,-1
2020-10-31,2020-11-01,7,-1
2020-11-01,2020-11-02,38,-1
2020-11-02,2020-11-03,17,-1
2020-11-03,2020-11-04,4,-1
2020-11-03,2020-11-04,28,-1
2020-11-04,2020-11-05,4,-1
2020-11-05,2020-11-06,19,-1
2020-11-06,2020-11-07,9,-1
2020-11-06,2020-11-07,24,-1
2020-11-07,2020-11-08,7,-1
2020-11-08,2020-11-09,6,-1
2020-11-09,2020-11-10,19,-1
2020-11-11,2020-11-12,12,-1
2020-11-12,2020-11-13,15,-1
2020-11-12,2020-11-13,45,-1
2020-11-13,2020-11-14,24,-1
2020-11-13,2020-11-14,43,-1
2020-11-14,2020-11-15,3,-1
2020-11-15,2020-11-16,22,-1
2020-11-16,2020-11-17,5,-1
2020-11-17,2020-11-18,40,-1
2020-11-17,2020-11-18,37,-1
2020-11-17,2020-11-18,34,-1
2020-11-18,2020-11-19,14,-1
2020-11-18,2020-11-19,26,-1
2020-11-19,2020-11-20,26,-1
2020-11-19,2020-11-20,32,-1
2020-11-20,2020-11-21,14,-1
2020-11-23,2020-11-24,10,-1
2020-11-24,2020-11-25,8,-1
2020-11-25,2020-11-26,32,-1
2020-11-26,2020-11-27,24,-1
2020-11-26,2020-11-27,13,-1
2020-11-27,2020-11-28,30,-1
2020-11-28,2020-11-29,13,-1
2020-11-29,2020-11-30,4,-1
2020-11-30,2020-12-01,19,-1
2020-12-01,2020-12-02,9,-1
2020-12-04,2020-12-05,4,-1
2020-12-05,2020-12-06,14,-1
2020-12-08,2020-12-09,19,-1
2020-12-10,2020-12-11,17,-1
2020-12-14,2020-12-15,13,-1
2020-12-15,2020-12-16,3,-1
