data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-08-28,8,15
2020-01-01,2020-08-28,2,37
2020-01-01,2020-08-28,3,35
2020-01-01,2020-08-28,28,8
2020-01-01,2020-08-28,26,6
2020-01-01,2020-08-28,6,21
2020-01-01,2020-08-28,41,6
2020-01-01,2020-08-28,11,13
2020-01-01,2020-08-28,0,48
2020-01-01,2020-08-28,4,26
2020-01-01,2020-08-28,50,3
2020-01-01,2020-08-28,19,13
2020-01-01,2020-08-28,57,1
2020-01-01,2020-08-28,17,16
2020-01-01,2020-08-28,18,14
2020-01-01,2020-08-28,22,6
2020-01-01,2020-08-28,7,19
2020-01-01,2020-08-28,9,21
2020-01-01,2020-08-28,35,5
2020-01-01,2020-08-28,12,13
2020-01-01,2020-08-28,62,2
2020-01-01,2020-08-28,14,15
2020-01-01,2020-08-28,23,5
2020-01-01,2020-08-28,5,29
2020-01-01,2020-08-28,27,10
2020-01-01,2020-08-28,1,57
2020-01-01,2020-08-28,13,18
2020-01-01,2020-08-28,39,3
2020-01-01,2020-08-28,43,3
2020-01-01,2020-08-28,10,18
2020-01-01,2020-08-28,31,3
2020-01-01,2020-08-28,15,14
2020-01-01,2020-08-28,37,5
2020-08-29,2021-04-26,24,7
2020-08-29,2021-04-26,21,6
2020-08-29,2021-04-26,30,9
2020-08-29,2021-04-26,36,3
2020-08-29,2021-04-26,45,4
2020-08-29,2021-04-26,20,6
2020-08-29,2021-04-26,56,2
2020-08-29,2021-04-26,29,9
2020-08-29,2021-04-26,16,15
2020-08-29,2021-04-26,25,3
2020-08-29,2021-04-26,58,1
2020-08-29,2021-04-26,38,2
2020-08-29,2021-04-26,52,3
2020-08-29,2021-04-26,48,2
2020-08-29,2021-04-26,44,2
2020-08-29,2021-04-26,34,5
2020-08-29,2021-04-26,47,2
2020-08-29,2021-04-26,32,1
2020-08-29,2021-04-26,49,2
2020-08-29,2021-04-26,33,3
2020-08-29,2021-04-26,40,2
2020-08-29,2021-04-26,42,1
