data_inizio,data_fine,delay,frequenza_delay
2020-03-11,2020-03-11,6,-1
2020-03-12,2020-03-12,8,-1
2020-03-12,2020-03-12,5,-1
2020-03-15,2020-03-15,7,-1
2020-03-18,2020-03-18,3,-1
2020-03-18,2020-03-18,4,-1
2020-03-21,2020-03-21,6,-1
2020-03-22,2020-03-22,9,-1
2020-03-23,2020-03-23,1,-1
2020-03-24,2020-03-24,7,-1
2020-03-26,2020-03-26,9,-1
2020-03-27,2020-03-27,9,-1
2020-03-30,2020-03-30,6,-1
2020-04-01,2020-04-01,4,-1
2020-04-02,2020-04-02,6,-1
2020-04-08,2020-04-08,4,-1
2020-04-09,2020-04-09,3,-1
2020-04-10,2020-04-10,7,-1
2020-04-12,2020-04-12,9,-1
2020-04-13,2020-04-13,3,-1
2020-04-14,2020-04-14,8,-1
2020-04-18,2020-04-18,9,-1
2020-04-19,2020-04-19,7,-1
2020-04-20,2020-04-20,4,-1
2020-04-22,2020-04-22,3,-1
2020-04-24,2020-04-24,8,-1
2020-04-25,2020-04-25,9,-1
2020-04-26,2020-04-26,6,-1
2020-04-27,2020-04-27,9,-1
2020-04-29,2020-04-29,4,-1
2020-05-04,2020-05-04,3,-1
2020-05-06,2020-05-06,6,-1
2020-05-09,2020-05-09,2,-1
2020-05-10,2020-05-10,6,-1
2020-05-11,2020-05-11,6,-1
2020-05-14,2020-05-14,6,-1
2020-05-15,2020-05-15,4,-1
2020-05-16,2020-05-16,2,-1
2020-05-18,2020-05-18,3,-1
2020-05-21,2020-05-21,5,-1
2020-05-22,2020-05-22,9,-1
2020-05-23,2020-05-23,10,-1
2020-05-24,2020-05-24,6,-1
2020-05-27,2020-05-27,5,-1
2020-05-30,2020-05-30,5,-1
2020-06-01,2020-06-01,5,-1
2020-06-02,2020-06-02,4,-1
2020-06-05,2020-06-05,2,-1
2020-06-07,2020-06-07,2,-1
2020-06-09,2020-06-09,2,-1
2020-08-09,2020-08-09,3,-1
2020-08-20,2020-08-20,4,-1
2020-08-29,2020-08-29,8,-1
2020-09-05,2020-09-05,3,-1
2020-09-08,2020-09-08,2,-1
2020-09-13,2020-09-13,8,-1
2020-09-18,2020-09-18,3,-1
2020-09-19,2020-09-19,6,-1
2020-09-24,2020-09-24,7,-1
2020-09-26,2020-09-26,6,-1
2020-10-01,2020-10-01,6,-1
2020-10-03,2020-10-03,10,-1
2020-10-04,2020-10-04,7,-1
2020-10-09,2020-10-09,7,-1
2020-10-10,2020-10-10,10,-1
2020-10-12,2020-10-12,4,-1
2020-10-14,2020-10-14,9,-1
2020-10-15,2020-10-15,10,-1
2020-10-16,2020-10-16,3,-1
2020-10-17,2020-10-17,10,-1
2020-10-19,2020-10-19,3,-1
2020-10-20,2020-10-20,10,-1
2020-10-21,2020-10-21,1,-1
2020-10-22,2020-10-22,7,-1
2020-10-23,2020-10-23,2,-1
2020-10-24,2020-10-24,3,-1
2020-10-25,2020-10-25,4,-1
2020-10-26,2020-10-26,8,-1
2020-10-27,2020-10-27,1,-1
2020-10-28,2020-10-28,3,-1
2020-10-29,2020-10-29,7,-1
2020-10-30,2020-10-30,2,4
2020-10-31,2020-10-31,2,-1
2020-11-01,2020-11-01,1,-1
2020-11-02,2020-11-02,10,-1
2020-11-03,2020-11-03,3,-1
2020-11-04,2020-11-04,9,-1
2020-11-05,2020-11-05,3,-1
2020-11-06,2020-11-06,6,-1
2020-11-07,2020-11-07,5,-1
2020-11-08,2020-11-08,2,-1
2020-11-09,2020-11-09,1,-1
2020-11-10,2020-11-10,4,-1
2020-11-11,2020-11-11,4,-1
2020-11-12,2020-11-12,8,-1
2020-11-13,2020-11-13,8,-1
2020-11-14,2020-11-14,8,4
2020-11-15,2020-11-15,5,-1
2020-11-16,2020-11-16,9,-1
2020-11-17,2020-11-17,3,6
2020-11-18,2020-11-18,9,-1
2020-11-19,2020-11-19,6,4
2020-11-20,2020-11-20,5,-1
2020-11-21,2020-11-21,4,-1
2020-11-22,2020-11-22,6,-1
2020-11-23,2020-11-23,8,-1
2020-11-24,2020-11-24,7,-1
2020-11-25,2020-11-25,4,-1
2020-11-26,2020-11-26,2,-1
2020-11-27,2020-11-27,5,-1
2020-11-28,2020-11-28,9,-1
2020-11-29,2020-11-29,2,-1
2020-11-30,2020-11-30,3,-1
2020-12-01,2020-12-01,5,-1
2020-12-02,2020-12-02,1,-1
2020-12-03,2020-12-03,7,-1
2020-12-04,2020-12-04,6,-1
2020-12-05,2020-12-05,7,-1
2020-12-06,2020-12-06,10,-1
2020-12-07,2020-12-07,6,-1
2020-12-08,2020-12-08,5,-1
2020-12-09,2020-12-09,3,-1
2020-12-10,2020-12-10,8,-1
2020-12-11,2020-12-11,3,-1
2020-12-12,2020-12-12,3,-1
2020-12-13,2020-12-13,6,-1
2020-12-14,2020-12-14,5,-1
2020-12-15,2020-12-15,8,-1
2020-12-16,2020-12-16,2,-1
2020-12-17,2020-12-17,5,-1
2020-12-18,2020-12-18,5,-1
2020-12-19,2020-12-19,5,-1
2020-12-20,2020-12-20,6,-1
2020-12-21,2020-12-21,2,-1
2020-12-22,2020-12-22,8,-1
2020-12-23,2020-12-23,2,-1
2020-12-25,2020-12-25,6,-1
2020-12-26,2020-12-26,4,-1
2020-12-27,2020-12-27,1,-1
2020-12-28,2020-12-28,3,-1
2020-12-29,2020-12-29,2,7
