data_inizio,data_fine,delay,frequenza_delay
2020-03-07,2020-03-07,6,-1
2020-03-07,2020-03-07,5,-1
2020-03-07,2020-03-07,9,-1
2020-03-08,2020-03-08,5,-1
2020-03-09,2020-03-09,6,-1
2020-03-09,2020-03-09,2,-1
2020-03-12,2020-03-12,7,-1
2020-03-13,2020-03-13,2,-1
2020-03-14,2020-03-14,8,-1
2020-03-15,2020-03-15,7,-1
2020-03-16,2020-03-16,6,-1
2020-03-17,2020-03-17,6,-1
2020-03-18,2020-03-18,4,-1
2020-03-19,2020-03-19,8,-1
2020-03-20,2020-03-20,10,-1
2020-03-21,2020-03-21,4,-1
2020-03-22,2020-03-22,6,-1
2020-03-22,2020-03-22,3,-1
2020-03-24,2020-03-24,5,-1
2020-03-25,2020-03-25,9,-1
2020-03-26,2020-03-26,10,-1
2020-03-27,2020-03-27,7,-1
2020-03-28,2020-03-28,4,-1
2020-03-29,2020-03-29,5,-1
2020-03-30,2020-03-30,5,-1
2020-03-31,2020-03-31,2,-1
2020-04-01,2020-04-01,9,-1
2020-04-02,2020-04-02,7,-1
2020-04-03,2020-04-03,8,-1
2020-04-04,2020-04-04,4,-1
2020-04-05,2020-04-05,7,-1
2020-04-06,2020-04-06,1,-1
2020-04-07,2020-04-07,9,-1
2020-04-08,2020-04-08,5,-1
2020-04-09,2020-04-09,4,-1
2020-04-10,2020-04-10,8,-1
2020-04-11,2020-04-11,4,-1
2020-04-12,2020-04-12,9,-1
2020-04-13,2020-04-13,5,-1
2020-04-14,2020-04-14,4,-1
2020-04-15,2020-04-15,4,5
2020-04-16,2020-04-16,8,4
2020-04-17,2020-04-17,4,4
2020-04-18,2020-04-18,5,-1
2020-04-19,2020-04-19,1,-1
2020-04-20,2020-04-20,6,-1
2020-04-21,2020-04-21,8,4
2020-04-22,2020-04-22,1,-1
2020-04-23,2020-04-23,5,-1
2020-04-24,2020-04-24,3,4
2020-04-25,2020-04-25,6,-1
2020-04-26,2020-04-26,9,4
2020-04-27,2020-04-27,3,-1
2020-04-28,2020-04-28,5,-1
