data_inizio,data_fine,delay,frequenza_delay
2020-02-25,2020-02-26,6,-1
2020-02-29,2020-03-01,7,-1
2020-03-05,2020-03-06,1,-1
2020-03-06,2020-03-07,9,-1
2020-03-07,2020-03-08,3,-1
2020-03-08,2020-03-09,9,-1
2020-03-08,2020-03-09,4,-1
2020-03-09,2020-03-10,8,-1
2020-03-11,2020-03-12,9,-1
2020-03-12,2020-03-13,3,-1
2020-03-13,2020-03-14,3,-1
2020-03-14,2020-03-15,9,-1
2020-03-15,2020-03-16,7,-1
2020-03-16,2020-03-17,9,-1
2020-03-17,2020-03-18,4,-1
2020-03-18,2020-03-19,2,-1
2020-03-19,2020-03-20,4,-1
2020-03-20,2020-03-21,8,-1
2020-03-21,2020-03-22,8,-1
2020-03-22,2020-03-23,3,-1
2020-03-23,2020-03-24,3,4
2020-03-24,2020-03-25,4,-1
2020-03-25,2020-03-26,1,-1
2020-03-26,2020-03-27,4,-1
2020-03-27,2020-03-28,6,6
2020-03-28,2020-03-29,9,-1
2020-03-29,2020-03-30,3,4
2020-03-30,2020-03-31,1,-1
2020-03-31,2020-04-01,5,4
2020-04-01,2020-04-02,6,9
2020-04-02,2020-04-03,9,4
2020-04-03,2020-04-04,3,7
2020-04-04,2020-04-05,3,8
2020-04-05,2020-04-06,3,5
2020-04-06,2020-04-07,3,5
2020-04-07,2020-04-08,7,7
2020-04-08,2020-04-09,5,4
2020-04-09,2020-04-10,10,-1
2020-04-10,2020-04-11,8,6
2020-04-11,2020-04-12,2,12
2020-04-12,2020-04-13,2,8
2020-04-13,2020-04-14,10,-1
2020-04-14,2020-04-15,4,-1
2020-04-15,2020-04-16,4,11
2020-04-16,2020-04-17,7,12
2020-04-17,2020-04-18,9,11
2020-04-18,2020-04-19,2,10
2020-04-19,2020-04-20,8,13
2020-04-20,2020-04-21,2,7
2020-04-21,2020-04-22,8,8
2020-04-22,2020-04-23,2,6
2020-04-23,2020-04-24,2,9
2020-04-24,2020-04-25,7,12
2020-04-25,2020-04-26,6,9
2020-04-26,2020-04-27,7,5
2020-04-27,2020-04-28,9,5
2020-04-28,2020-04-29,2,4
2020-04-29,2020-04-30,3,6
2020-04-30,2020-05-01,7,10
2020-05-01,2020-05-02,1,-1
2020-05-02,2020-05-03,7,8
2020-05-03,2020-05-04,2,6
2020-05-04,2020-05-05,4,4
2020-05-05,2020-05-06,8,9
2020-05-06,2020-05-07,5,5
2020-05-07,2020-05-08,5,7
2020-05-08,2020-05-09,2,6
2020-05-09,2020-05-10,8,4
2020-05-10,2020-05-11,1,-1
2020-05-11,2020-05-12,4,5
2020-05-12,2020-05-13,2,-1
2020-05-13,2020-05-14,3,-1
2020-05-14,2020-05-15,1,5
2020-05-15,2020-05-16,10,-1
2020-05-16,2020-05-17,2,5
2020-05-17,2020-05-18,9,4
2020-05-18,2020-05-19,7,4
2020-05-19,2020-05-20,8,4
2020-05-20,2020-05-21,9,4
2020-05-21,2020-05-22,6,-1
2020-05-22,2020-05-23,9,-1
2020-05-23,2020-05-24,5,6
2020-05-24,2020-05-25,2,-1
2020-05-25,2020-05-26,4,-1
2020-05-26,2020-05-27,2,-1
2020-05-27,2020-05-28,4,-1
2020-05-28,2020-05-29,10,-1
2020-05-29,2020-05-30,5,-1
2020-05-30,2020-05-31,4,4
2020-05-31,2020-06-01,8,-1
2020-06-01,2020-06-02,9,4
2020-06-02,2020-06-03,8,-1
2020-06-03,2020-06-04,8,-1
2020-06-04,2020-06-05,7,4
2020-06-05,2020-06-06,8,5
2020-06-06,2020-06-07,7,-1
2020-06-07,2020-06-08,7,-1
2020-06-08,2020-06-09,8,-1
2020-06-09,2020-06-10,10,-1
2020-06-10,2020-06-11,9,-1
2020-06-11,2020-06-12,3,-1
2020-06-12,2020-06-13,4,-1
2020-06-13,2020-06-14,10,-1
2020-06-14,2020-06-15,9,-1
2020-06-15,2020-06-16,4,-1
2020-06-16,2020-06-17,7,-1
