data_inizio,data_fine,delay,frequenza_delay
2020-04-02,2020-04-02,0,-1
2020-04-04,2020-04-04,4,-1
2020-04-10,2020-04-10,0,-1
2020-05-28,2020-05-28,5,-1
2020-09-19,2020-09-19,0,-1
2020-09-22,2020-09-22,12,-1
2020-09-29,2020-09-29,4,-1
2020-10-13,2020-10-13,4,-1
2020-10-30,2020-10-30,1,-1
2020-10-31,2020-10-31,0,-1
2020-11-06,2020-11-06,1,-1
2020-11-06,2020-11-06,11,-1
2020-11-11,2020-11-11,1,-1
2020-11-14,2020-11-14,4,-1
2020-11-15,2020-11-15,1,-1
2020-11-15,2020-11-15,23,-1
2020-11-18,2020-11-18,1,-1
2020-11-20,2020-11-20,36,-1
2020-11-21,2020-11-21,1,-1
2020-11-22,2020-11-22,1,-1
2020-11-22,2020-11-22,17,-1
2020-11-26,2020-11-26,2,-1
2020-11-29,2020-11-29,21,-1
2020-11-30,2020-11-30,2,-1
2020-12-04,2020-12-04,2,-1
2020-12-10,2020-12-10,1,-1
2020-12-10,2020-12-10,8,-1
2020-12-12,2020-12-12,4,-1
2020-12-13,2020-12-13,10,-1
2020-12-15,2020-12-15,14,-1
2020-12-24,2020-12-24,1,-1
2020-12-25,2020-12-25,3,-1
2020-12-27,2020-12-27,0,-1
