data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-08-28,3,23
2020-01-01,2020-08-28,4,18
2020-01-01,2020-08-28,12,5
2020-01-01,2020-08-28,0,71
2020-01-01,2020-08-28,17,5
2020-01-01,2020-08-28,1,48
2020-01-01,2020-08-28,13,9
2020-01-01,2020-08-28,2,37
2020-01-01,2020-08-28,5,20
2020-01-01,2020-08-28,8,13
2020-01-01,2020-08-28,6,15
2020-01-01,2020-08-28,26,1
2020-01-01,2020-08-28,57,1
2020-01-01,2020-08-28,18,5
2020-08-29,2021-04-26,14,3
2020-08-29,2021-04-26,9,7
2020-08-29,2021-04-26,20,1
2020-08-29,2021-04-26,10,6
2020-08-29,2021-04-26,7,6
2020-08-29,2021-04-26,19,2
2020-08-29,2021-04-26,11,9
2020-08-29,2021-04-26,31,1
2020-08-29,2021-04-26,28,1
2020-08-29,2021-04-26,25,1
2020-08-29,2021-04-26,21,1
2020-08-29,2021-04-26,27,1
2020-08-29,2021-04-26,15,1
2020-08-29,2021-04-26,22,1
2020-08-29,2021-04-26,23,1
2020-08-29,2021-04-26,24,1
2020-08-29,2021-04-26,30,1
