data_inizio,data_fine,delay,frequenza_delay
2020-03-03,2020-04-02,0,285
2020-03-03,2020-04-02,1,22
2020-03-03,2020-04-02,13,18
2020-03-03,2020-04-02,75,1
2020-03-03,2020-04-02,26,5
2020-03-03,2020-04-02,88,1
2020-03-03,2020-04-02,10,29
2020-03-03,2020-04-02,30,3
2020-03-03,2020-04-02,42,2
2020-03-03,2020-04-02,2,41
2020-04-03,2020-05-03,3,33
2020-04-03,2020-05-03,6,44
2020-04-03,2020-05-03,9,34
2020-04-03,2020-05-03,28,7
2020-04-03,2020-05-03,84,2
2020-04-03,2020-05-03,5,39
2020-04-03,2020-05-03,19,9
2020-04-03,2020-05-03,16,9
2020-04-03,2020-05-03,32,4
2020-04-03,2020-05-03,35,4
2020-04-03,2020-05-03,60,1
2020-04-03,2020-05-03,180,1
2020-04-03,2020-05-03,11,16
2020-04-03,2020-05-03,93,1
2020-04-03,2020-05-03,36,3
2020-04-03,2020-05-03,99,1
2020-04-03,2020-05-03,61,1
2020-04-03,2020-05-03,33,4
2020-04-03,2020-05-03,24,4
2020-04-03,2020-05-03,40,3
2020-04-03,2020-05-03,20,2
2020-05-04,2020-06-03,8,46
2020-05-04,2020-06-03,14,14
2020-05-04,2020-06-03,12,18
2020-05-04,2020-06-03,34,2
2020-05-04,2020-06-03,79,1
2020-05-04,2020-06-03,58,1
2020-05-04,2020-06-03,18,8
2020-05-04,2020-06-03,27,3
2020-05-04,2020-06-03,37,1
2020-05-04,2020-06-03,17,4
2020-05-04,2020-06-03,57,1
2020-05-04,2020-06-03,39,3
2020-05-04,2020-06-03,56,1
2020-07-05,2020-08-04,22,4
2020-08-05,2020-09-04,7,43
2020-09-05,2020-10-05,41,4
2020-10-06,2020-11-05,72,1
2020-10-06,2020-11-05,45,1
2020-10-06,2020-11-05,44,3
2020-10-06,2020-11-05,47,1
2020-10-06,2020-11-05,48,1
2020-11-06,2020-12-06,52,1
2020-11-06,2020-12-06,31,4
2020-11-06,2020-12-06,29,1
2020-11-06,2020-12-06,43,1
2020-11-06,2020-12-06,25,2
2020-12-07,2021-01-06,4,72
2020-12-07,2021-01-06,23,2
2020-12-07,2021-01-06,15,4
2020-12-07,2021-01-06,21,3
