data_inizio,data_fine,delay,frequenza_delay
2020-03-03,2020-03-03,0,1852
2020-03-07,2020-03-07,1,146
2020-03-09,2020-03-09,10,191
2020-03-10,2020-03-10,7,221
2020-03-13,2020-03-13,9,222
2020-03-15,2020-03-15,15,51
2020-03-19,2020-03-19,12,80
2020-03-19,2020-03-19,36,14
2020-03-20,2020-03-20,13,65
2020-03-20,2020-03-20,11,98
2020-03-20,2020-03-20,31,21
2020-03-20,2020-03-20,16,49
2020-03-20,2020-03-20,46,6
2020-03-21,2020-03-21,23,34
2020-03-24,2020-03-24,2,240
2020-03-24,2020-03-24,43,7
2020-03-27,2020-03-27,24,16
2020-03-28,2020-03-28,3,220
2020-03-28,2020-03-28,55,5
2020-03-29,2020-03-29,57,1
2020-03-30,2020-03-30,74,2
2020-03-30,2020-03-30,175,2
2020-04-01,2020-04-01,4,502
2020-04-01,2020-04-01,25,30
2020-04-02,2020-04-02,14,62
2020-04-03,2020-04-03,41,16
2020-04-04,2020-04-04,5,204
2020-04-04,2020-04-04,33,14
2020-04-05,2020-04-05,51,3
2020-04-10,2020-04-10,6,208
2020-04-11,2020-04-11,8,235
2020-04-11,2020-04-11,124,1
2020-04-11,2020-04-11,50,5
2020-04-11,2020-04-11,86,1
2020-04-11,2020-04-11,68,2
2020-04-12,2020-04-12,19,39
2020-04-12,2020-04-12,76,2
2020-04-13,2020-04-13,27,24
2020-04-13,2020-04-13,17,47
2020-04-13,2020-04-13,38,15
2020-04-14,2020-04-14,35,15
2020-04-14,2020-04-14,65,2
2020-04-15,2020-04-15,34,16
2020-04-16,2020-04-16,120,1
2020-04-17,2020-04-17,63,2
2020-04-18,2020-04-18,18,38
2020-04-19,2020-04-19,29,17
2020-04-19,2020-04-19,129,1
2020-04-20,2020-04-20,42,10
2020-04-21,2020-04-21,126,1
2020-04-21,2020-04-21,45,7
2020-04-21,2020-04-21,39,15
2020-04-22,2020-04-22,26,29
2020-04-22,2020-04-22,28,13
2020-04-23,2020-04-23,82,1
2020-04-24,2020-04-24,59,4
2020-04-24,2020-04-24,87,1
2020-04-25,2020-04-25,64,2
2020-04-25,2020-04-25,32,19
2020-04-25,2020-04-25,198,1
2020-04-29,2020-04-29,103,2
2020-04-30,2020-04-30,228,1
2020-04-30,2020-04-30,49,7
2020-05-02,2020-05-02,73,2
2020-05-05,2020-05-05,20,32
2020-05-05,2020-05-05,54,2
2020-05-05,2020-05-05,56,6
2020-05-05,2020-05-05,58,4
2020-05-07,2020-05-07,148,1
2020-05-09,2020-05-09,70,3
2020-05-10,2020-05-10,22,40
2020-05-10,2020-05-10,139,1
2020-05-11,2020-05-11,113,1
2020-05-14,2020-05-14,40,7
2020-05-15,2020-05-15,81,1
2020-05-15,2020-05-15,111,1
2020-05-20,2020-05-20,37,15
2020-05-22,2020-05-22,121,1
2020-05-22,2020-05-22,108,1
2020-05-26,2020-05-26,79,2
2020-05-29,2020-05-29,119,1
2020-06-02,2020-06-02,85,1
2020-06-02,2020-06-02,105,1
2020-06-03,2020-06-03,89,2
2020-06-04,2020-06-04,96,1
2020-06-06,2020-06-06,61,4
2020-06-07,2020-06-07,67,2
2020-06-08,2020-06-08,52,5
2020-06-14,2020-06-14,60,4
2020-06-18,2020-06-18,21,40
2020-06-25,2020-06-25,44,6
2020-07-07,2020-07-07,30,22
2020-07-17,2020-07-17,167,1
2020-09-10,2020-09-10,112,1
2020-09-18,2020-09-18,104,1
2020-10-08,2020-10-08,62,2
2020-10-19,2020-10-19,47,2
2020-10-23,2020-10-23,69,1
2020-10-24,2020-10-24,66,1
2020-11-08,2020-11-08,53,1
2020-11-12,2020-11-12,48,5
