data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,0,433
2020-01-01,2020-12-31,3,2
2020-01-01,2020-12-31,17,1
2020-01-01,2020-12-31,1,2
2020-01-01,2020-12-31,16,2
2020-01-01,2020-12-31,24,1
2020-01-01,2020-12-31,35,1
2020-01-01,2020-12-31,14,1
2020-01-01,2020-12-31,6,2
2020-01-01,2020-12-31,4,2
2020-01-01,2020-12-31,7,2
2020-01-01,2020-12-31,11,2
2020-01-01,2020-12-31,2,2
2020-01-01,2020-12-31,41,1
2020-01-01,2020-12-31,27,1
2020-01-01,2020-12-31,25,1
2020-01-01,2020-12-31,9,2
2020-01-01,2020-12-31,40,1
2020-01-01,2020-12-31,31,2
2020-01-01,2020-12-31,30,1
2020-01-01,2020-12-31,23,1
2020-01-01,2020-12-31,29,1
2020-01-01,2020-12-31,15,1
2020-01-01,2020-12-31,13,1
2020-01-01,2020-12-31,10,2
