data_inizio,data_fine,delay,frequenza_delay
2020-02-26,2020-03-04,0,2505
2020-02-26,2020-03-04,3,370
2020-03-05,2020-03-12,32,47
2020-03-05,2020-03-12,17,99
2020-03-05,2020-03-12,59,9
2020-03-05,2020-03-12,18,105
2020-03-05,2020-03-12,4,342
2020-03-05,2020-03-12,2,591
2020-03-05,2020-03-12,159,1
2020-03-05,2020-03-12,22,85
2020-03-05,2020-03-12,29,65
2020-03-05,2020-03-12,27,72
2020-03-05,2020-03-12,8,179
2020-03-13,2020-03-20,20,87
2020-03-13,2020-03-20,7,223
2020-03-13,2020-03-20,15,107
2020-03-13,2020-03-20,26,68
2020-03-13,2020-03-20,117,2
2020-03-13,2020-03-20,6,248
2020-03-13,2020-03-20,36,48
2020-03-13,2020-03-20,37,41
2020-03-13,2020-03-20,33,51
2020-03-13,2020-03-20,11,163
2020-03-13,2020-03-20,14,115
2020-03-13,2020-03-20,24,88
2020-03-13,2020-03-20,25,92
2020-03-13,2020-03-20,5,262
2020-03-13,2020-03-20,84,2
2020-03-13,2020-03-20,285,1
2020-03-13,2020-03-20,16,116
2020-03-13,2020-03-20,9,162
2020-03-13,2020-03-20,21,85
2020-03-13,2020-03-20,78,6
2020-03-13,2020-03-20,13,141
2020-03-13,2020-03-20,31,56
2020-03-13,2020-03-20,23,83
2020-03-13,2020-03-20,38,39
2020-03-13,2020-03-20,44,35
2020-03-13,2020-03-20,39,52
2020-03-21,2020-03-28,52,20
2020-03-21,2020-03-28,151,2
2020-03-21,2020-03-28,82,3
2020-03-21,2020-03-28,19,98
2020-03-21,2020-03-28,45,36
2020-03-21,2020-03-28,175,1
2020-03-21,2020-03-28,35,40
2020-03-21,2020-03-28,54,18
2020-03-21,2020-03-28,68,5
2020-03-21,2020-03-28,104,2
2020-03-21,2020-03-28,81,2
2020-03-21,2020-03-28,71,6
2020-03-21,2020-03-28,49,16
2020-03-21,2020-03-28,50,21
2020-03-21,2020-03-28,132,2
2020-03-21,2020-03-28,42,34
2020-03-29,2020-04-05,34,48
2020-03-29,2020-04-05,10,146
2020-03-29,2020-04-05,41,39
2020-03-29,2020-04-05,90,4
2020-03-29,2020-04-05,30,63
2020-03-29,2020-04-05,136,1
2020-03-29,2020-04-05,88,3
2020-03-29,2020-04-05,133,2
2020-03-29,2020-04-05,121,2
2020-03-29,2020-04-05,166,1
2020-03-29,2020-04-05,40,43
2020-03-29,2020-04-05,92,4
2020-03-29,2020-04-05,163,2
2020-03-29,2020-04-05,270,1
2020-03-29,2020-04-05,56,7
2020-03-29,2020-04-05,122,1
2020-03-29,2020-04-05,138,1
2020-03-29,2020-04-05,98,4
2020-03-29,2020-04-05,91,2
2020-04-06,2020-04-13,1,808
2020-04-06,2020-04-13,46,22
2020-04-06,2020-04-13,134,1
2020-04-06,2020-04-13,72,2
2020-04-06,2020-04-13,51,15
2020-04-06,2020-04-13,83,5
2020-04-06,2020-04-13,28,52
2020-04-06,2020-04-13,57,8
2020-04-06,2020-04-13,102,3
2020-04-06,2020-04-13,96,2
2020-04-06,2020-04-13,70,3
2020-04-06,2020-04-13,73,3
2020-04-06,2020-04-13,48,20
2020-04-06,2020-04-13,93,2
2020-04-06,2020-04-13,77,4
2020-04-06,2020-04-13,145,3
2020-04-06,2020-04-13,55,16
2020-04-06,2020-04-13,162,2
2020-04-06,2020-04-13,207,1
2020-04-06,2020-04-13,94,2
2020-04-06,2020-04-13,112,2
2020-04-06,2020-04-13,168,2
2020-04-06,2020-04-13,111,4
2020-04-06,2020-04-13,75,2
