data_inizio,data_fine,delay,frequenza_delay
2020-02-26,2020-03-04,0,3088
2020-02-26,2020-03-04,3,443
2020-03-05,2020-03-12,32,63
2020-03-05,2020-03-12,17,121
2020-03-05,2020-03-12,59,14
2020-03-05,2020-03-12,18,127
2020-03-05,2020-03-12,4,405
2020-03-05,2020-03-12,2,712
2020-03-05,2020-03-12,5,321
2020-03-05,2020-03-12,159,1
2020-03-05,2020-03-12,22,105
2020-03-05,2020-03-12,29,81
2020-03-05,2020-03-12,9,205
2020-03-05,2020-03-12,74,11
2020-03-05,2020-03-12,14,142
2020-03-05,2020-03-12,27,89
2020-03-05,2020-03-12,8,229
2020-03-13,2020-03-20,20,110
2020-03-13,2020-03-20,7,281
2020-03-13,2020-03-20,15,141
2020-03-13,2020-03-20,26,86
2020-03-13,2020-03-20,43,30
2020-03-13,2020-03-20,117,2
2020-03-13,2020-03-20,6,297
2020-03-13,2020-03-20,36,58
2020-03-13,2020-03-20,40,53
2020-03-13,2020-03-20,37,52
2020-03-13,2020-03-20,31,74
2020-03-13,2020-03-20,33,66
2020-03-13,2020-03-20,11,203
2020-03-13,2020-03-20,24,107
2020-03-13,2020-03-20,25,105
2020-03-13,2020-03-20,84,2
2020-03-13,2020-03-20,285,1
2020-03-13,2020-03-20,21,108
2020-03-13,2020-03-20,78,9
2020-03-13,2020-03-20,87,3
2020-03-13,2020-03-20,13,165
2020-03-13,2020-03-20,23,110
2020-03-13,2020-03-20,38,47
2020-03-13,2020-03-20,19,120
2020-03-13,2020-03-20,44,43
2020-03-13,2020-03-20,39,62
2020-03-13,2020-03-20,64,10
2020-03-21,2020-03-28,52,23
2020-03-21,2020-03-28,151,2
2020-03-21,2020-03-28,82,5
2020-03-21,2020-03-28,45,38
2020-03-21,2020-03-28,175,1
2020-03-21,2020-03-28,35,54
2020-03-21,2020-03-28,54,21
2020-03-21,2020-03-28,68,6
2020-03-21,2020-03-28,104,2
2020-03-21,2020-03-28,81,3
2020-03-21,2020-03-28,71,6
2020-03-21,2020-03-28,49,25
