data_inizio,data_fine,delay,frequenza_delay
2020-03-01,2020-03-15,8,7
2020-03-01,2020-03-15,3,24
2020-03-16,2020-03-30,28,7
2020-03-16,2020-03-30,26,4
2020-03-16,2020-03-30,41,6
2020-03-16,2020-03-30,0,55
2020-03-16,2020-03-30,50,1
2020-03-16,2020-03-30,4,14
2020-03-16,2020-03-30,19,6
2020-03-16,2020-03-30,9,16
2020-03-16,2020-03-30,12,8
2020-03-16,2020-03-30,23,5
2020-03-16,2020-03-30,5,15
2020-03-16,2020-03-30,17,7
2020-03-31,2020-04-14,14,8
2020-03-31,2020-04-14,13,10
2020-03-31,2020-04-14,39,2
2020-03-31,2020-04-14,7,13
2020-03-31,2020-04-14,10,12
2020-04-15,2020-04-29,43,1
2020-04-15,2020-04-29,31,5
2020-04-15,2020-04-29,1,33
2020-04-15,2020-04-29,37,3
2020-04-30,2020-05-14,27,5
2020-06-14,2020-06-28,11,5
2020-06-14,2020-06-28,2,19
2020-09-12,2020-09-26,16,10
2020-09-27,2020-10-11,21,4
2020-10-12,2020-10-26,30,4
2020-10-12,2020-10-26,24,6
2020-10-12,2020-10-26,6,11
2020-10-12,2020-10-26,35,3
2020-10-12,2020-10-26,62,1
2020-10-27,2020-11-10,15,7
2020-10-27,2020-11-10,20,2
2020-10-27,2020-11-10,25,3
2020-10-27,2020-11-10,56,1
2020-10-27,2020-11-10,29,5
2020-10-27,2020-11-10,52,2
2020-10-27,2020-11-10,36,2
2020-10-27,2020-11-10,44,1
2020-10-27,2020-11-10,34,4
2020-10-27,2020-11-10,18,4
2020-10-27,2020-11-10,47,1
2020-10-27,2020-11-10,32,1
2020-11-11,2020-11-25,40,2
2020-11-11,2020-11-25,38,1
2020-11-11,2020-11-25,22,2
2020-11-11,2020-11-25,33,1
