data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-08-28,12,12
2020-01-01,2020-08-28,17,8
2020-01-01,2020-08-28,8,35
2020-01-01,2020-08-28,6,33
2020-01-01,2020-08-28,16,6
2020-01-01,2020-08-28,22,3
2020-01-01,2020-08-28,4,24
2020-01-01,2020-08-28,14,12
2020-01-01,2020-08-28,5,24
2020-01-01,2020-08-28,7,27
2020-01-01,2020-08-28,31,4
2020-01-01,2020-08-28,45,4
2020-01-01,2020-08-28,3,27
2020-01-01,2020-08-28,2,12
2020-01-01,2020-08-28,11,20
2020-01-01,2020-08-28,19,6
2020-01-01,2020-08-28,23,4
2020-01-01,2020-08-28,10,30
2020-01-01,2020-08-28,15,12
2020-01-01,2020-08-28,9,29
2020-01-01,2020-08-28,20,4
2020-01-01,2020-08-28,13,10
2020-08-29,2021-04-26,32,1
2020-08-29,2021-04-26,24,4
2020-08-29,2021-04-26,34,2
2020-08-29,2021-04-26,1,4
2020-08-29,2021-04-26,56,1
2020-08-29,2021-04-26,49,2
2020-08-29,2021-04-26,18,7
2020-08-29,2021-04-26,38,1
2020-08-29,2021-04-26,35,2
2020-08-29,2021-04-26,26,4
2020-08-29,2021-04-26,40,1
2020-08-29,2021-04-26,30,1
2020-08-29,2021-04-26,25,2
2020-08-29,2021-04-26,46,1
2020-08-29,2021-04-26,21,2
2020-08-29,2021-04-26,50,1
2020-08-29,2021-04-26,33,3
2020-08-29,2021-04-26,47,1
2020-08-29,2021-04-26,36,1
2020-08-29,2021-04-26,27,1
