data_inizio,data_fine,delay,frequenza_delay
2020-03-26,2020-03-27,0,-1
2020-04-03,2020-04-04,0,-1
2020-04-06,2020-04-07,0,-1
2020-04-07,2020-04-08,0,-1
2020-04-10,2020-04-11,0,-1
2020-04-11,2020-04-12,0,-1
2020-04-12,2020-04-13,0,-1
2020-04-15,2020-04-16,0,-1
2020-04-16,2020-04-17,0,-1
2020-04-18,2020-04-19,0,-1
2020-04-20,2020-04-21,0,-1
2020-04-22,2020-04-23,0,-1
2020-04-24,2020-04-25,0,-1
2020-04-25,2020-04-26,0,-1
2020-04-26,2020-04-27,0,-1
2020-04-29,2020-04-30,0,-1
2020-05-06,2020-05-07,0,-1
2020-05-08,2020-05-09,0,-1
2020-05-09,2020-05-10,0,-1
2020-05-15,2020-05-16,0,-1
2020-05-28,2020-05-29,0,-1
2020-08-30,2020-08-31,0,-1
2020-09-19,2020-09-20,0,-1
2020-10-17,2020-10-18,0,-1
2020-10-18,2020-10-19,0,-1
2020-10-22,2020-10-23,0,-1
2020-10-26,2020-10-27,0,-1
2020-10-30,2020-10-31,0,-1
2020-10-31,2020-11-01,0,-1
2020-11-01,2020-11-02,0,-1
2020-11-03,2020-11-04,0,-1
2020-11-04,2020-11-05,0,-1
2020-11-05,2020-11-06,0,-1
2020-11-07,2020-11-08,0,-1
2020-11-09,2020-11-10,0,-1
2020-11-10,2020-11-11,0,-1
2020-11-12,2020-11-13,0,-1
2020-11-13,2020-11-14,0,-1
2020-11-14,2020-11-15,0,6
2020-11-15,2020-11-16,0,5
2020-11-16,2020-11-17,0,7
2020-11-17,2020-11-18,0,-1
2020-11-18,2020-11-19,0,-1
2020-11-19,2020-11-20,0,-1
2020-11-20,2020-11-21,0,-1
2020-11-21,2020-11-22,0,5
2020-11-22,2020-11-23,0,-1
2020-11-23,2020-11-24,0,-1
2020-11-24,2020-11-25,0,5
2020-11-25,2020-11-26,0,-1
2020-11-26,2020-11-27,0,4
2020-11-27,2020-11-28,0,9
2020-11-28,2020-11-29,0,-1
2020-11-29,2020-11-30,0,-1
2020-11-30,2020-12-01,0,4
2020-12-01,2020-12-02,0,-1
2020-12-02,2020-12-03,0,5
2020-12-03,2020-12-04,0,4
2020-12-04,2020-12-05,0,5
2020-12-05,2020-12-06,0,-1
2020-12-06,2020-12-07,0,4
2020-12-07,2020-12-08,0,-1
2020-12-08,2020-12-09,0,-1
2020-12-09,2020-12-10,0,-1
2020-12-10,2020-12-11,0,4
2020-12-13,2020-12-14,0,-1
2020-12-14,2020-12-15,0,-1
2020-12-15,2020-12-16,0,-1
2020-12-16,2020-12-17,0,4
2020-12-17,2020-12-18,0,-1
2020-12-18,2020-12-19,0,4
2020-12-20,2020-12-21,0,-1
2020-12-23,2020-12-24,0,-1
2020-12-24,2020-12-25,0,-1
2020-12-25,2020-12-26,0,6
