data_inizio,data_fine,delay,frequenza_delay
2020-03-23,2020-03-23,9,5
2020-03-28,2020-03-28,5,2
2020-04-01,2020-04-01,16,2
2020-04-02,2020-04-02,0,56
2020-04-09,2020-04-09,8,1
2020-07-22,2020-07-22,1,4
2020-10-17,2020-10-17,3,1
2020-10-21,2020-10-21,13,2
2020-10-21,2020-10-21,43,1
2020-10-23,2020-10-23,17,1
2020-10-30,2020-10-30,2,3
2020-11-04,2020-11-04,11,1
2020-11-08,2020-11-08,10,1
2020-11-10,2020-11-10,42,1
2020-11-20,2020-11-20,6,1
2020-11-22,2020-11-22,35,1
2020-12-11,2020-12-11,20,1
2020-12-17,2020-12-17,14,1
