data_inizio,data_fine,delay,frequenza_delay
2020-03-14,2020-03-15,0,-1
2020-03-15,2020-03-16,0,-1
2020-03-16,2020-03-17,0,-1
2020-03-17,2020-03-18,0,-1
2020-03-18,2020-03-19,0,-1
2020-03-19,2020-03-20,0,-1
2020-03-20,2020-03-21,0,-1
2020-03-21,2020-03-22,0,4
2020-03-22,2020-03-23,0,-1
2020-03-23,2020-03-24,0,-1
2020-03-24,2020-03-25,0,8
2020-03-25,2020-03-26,0,14
2020-03-26,2020-03-27,0,9
2020-03-27,2020-03-28,0,22
2020-03-28,2020-03-29,0,28
2020-03-29,2020-03-30,0,30
2020-03-30,2020-03-31,0,36
2020-03-31,2020-04-01,0,38
2020-04-01,2020-04-02,0,43
2020-04-02,2020-04-03,0,44
2020-04-03,2020-04-04,0,37
2020-04-04,2020-04-05,0,50
2020-04-05,2020-04-06,0,55
2020-04-06,2020-04-07,0,50
2020-04-07,2020-04-08,0,44
2020-04-08,2020-04-09,0,39
2020-04-09,2020-04-10,0,43
2020-04-10,2020-04-11,0,51
2020-04-11,2020-04-12,0,62
2020-04-12,2020-04-13,0,58
2020-04-13,2020-04-14,0,60
2020-04-14,2020-04-15,0,67
2020-04-15,2020-04-16,0,59
2020-04-16,2020-04-17,0,84
2020-04-17,2020-04-18,0,80
2020-04-18,2020-04-19,0,85
2020-04-19,2020-04-20,0,84
2020-04-20,2020-04-21,0,80
2020-04-21,2020-04-22,0,80
2020-04-22,2020-04-23,0,76
2020-04-23,2020-04-24,0,90
2020-04-24,2020-04-25,0,88
2020-04-25,2020-04-26,0,91
2020-04-26,2020-04-27,0,110
2020-04-27,2020-04-28,0,66
2020-04-28,2020-04-29,0,90
2020-04-29,2020-04-30,0,75
2020-04-30,2020-05-01,0,59
2020-05-01,2020-05-02,0,82
2020-05-02,2020-05-03,0,89
2020-05-03,2020-05-04,0,81
2020-05-04,2020-05-05,0,83
2020-05-05,2020-05-06,0,79
2020-05-06,2020-05-07,0,96
2020-05-07,2020-05-08,0,83
2020-05-08,2020-05-09,0,73
2020-05-09,2020-05-10,0,85
2020-05-10,2020-05-11,0,102
2020-05-11,2020-05-12,0,72
2020-05-12,2020-05-13,0,84
