data_inizio,data_fine,delay,frequenza_delay
2020-02-26,2020-03-04,6,524
2020-02-26,2020-03-04,10,490
2020-02-26,2020-03-04,2,470
2020-03-05,2020-03-12,34,68
2020-03-05,2020-03-12,64,12
2020-03-05,2020-03-12,25,103
2020-03-05,2020-03-12,7,545
2020-03-05,2020-03-12,9,536
2020-03-05,2020-03-12,12,266
2020-03-05,2020-03-12,8,541
2020-03-05,2020-03-12,1,332
2020-03-05,2020-03-12,11,307
2020-03-05,2020-03-12,5,505
2020-03-05,2020-03-12,3,486
2020-03-05,2020-03-12,4,607
2020-03-05,2020-03-12,28,98
2020-03-05,2020-03-12,74,4
2020-03-05,2020-03-12,14,220
2020-03-05,2020-03-12,20,118
2020-03-05,2020-03-12,75,4
2020-03-13,2020-03-20,0,4570
2020-03-13,2020-03-20,24,120
2020-03-13,2020-03-20,13,234
2020-03-13,2020-03-20,15,221
2020-03-13,2020-03-20,94,6
2020-03-13,2020-03-20,18,160
2020-03-13,2020-03-20,30,86
2020-03-13,2020-03-20,43,47
2020-03-13,2020-03-20,42,42
2020-03-13,2020-03-20,40,46
2020-03-13,2020-03-20,39,55
2020-03-13,2020-03-20,16,169
2020-03-13,2020-03-20,45,39
2020-03-13,2020-03-20,31,97
2020-03-13,2020-03-20,27,104
2020-03-13,2020-03-20,19,129
2020-03-13,2020-03-20,37,50
2020-03-13,2020-03-20,29,84
2020-03-13,2020-03-20,50,23
2020-03-13,2020-03-20,41,73
2020-03-13,2020-03-20,23,132
2020-03-13,2020-03-20,21,127
2020-03-13,2020-03-20,26,105
2020-03-13,2020-03-20,87,2
2020-03-13,2020-03-20,44,39
2020-03-13,2020-03-20,46,43
2020-03-13,2020-03-20,52,26
2020-03-13,2020-03-20,36,64
2020-03-21,2020-03-28,162,1
2020-03-21,2020-03-28,62,11
2020-03-21,2020-03-28,158,1
2020-03-21,2020-03-28,88,4
2020-03-21,2020-03-28,65,13
2020-03-21,2020-03-28,17,181
2020-03-21,2020-03-28,47,37
2020-03-21,2020-03-28,181,1
2020-03-21,2020-03-28,76,7
2020-03-21,2020-03-28,32,76
2020-03-21,2020-03-28,35,68
2020-03-21,2020-03-28,108,4
2020-03-21,2020-03-28,22,120
2020-03-21,2020-03-28,86,3
2020-03-21,2020-03-28,54,23
2020-03-21,2020-03-28,81,4
2020-03-21,2020-03-28,53,22
2020-03-21,2020-03-28,78,5
2020-03-21,2020-03-28,79,4
2020-03-21,2020-03-28,95,3
2020-03-29,2020-04-05,33,69
2020-03-29,2020-04-05,57,17
2020-03-29,2020-04-05,51,32
2020-03-29,2020-04-05,66,14
2020-03-29,2020-04-05,137,2
2020-03-29,2020-04-05,92,2
2020-03-29,2020-04-05,135,1
2020-03-29,2020-04-05,38,51
2020-03-29,2020-04-05,273,2
2020-03-29,2020-04-05,130,4
2020-03-29,2020-04-05,176,1
2020-03-29,2020-04-05,58,15
2020-03-29,2020-04-05,93,8
2020-03-29,2020-04-05,124,1
2020-03-29,2020-04-05,168,2
2020-03-29,2020-04-05,127,3
2020-03-29,2020-04-05,143,2
2020-03-29,2020-04-05,48,37
2020-03-29,2020-04-05,103,2
2020-04-06,2020-04-13,55,23
2020-04-06,2020-04-13,142,2
2020-04-06,2020-04-13,68,7
2020-04-06,2020-04-13,120,2
2020-04-06,2020-04-13,157,1
2020-04-06,2020-04-13,107,1
2020-04-06,2020-04-13,122,1
2020-04-06,2020-04-13,97,4
2020-04-06,2020-04-13,196,1
2020-04-06,2020-04-13,49,35
2020-04-06,2020-04-13,96,5
2020-04-06,2020-04-13,85,4
2020-04-06,2020-04-13,56,21
2020-04-06,2020-04-13,61,10
2020-04-06,2020-04-13,67,5
2020-04-06,2020-04-13,209,2
2020-04-06,2020-04-13,99,2
2020-04-06,2020-04-13,119,2
2020-04-06,2020-04-13,114,3
2020-04-06,2020-04-13,73,10
2020-04-06,2020-04-13,165,1
2020-04-06,2020-04-13,106,1
2020-04-06,2020-04-13,118,1
2020-04-06,2020-04-13,77,4
2020-04-06,2020-04-13,70,8
2020-04-06,2020-04-13,141,1
2020-04-06,2020-04-13,203,1
2020-04-06,2020-04-13,69,5
2020-04-06,2020-04-13,83,5
2020-04-06,2020-04-13,246,1
2020-04-06,2020-04-13,60,10
2020-04-06,2020-04-13,80,2
2020-04-06,2020-04-13,98,1
2020-04-06,2020-04-13,123,1
2020-04-14,2020-04-21,223,1
2020-04-14,2020-04-21,63,14
2020-04-14,2020-04-21,170,2
2020-04-14,2020-04-21,139,1
2020-04-14,2020-04-21,259,1
2020-04-14,2020-04-21,129,2
2020-04-14,2020-04-21,229,1
2020-04-14,2020-04-21,71,3
2020-04-14,2020-04-21,59,14
2020-04-14,2020-04-21,254,1
2020-04-14,2020-04-21,72,6
2020-04-14,2020-04-21,89,5
2020-04-14,2020-04-21,153,3
2020-04-14,2020-04-21,117,2
2020-04-14,2020-04-21,144,1
2020-04-14,2020-04-21,101,2
2020-04-14,2020-04-21,256,1
2020-04-22,2020-04-29,82,8
2020-04-22,2020-04-29,198,1
2020-04-22,2020-04-29,191,1
2020-04-22,2020-04-29,155,1
2020-04-22,2020-04-29,250,1
