data_inizio,data_fine,delay,frequenza_delay
2020-02-14,2020-03-06,12,10
2020-02-14,2020-03-06,3,47
2020-02-14,2020-03-06,21,8
2020-02-14,2020-03-06,40,1
2020-03-07,2020-03-28,6,40
2020-03-07,2020-03-28,1,37
2020-03-07,2020-03-28,9,30
2020-03-07,2020-03-28,2,37
2020-03-07,2020-03-28,0,16
2020-03-07,2020-03-28,34,2
2020-03-07,2020-03-28,11,21
2020-03-07,2020-03-28,4,44
2020-03-07,2020-03-28,20,3
2020-03-07,2020-03-28,7,34
2020-03-07,2020-03-28,16,13
2020-03-07,2020-03-28,8,26
2020-03-07,2020-03-28,31,2
2020-03-07,2020-03-28,10,18
2020-03-07,2020-03-28,13,19
2020-03-29,2020-04-19,5,40
2020-03-29,2020-04-19,38,2
2020-03-29,2020-04-19,15,12
2020-03-29,2020-04-19,48,1
2020-03-29,2020-04-19,25,7
2020-03-29,2020-04-19,18,7
2020-04-20,2020-05-11,58,2
2020-04-20,2020-05-11,37,3
2020-05-12,2020-06-02,52,2
2020-05-12,2020-06-02,26,4
2020-09-21,2020-10-12,24,2
2020-09-21,2020-10-12,14,14
2020-09-21,2020-10-12,19,7
2020-09-21,2020-10-12,28,2
2020-09-21,2020-10-12,46,2
2020-09-21,2020-10-12,32,3
2020-10-13,2020-11-03,17,7
2020-10-13,2020-11-03,22,7
2020-10-13,2020-11-03,39,2
2020-10-13,2020-11-03,56,1
2020-10-13,2020-11-03,57,1
2020-10-13,2020-11-03,44,1
2020-11-04,2020-11-25,29,2
2020-11-04,2020-11-25,23,3
2020-11-04,2020-11-25,36,2
2020-11-04,2020-11-25,35,2
2020-11-04,2020-11-25,49,1
2020-11-04,2020-11-25,43,1
2020-11-26,2020-12-17,27,1
