data_inizio,data_fine,delay,frequenza_delay
2020-03-03,2020-04-02,2,12
2020-03-03,2020-04-02,5,15
2020-03-03,2020-04-02,4,26
2020-03-03,2020-04-02,1,11
2020-03-03,2020-04-02,9,11
2020-03-03,2020-04-02,11,5
2020-03-03,2020-04-02,0,12
2020-03-03,2020-04-02,6,7
2020-03-03,2020-04-02,8,11
2020-03-03,2020-04-02,7,17
2020-03-03,2020-04-02,16,7
2020-03-03,2020-04-02,17,4
2020-03-03,2020-04-02,29,1
2020-03-03,2020-04-02,12,6
2020-03-03,2020-04-02,10,7
2020-03-03,2020-04-02,21,2
2020-04-03,2020-05-03,3,15
2020-10-06,2020-11-05,18,1
2020-10-06,2020-11-05,15,6
2020-10-06,2020-11-05,24,1
2020-10-06,2020-11-05,19,3
2020-10-06,2020-11-05,13,4
2020-11-06,2020-12-06,31,1
