data_inizio,data_fine,delay,frequenza_delay
2020-03-02,2020-05-01,9,23
2020-03-02,2020-05-01,33,3
2020-03-02,2020-05-01,3,14
2020-03-02,2020-05-01,8,22
2020-03-02,2020-05-01,4,23
2020-03-02,2020-05-01,35,5
2020-03-02,2020-05-01,6,26
2020-03-02,2020-05-01,17,16
2020-03-02,2020-05-01,47,2
2020-03-02,2020-05-01,7,20
2020-03-02,2020-05-01,12,16
2020-03-02,2020-05-01,34,4
2020-03-02,2020-05-01,0,6
2020-03-02,2020-05-01,38,4
2020-03-02,2020-05-01,5,25
2020-03-02,2020-05-01,2,8
2020-03-02,2020-05-01,1,10
2020-03-02,2020-05-01,42,1
2020-03-02,2020-05-01,15,19
2020-03-02,2020-05-01,10,16
2020-03-02,2020-05-01,26,5
2020-03-02,2020-05-01,16,16
2020-03-02,2020-05-01,13,21
2020-03-02,2020-05-01,11,15
2020-03-02,2020-05-01,40,2
2020-03-02,2020-05-01,19,13
2020-03-02,2020-05-01,48,1
2020-03-02,2020-05-01,14,15
2020-03-02,2020-05-01,22,11
2020-03-02,2020-05-01,20,6
2020-03-02,2020-05-01,37,3
2020-03-02,2020-05-01,58,2
2020-03-02,2020-05-01,41,2
2020-05-02,2020-07-01,21,5
2020-05-02,2020-07-01,83,1
2020-09-01,2020-10-31,61,1
2020-09-01,2020-10-31,24,4
2020-09-01,2020-10-31,32,4
2020-09-01,2020-10-31,30,7
2020-09-01,2020-10-31,36,4
2020-09-01,2020-10-31,51,1
2020-09-01,2020-10-31,39,5
2020-09-01,2020-10-31,65,1
2020-09-01,2020-10-31,23,5
2020-09-01,2020-10-31,28,6
2020-09-01,2020-10-31,59,1
2020-09-01,2020-10-31,52,1
2020-11-01,2020-12-31,57,1
2020-11-01,2020-12-31,46,1
2020-11-01,2020-12-31,54,2
2020-11-01,2020-12-31,18,7
2020-11-01,2020-12-31,25,6
2020-11-01,2020-12-31,29,2
2020-11-01,2020-12-31,27,4
2020-11-01,2020-12-31,49,1
2020-11-01,2020-12-31,50,1
2020-11-01,2020-12-31,31,2
