data_inizio,data_fine,delay,frequenza_delay
2020-02-14,2020-03-06,23,4
2020-03-07,2020-03-28,0,2
2020-03-07,2020-03-28,8,12
2020-03-07,2020-03-28,4,12
2020-03-07,2020-03-28,13,12
2020-03-07,2020-03-28,48,3
2020-03-07,2020-03-28,11,16
2020-03-07,2020-03-28,21,6
2020-03-29,2020-04-19,9,17
2020-03-29,2020-04-19,14,7
2020-03-29,2020-04-19,5,12
2020-03-29,2020-04-19,19,3
2020-03-29,2020-04-19,26,2
2020-03-29,2020-04-19,10,13
2020-03-29,2020-04-19,12,15
2020-03-29,2020-04-19,7,11
2020-03-29,2020-04-19,3,13
2020-03-29,2020-04-19,17,7
2020-04-20,2020-05-11,2,8
2020-06-03,2020-06-24,27,4
2020-08-08,2020-08-29,22,2
2020-08-30,2020-09-20,35,1
2020-08-30,2020-09-20,18,6
2020-09-21,2020-10-12,30,3
2020-09-21,2020-10-12,44,1
2020-09-21,2020-10-12,62,1
2020-09-21,2020-10-12,58,1
2020-09-21,2020-10-12,32,2
2020-10-13,2020-11-03,6,15
2020-10-13,2020-11-03,45,2
2020-10-13,2020-11-03,25,1
2020-10-13,2020-11-03,15,6
2020-10-13,2020-11-03,29,2
2020-10-13,2020-11-03,1,5
2020-10-13,2020-11-03,16,1
2020-10-13,2020-11-03,33,2
2020-10-13,2020-11-03,34,1
2020-10-13,2020-11-03,28,2
2020-11-04,2020-11-25,47,1
2020-11-04,2020-11-25,24,1
2020-11-04,2020-11-25,39,1
2020-11-04,2020-11-25,40,1
