data_inizio,data_fine,delay,frequenza_delay
2020-02-01,2020-03-02,43,14
2020-02-01,2020-03-02,40,14
2020-02-01,2020-03-02,9,79
2020-02-01,2020-03-02,71,4
2020-02-01,2020-03-02,49,9
2020-02-01,2020-03-02,33,24
2020-02-01,2020-03-02,27,23
2020-02-01,2020-03-02,20,56
2020-03-03,2020-04-02,19,64
2020-03-03,2020-04-02,21,50
2020-03-03,2020-04-02,117,2
2020-03-03,2020-04-02,24,43
2020-03-03,2020-04-02,45,18
2020-03-03,2020-04-02,88,2
2020-03-03,2020-04-02,8,64
2020-03-03,2020-04-02,18,51
2020-03-03,2020-04-02,297,1
2020-03-03,2020-04-02,17,64
2020-03-03,2020-04-02,23,33
2020-03-03,2020-04-02,16,48
2020-03-03,2020-04-02,11,72
2020-03-03,2020-04-02,12,68
2020-03-03,2020-04-02,57,9
2020-03-03,2020-04-02,25,40
2020-03-03,2020-04-02,28,27
2020-03-03,2020-04-02,74,6
2020-03-03,2020-04-02,10,66
2020-03-03,2020-04-02,13,57
2020-03-03,2020-04-02,38,23
2020-03-03,2020-04-02,3,31
2020-03-03,2020-04-02,62,4
2020-03-03,2020-04-02,29,33
2020-03-03,2020-04-02,2,20
2020-03-03,2020-04-02,15,49
2020-03-03,2020-04-02,37,12
2020-03-03,2020-04-02,41,8
2020-03-03,2020-04-02,34,22
2020-03-03,2020-04-02,30,22
2020-03-03,2020-04-02,133,1
2020-03-03,2020-04-02,32,24
2020-03-03,2020-04-02,46,18
2020-03-03,2020-04-02,39,18
2020-03-03,2020-04-02,5,42
2020-03-03,2020-04-02,14,76
2020-03-03,2020-04-02,279,1
2020-03-03,2020-04-02,31,23
2020-03-03,2020-04-02,87,2
2020-03-03,2020-04-02,7,62
2020-03-03,2020-04-02,102,1
2020-03-03,2020-04-02,6,56
2020-03-03,2020-04-02,51,11
2020-03-03,2020-04-02,55,10
2020-03-03,2020-04-02,1,8
2020-03-03,2020-04-02,56,8
2020-03-03,2020-04-02,4,34
2020-03-03,2020-04-02,47,8
2020-03-03,2020-04-02,44,17
2020-03-03,2020-04-02,78,2
2020-03-03,2020-04-02,68,1
2020-03-03,2020-04-02,26,39
2020-03-03,2020-04-02,96,2
2020-03-03,2020-04-02,22,44
2020-03-03,2020-04-02,35,15
2020-03-03,2020-04-02,53,9
2020-03-03,2020-04-02,50,8
2020-03-03,2020-04-02,98,3
2020-03-03,2020-04-02,66,3
2020-03-03,2020-04-02,36,18
2020-03-03,2020-04-02,156,1
2020-03-03,2020-04-02,58,3
2020-03-03,2020-04-02,72,4
2020-03-03,2020-04-02,76,1
2020-04-03,2020-05-03,65,6
2020-04-03,2020-05-03,144,1
2020-04-03,2020-05-03,199,1
2020-04-03,2020-05-03,59,7
2020-04-03,2020-05-03,160,1
2020-04-03,2020-05-03,42,10
2020-04-03,2020-05-03,75,5
2020-04-03,2020-05-03,109,1
2020-04-03,2020-05-03,93,1
2020-04-03,2020-05-03,64,2
2020-04-03,2020-05-03,67,6
2020-04-03,2020-05-03,263,1
2020-04-03,2020-05-03,124,1
2020-04-03,2020-05-03,107,1
2020-04-03,2020-05-03,146,1
2020-04-03,2020-05-03,105,1
2020-04-03,2020-05-03,86,1
2020-04-03,2020-05-03,52,12
2020-04-03,2020-05-03,145,1
2020-04-03,2020-05-03,261,1
2020-04-03,2020-05-03,253,1
2020-04-03,2020-05-03,48,11
2020-04-03,2020-05-03,85,1
2020-04-03,2020-05-03,73,2
2020-04-03,2020-05-03,262,1
2020-04-03,2020-05-03,60,2
2020-04-03,2020-05-03,118,1
2020-04-03,2020-05-03,89,1
2020-04-03,2020-05-03,80,1
2020-04-03,2020-05-03,81,1
2020-04-03,2020-05-03,188,1
2020-04-03,2020-05-03,77,1
2020-04-03,2020-05-03,97,1
2020-05-04,2020-06-03,63,1
2020-06-04,2020-07-04,185,1
2020-08-05,2020-09-04,116,1
2020-09-05,2020-10-05,90,1
2020-09-05,2020-10-05,91,1
2020-10-06,2020-11-05,61,1
2020-10-06,2020-11-05,70,1
2020-10-06,2020-11-05,69,1
