data_inizio,data_fine,delay,frequenza_delay
2020-02-24,2020-02-24,45,25
2020-02-26,2020-02-26,23,101
2020-02-26,2020-02-26,52,24
2020-02-27,2020-02-27,49,34
2020-02-27,2020-02-27,25,91
2020-02-27,2020-02-27,21,110
2020-02-28,2020-02-28,56,13
2020-02-29,2020-02-29,20,118
2020-02-29,2020-02-29,76,4
2020-03-01,2020-03-01,16,139
2020-03-01,2020-03-01,29,53
2020-03-01,2020-03-01,31,48
2020-03-02,2020-03-02,18,115
2020-03-02,2020-03-02,22,96
2020-03-03,2020-03-03,44,39
2020-03-04,2020-03-04,8,91
2020-03-04,2020-03-04,14,152
2020-03-04,2020-03-04,63,7
2020-03-04,2020-03-04,24,64
2020-03-05,2020-03-05,9,123
2020-03-05,2020-03-05,11,150
2020-03-05,2020-03-05,33,56
2020-03-05,2020-03-05,17,113
2020-03-05,2020-03-05,93,1
2020-03-05,2020-03-05,301,1
2020-03-06,2020-03-06,15,151
2020-03-06,2020-03-06,37,41
2020-03-07,2020-03-07,50,22
2020-03-08,2020-03-08,40,31
2020-03-08,2020-03-08,30,58
2020-03-10,2020-03-10,5,55
2020-03-11,2020-03-11,19,139
2020-03-11,2020-03-11,27,69
2020-03-11,2020-03-11,72,4
2020-03-12,2020-03-12,28,68
2020-03-12,2020-03-12,12,144
2020-03-12,2020-03-12,7,77
2020-03-12,2020-03-12,35,50
2020-03-12,2020-03-12,13,145
2020-03-12,2020-03-12,34,36
2020-03-12,2020-03-12,39,32
2020-03-13,2020-03-13,4,46
2020-03-13,2020-03-13,59,18
2020-03-14,2020-03-14,86,3
2020-03-14,2020-03-14,26,77
2020-03-14,2020-03-14,67,6
2020-03-14,2020-03-14,137,1
2020-03-15,2020-03-15,3,22
2020-03-15,2020-03-15,58,14
2020-03-15,2020-03-15,65,5
2020-03-16,2020-03-16,43,31
2020-03-16,2020-03-16,94,4
2020-03-17,2020-03-17,36,36
2020-03-17,2020-03-17,51,19
2020-03-17,2020-03-17,57,18
2020-03-17,2020-03-17,64,7
2020-03-18,2020-03-18,38,34
2020-03-18,2020-03-18,41,30
2020-03-18,2020-03-18,115,2
2020-03-18,2020-03-18,54,17
2020-03-18,2020-03-18,78,4
2020-03-18,2020-03-18,75,7
2020-03-19,2020-03-19,6,91
2020-03-19,2020-03-19,103,2
2020-03-20,2020-03-20,10,127
2020-03-21,2020-03-21,101,3
2020-03-21,2020-03-21,71,9
2020-03-22,2020-03-22,48,27
2020-03-22,2020-03-22,141,1
2020-03-22,2020-03-22,73,10
2020-03-23,2020-03-23,60,12
2020-03-23,2020-03-23,283,1
2020-03-23,2020-03-23,77,9
2020-03-24,2020-03-24,121,1
2020-03-25,2020-03-25,92,2
2020-03-25,2020-03-25,32,51
2020-03-25,2020-03-25,42,25
2020-03-25,2020-03-25,62,7
2020-03-26,2020-03-26,47,19
2020-03-26,2020-03-26,175,1
2020-03-26,2020-03-26,112,2
2020-03-26,2020-03-26,181,1
2020-03-27,2020-03-27,2,6
2020-03-27,2020-03-27,132,1
2020-03-29,2020-03-29,104,1
2020-03-29,2020-03-29,53,13
2020-03-29,2020-03-29,150,1
2020-03-30,2020-03-30,91,1
2020-03-30,2020-03-30,157,1
2020-03-30,2020-03-30,118,2
2020-03-31,2020-03-31,61,16
2020-03-31,2020-03-31,165,1
2020-03-31,2020-03-31,46,32
2020-03-31,2020-03-31,136,2
2020-04-03,2020-04-03,139,1
2020-04-03,2020-04-03,85,4
2020-04-03,2020-04-03,70,4
2020-04-04,2020-04-04,74,4
2020-04-04,2020-04-04,144,2
2020-04-05,2020-04-05,124,1
2020-04-05,2020-04-05,55,18
2020-04-06,2020-04-06,1,3
2020-04-06,2020-04-06,79,3
2020-04-06,2020-04-06,116,1
2020-04-07,2020-04-07,102,2
2020-04-07,2020-04-07,145,1
2020-04-07,2020-04-07,68,7
2020-04-08,2020-04-08,170,1
2020-04-08,2020-04-08,119,1
2020-04-09,2020-04-09,266,1
2020-04-10,2020-04-10,125,1
2020-04-10,2020-04-10,106,1
2020-04-10,2020-04-10,265,1
2020-04-11,2020-04-11,110,1
2020-04-12,2020-04-12,174,1
2020-04-13,2020-04-13,95,1
2020-04-13,2020-04-13,83,3
2020-04-14,2020-04-14,84,2
2020-04-15,2020-04-15,111,1
2020-04-17,2020-04-17,148,1
2020-04-21,2020-04-21,155,1
2020-04-21,2020-04-21,99,2
2020-04-21,2020-04-21,81,3
2020-04-22,2020-04-22,66,3
2020-04-22,2020-04-22,98,1
2020-04-22,2020-04-22,163,1
2020-04-25,2020-04-25,69,5
2020-04-27,2020-04-27,129,1
2020-04-29,2020-04-29,122,1
2020-05-13,2020-05-13,87,2
2020-05-22,2020-05-22,90,2
2020-06-03,2020-06-03,88,2
2020-06-04,2020-06-04,183,1
2020-09-02,2020-09-02,120,1
2020-10-12,2020-10-12,80,1
