data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-08-28,27,5
2020-01-01,2020-08-28,24,1
2020-01-01,2020-08-28,18,4
2020-01-01,2020-08-28,21,4
2020-01-01,2020-08-28,28,2
2020-08-29,2021-04-26,26,3
2020-08-29,2021-04-26,23,2
2020-08-29,2021-04-26,15,2
2020-08-29,2021-04-26,17,3
2020-08-29,2021-04-26,22,2
2020-08-29,2021-04-26,20,3
2020-08-29,2021-04-26,19,3
2020-08-29,2021-04-26,25,3
2020-08-29,2021-04-26,16,2
2020-08-29,2021-04-26,29,1
2020-08-29,2021-04-26,34,1
2020-08-29,2021-04-26,14,1
2020-08-29,2021-04-26,30,1
