data_inizio,data_fine,delay,frequenza_delay
2020-02-22,2020-02-23,28,10
2020-03-01,2020-03-02,14,10
2020-03-01,2020-03-02,34,3
2020-03-03,2020-03-04,31,8
2020-03-07,2020-03-08,22,13
2020-03-07,2020-03-08,32,4
2020-03-09,2020-03-10,20,12
2020-03-09,2020-03-10,24,13
2020-03-11,2020-03-12,8,3
2020-03-11,2020-03-12,18,19
2020-03-13,2020-03-14,9,3
2020-03-13,2020-03-14,19,13
2020-03-21,2020-03-22,21,9
2020-03-21,2020-03-22,15,8
2020-03-23,2020-03-24,17,12
2020-03-23,2020-03-24,16,11
2020-03-23,2020-03-24,2,1
2020-03-23,2020-03-24,12,7
2020-03-29,2020-03-30,48,1
2020-03-29,2020-03-30,13,2
2020-04-04,2020-04-05,11,7
2020-04-04,2020-04-05,27,9
2020-04-08,2020-04-09,26,8
2020-04-10,2020-04-11,7,6
2020-04-22,2020-04-23,4,1
2020-04-26,2020-04-27,23,12
2020-05-06,2020-05-07,10,5
2020-09-11,2020-09-12,29,8
2020-09-25,2020-09-26,44,3
2020-10-13,2020-10-14,25,7
2020-10-17,2020-10-18,30,3
2020-10-17,2020-10-18,46,1
2020-10-21,2020-10-22,40,2
2020-10-21,2020-10-22,35,3
2020-10-23,2020-10-24,6,5
2020-10-23,2020-10-24,36,3
2020-10-27,2020-10-28,3,2
2020-10-27,2020-10-28,38,4
2020-10-31,2020-11-01,54,1
2020-11-04,2020-11-05,37,1
2020-11-10,2020-11-11,33,1
