data_inizio,data_fine,delay,frequenza_delay
2020-02-12,2020-02-12,34,178
2020-02-22,2020-02-22,32,279
2020-02-24,2020-02-24,35,109
2020-02-25,2020-02-25,25,918
2020-02-26,2020-02-26,27,713
2020-02-26,2020-02-26,33,246
2020-02-27,2020-02-27,17,985
2020-02-28,2020-02-28,26,741
2020-03-01,2020-03-01,19,1353
2020-03-01,2020-03-01,30,386
2020-03-01,2020-03-01,29,540
2020-03-02,2020-03-02,23,1185
2020-03-02,2020-03-02,28,563
2020-03-03,2020-03-03,31,339
2020-03-05,2020-03-05,20,1477
2020-03-06,2020-03-06,18,1168
2020-03-06,2020-03-06,22,1420
2020-03-06,2020-03-06,36,88
2020-03-07,2020-03-07,21,1651
2020-03-08,2020-03-08,16,722
2020-03-10,2020-03-10,14,128
2020-03-12,2020-03-12,37,52
2020-03-13,2020-03-13,24,1007
2020-03-15,2020-03-15,15,411
2020-04-03,2020-04-03,39,9
2020-06-15,2020-06-15,38,28
2020-10-13,2020-10-13,40,3
2020-11-01,2020-11-01,41,1
2020-12-12,2020-12-12,13,39
2020-12-13,2020-12-13,12,22
2020-12-14,2020-12-14,11,21
2020-12-15,2020-12-15,10,11
