data_inizio,data_fine,delay,frequenza_delay
2020-02-10,2020-02-17,27,63
2020-02-18,2020-02-25,11,163
2020-02-18,2020-02-25,16,144
2020-02-18,2020-02-25,18,182
2020-02-26,2020-03-04,43,8
2020-02-26,2020-03-04,8,225
2020-02-26,2020-03-04,9,191
2020-02-26,2020-03-04,13,132
2020-02-26,2020-03-04,49,3
2020-02-26,2020-03-04,10,178
2020-02-26,2020-03-04,45,7
2020-02-26,2020-03-04,25,93
2020-02-26,2020-03-04,12,149
2020-02-26,2020-03-04,15,124
2020-02-26,2020-03-04,17,170
2020-02-26,2020-03-04,34,22
2020-02-26,2020-03-04,29,45
2020-02-26,2020-03-04,30,47
2020-02-26,2020-03-04,33,35
2020-03-05,2020-03-12,4,301
2020-03-05,2020-03-12,1,78
2020-03-05,2020-03-12,6,253
2020-03-05,2020-03-12,5,267
2020-03-05,2020-03-12,7,262
2020-03-05,2020-03-12,3,281
2020-03-05,2020-03-12,22,146
2020-03-05,2020-03-12,19,179
2020-03-05,2020-03-12,24,90
2020-03-05,2020-03-12,23,113
2020-03-05,2020-03-12,41,5
2020-03-05,2020-03-12,28,58
2020-03-05,2020-03-12,31,33
2020-03-05,2020-03-12,32,24
2020-03-05,2020-03-12,37,13
2020-03-13,2020-03-20,14,131
2020-03-13,2020-03-20,2,206
2020-03-13,2020-03-20,21,165
2020-03-13,2020-03-20,20,157
2020-03-13,2020-03-20,38,8
2020-03-13,2020-03-20,62,2
2020-03-13,2020-03-20,40,5
2020-03-13,2020-03-20,26,80
2020-03-13,2020-03-20,133,1
2020-03-13,2020-03-20,51,5
2020-03-13,2020-03-20,46,4
2020-03-13,2020-03-20,39,5
2020-03-13,2020-03-20,56,4
2020-03-13,2020-03-20,48,3
2020-03-13,2020-03-20,35,18
2020-03-13,2020-03-20,53,5
2020-03-21,2020-03-28,279,1
2020-03-21,2020-03-28,87,2
2020-03-21,2020-03-28,44,2
2020-03-21,2020-03-28,96,1
2020-03-21,2020-03-28,117,1
2020-03-21,2020-03-28,57,3
2020-03-21,2020-03-28,72,1
2020-03-29,2020-04-05,47,1
2020-03-29,2020-04-05,65,3
2020-03-29,2020-04-05,36,15
2020-03-29,2020-04-05,76,1
2020-04-06,2020-04-13,142,1
2020-04-06,2020-04-13,74,1
2020-04-06,2020-04-13,109,1
2020-04-06,2020-04-13,64,2
2020-04-06,2020-04-13,71,3
2020-04-06,2020-04-13,55,6
2020-04-06,2020-04-13,86,1
2020-04-06,2020-04-13,98,1
2020-04-06,2020-04-13,261,2
2020-04-06,2020-04-13,60,1
2020-04-06,2020-04-13,80,1
2020-04-06,2020-04-13,81,1
2020-04-14,2020-04-21,88,1
2020-04-14,2020-04-21,70,1
2020-04-14,2020-04-21,89,1
2020-04-22,2020-04-29,52,2
2020-04-22,2020-04-29,59,2
2020-04-22,2020-04-29,97,1
2020-06-17,2020-06-24,185,1
2020-10-07,2020-10-14,75,1
2020-10-15,2020-10-22,66,2
2020-10-15,2020-10-22,67,1
2020-10-31,2020-11-07,42,3
2020-11-08,2020-11-15,50,1
