data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,23,1268
2020-01-01,2020-04-30,15,437
2020-01-01,2020-04-30,14,145
2020-01-01,2020-04-30,29,514
2020-01-01,2020-04-30,24,1015
2020-01-01,2020-04-30,27,667
2020-01-01,2020-04-30,32,292
2020-01-01,2020-04-30,20,1578
2020-01-01,2020-04-30,19,1429
2020-01-01,2020-04-30,25,941
2020-01-01,2020-04-30,31,319
2020-01-01,2020-04-30,21,1544
2020-01-01,2020-04-30,18,1175
2020-01-01,2020-04-30,30,448
2020-01-01,2020-04-30,17,965
2020-01-01,2020-04-30,22,1428
2020-01-01,2020-04-30,26,800
2020-01-01,2020-04-30,28,610
2020-01-01,2020-04-30,16,744
2020-01-01,2020-04-30,35,156
2020-01-01,2020-04-30,36,89
2020-01-01,2020-04-30,33,206
2020-01-01,2020-04-30,37,70
2020-01-01,2020-04-30,34,195
2020-01-01,2020-04-30,38,31
2020-01-01,2020-04-30,39,14
2020-01-01,2020-04-30,40,5
2020-08-30,2020-12-28,13,30
2020-08-30,2020-12-28,12,28
2020-08-30,2020-12-28,11,26
2020-08-30,2020-12-28,10,4
