data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,27,109
2020-01-01,2020-12-31,49,32
2020-01-01,2020-12-31,45,27
2020-01-01,2020-12-31,18,226
2020-01-01,2020-12-31,8,127
2020-01-01,2020-12-31,62,11
2020-01-01,2020-12-31,16,219
2020-01-01,2020-12-31,10,165
2020-01-01,2020-12-31,71,10
2020-01-01,2020-12-31,23,182
2020-01-01,2020-12-31,15,218
2020-01-01,2020-12-31,21,235
2020-01-01,2020-12-31,29,94
2020-01-01,2020-12-31,9,145
2020-01-01,2020-12-31,11,175
2020-01-01,2020-12-31,14,180
2020-01-01,2020-12-31,33,91
2020-01-01,2020-12-31,17,203
2020-01-01,2020-12-31,22,220
2020-01-01,2020-12-31,117,1
2020-01-01,2020-12-31,37,44
2020-01-01,2020-12-31,12,176
2020-01-01,2020-12-31,63,7
2020-01-01,2020-12-31,25,163
2020-01-01,2020-12-31,5,86
2020-01-01,2020-12-31,20,233
2020-01-01,2020-12-31,88,4
2020-01-01,2020-12-31,28,118
2020-01-01,2020-12-31,19,251
2020-01-01,2020-12-31,0,9
2020-01-01,2020-12-31,93,3
2020-01-01,2020-12-31,6,129
2020-01-01,2020-12-31,34,58
2020-01-01,2020-12-31,40,38
2020-01-01,2020-12-31,3,63
2020-01-01,2020-12-31,24,131
2020-01-01,2020-12-31,30,98
2020-01-01,2020-12-31,4,79
2020-01-01,2020-12-31,35,60
2020-01-01,2020-12-31,7,119
2020-01-01,2020-12-31,13,174
2020-01-01,2020-12-31,31,78
2020-01-01,2020-12-31,43,38
2020-01-01,2020-12-31,2,36
2020-01-01,2020-12-31,56,13
2020-01-01,2020-12-31,50,25
2020-01-01,2020-12-31,39,45
2020-01-01,2020-12-31,26,148
2020-01-01,2020-12-31,38,43
2020-01-01,2020-12-31,44,42
2020-01-01,2020-12-31,76,4
2020-01-01,2020-12-31,41,37
2020-01-01,2020-12-31,94,2
2020-01-01,2020-12-31,36,40
2020-01-01,2020-12-31,115,2
2020-01-01,2020-12-31,137,1
2020-01-01,2020-12-31,48,27
2020-01-01,2020-12-31,51,19
2020-01-01,2020-12-31,1,25
2020-01-01,2020-12-31,32,73
2020-01-01,2020-12-31,46,33
2020-01-01,2020-12-31,60,12
2020-01-01,2020-12-31,47,22
2020-01-01,2020-12-31,72,6
2020-01-01,2020-12-31,55,21
2020-01-01,2020-12-31,283,1
2020-01-01,2020-12-31,101,3
2020-01-01,2020-12-31,77,7
2020-01-01,2020-12-31,59,19
2020-01-01,2020-12-31,92,2
2020-01-01,2020-12-31,58,15
2020-01-01,2020-12-31,132,1
2020-01-01,2020-12-31,135,1
2020-01-01,2020-12-31,52,32
2020-01-01,2020-12-31,65,8
2020-01-01,2020-12-31,57,23
2020-01-01,2020-12-31,175,1
2020-01-01,2020-12-31,54,19
2020-01-01,2020-12-31,42,25
2020-01-01,2020-12-31,78,6
2020-01-01,2020-12-31,141,1
2020-01-01,2020-12-31,96,1
2020-01-01,2020-12-31,121,1
2020-01-01,2020-12-31,64,11
2020-01-01,2020-12-31,112,1
2020-01-01,2020-12-31,75,6
2020-01-01,2020-12-31,131,1
2020-01-01,2020-12-31,165,1
2020-01-01,2020-12-31,74,6
2020-01-01,2020-12-31,66,4
2020-01-01,2020-12-31,53,16
2020-01-01,2020-12-31,102,1
2020-01-01,2020-12-31,144,3
2020-01-01,2020-12-31,91,1
2020-01-01,2020-12-31,145,1
2020-01-01,2020-12-31,181,1
2020-01-01,2020-12-31,124,1
2020-01-01,2020-12-31,199,1
2020-01-01,2020-12-31,68,7
2020-01-01,2020-12-31,105,1
2020-01-01,2020-12-31,139,1
2020-01-01,2020-12-31,157,1
2020-01-01,2020-12-31,79,5
2020-01-01,2020-12-31,82,1
2020-01-01,2020-12-31,150,1
2020-01-01,2020-12-31,67,9
2020-01-01,2020-12-31,73,11
2020-01-01,2020-12-31,160,1
2020-01-01,2020-12-31,83,3
2020-01-01,2020-12-31,116,1
2020-01-01,2020-12-31,85,5
2020-01-01,2020-12-31,118,2
2020-01-01,2020-12-31,174,1
2020-01-01,2020-12-31,136,2
2020-01-01,2020-12-31,86,1
2020-01-01,2020-12-31,95,1
2020-01-01,2020-12-31,263,1
2020-01-01,2020-12-31,110,1
2020-01-01,2020-12-31,125,1
2020-01-01,2020-12-31,103,2
2020-01-01,2020-12-31,106,1
2020-01-01,2020-12-31,70,4
2020-01-01,2020-12-31,146,1
2020-01-01,2020-12-31,111,1
2020-01-01,2020-12-31,61,13
2020-01-01,2020-12-31,265,1
2020-01-01,2020-12-31,87,3
2020-01-01,2020-12-31,148,1
2020-01-01,2020-12-31,170,1
2020-01-01,2020-12-31,253,1
2020-01-01,2020-12-31,155,1
2020-01-01,2020-12-31,266,1
2020-01-01,2020-12-31,99,2
2020-01-01,2020-12-31,119,1
2020-01-01,2020-12-31,188,1
2020-01-01,2020-12-31,84,2
2020-01-01,2020-12-31,98,1
2020-01-01,2020-12-31,69,5
2020-01-01,2020-12-31,163,1
2020-01-01,2020-12-31,81,2
2020-01-01,2020-12-31,122,1
2020-01-01,2020-12-31,183,1
2020-01-01,2020-12-31,90,3
2020-01-01,2020-12-31,186,1
2020-01-01,2020-12-31,120,1
2020-01-01,2020-12-31,80,1
