data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-03-01,2,150
2020-01-01,2020-03-01,6,93
2020-01-01,2020-03-01,9,54
2020-03-02,2020-05-01,1,199
2020-03-02,2020-05-01,3,119
2020-03-02,2020-05-01,0,102
2020-03-02,2020-05-01,4,111
2020-03-02,2020-05-01,10,36
2020-03-02,2020-05-01,14,22
2020-03-02,2020-05-01,7,62
2020-03-02,2020-05-01,5,81
2020-03-02,2020-05-01,8,76
2020-03-02,2020-05-01,16,15
2020-03-02,2020-05-01,15,21
2020-03-02,2020-05-01,20,4
2020-03-02,2020-05-01,13,21
2020-03-02,2020-05-01,12,22
2020-03-02,2020-05-01,11,34
2020-03-02,2020-05-01,18,11
2020-03-02,2020-05-01,17,9
2020-03-02,2020-05-01,19,2
