data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,9,75
2020-01-01,2020-04-30,12,47
2020-01-01,2020-04-30,5,159
2020-01-01,2020-04-30,3,184
2020-01-01,2020-04-30,7,119
2020-01-01,2020-04-30,17,17
2020-01-01,2020-04-30,1,168
2020-01-01,2020-04-30,2,197
2020-01-01,2020-04-30,4,178
2020-01-01,2020-04-30,6,128
2020-01-01,2020-04-30,8,92
2020-01-01,2020-04-30,10,70
2020-01-01,2020-04-30,15,34
2020-01-01,2020-04-30,14,38
2020-01-01,2020-04-30,13,52
2020-01-01,2020-04-30,11,58
2020-01-01,2020-04-30,19,9
2020-01-01,2020-04-30,16,22
2020-01-01,2020-04-30,20,9
2020-01-01,2020-04-30,18,10
2020-08-30,2020-12-28,21,1
