data_inizio,data_fine,delay,frequenza_delay
2020-02-17,2020-02-17,18,-1
2020-02-21,2020-02-21,13,-1
2020-02-23,2020-02-23,12,-1
2020-02-23,2020-02-23,16,-1
2020-02-24,2020-02-24,12,-1
2020-02-25,2020-02-25,17,-1
2020-02-26,2020-02-26,6,-1
2020-02-26,2020-02-26,9,-1
2020-02-26,2020-02-26,15,-1
2020-02-27,2020-02-27,6,-1
2020-02-28,2020-02-28,13,-1
2020-02-28,2020-02-28,14,-1
2020-02-29,2020-02-29,2,-1
2020-02-29,2020-02-29,11,-1
2020-03-01,2020-03-01,2,-1
2020-03-01,2020-03-01,3,-1
2020-03-01,2020-03-01,7,-1
2020-03-03,2020-03-03,2,-1
2020-03-04,2020-03-04,1,-1
2020-03-04,2020-03-04,4,-1
2020-03-04,2020-03-04,5,-1
2020-03-04,2020-03-04,8,-1
2020-03-04,2020-03-04,10,-1
2020-03-04,2020-03-04,19,-1
2020-03-05,2020-03-05,1,-1
2020-03-06,2020-03-06,3,-1
2020-03-07,2020-03-07,2,-1
2020-03-08,2020-03-08,1,-1
2020-03-09,2020-03-09,1,-1
2020-03-10,2020-03-10,1,-1
2020-03-11,2020-03-11,3,-1
2020-03-12,2020-03-12,1,-1
2020-03-13,2020-03-13,1,4
2020-03-14,2020-03-14,2,-1
2020-03-15,2020-03-15,1,-1
2020-03-16,2020-03-16,1,-1
2020-03-17,2020-03-17,1,-1
2020-03-18,2020-03-18,1,-1
2020-03-19,2020-03-19,1,-1
2020-03-20,2020-03-20,1,-1
2020-03-21,2020-03-21,1,-1
2020-03-22,2020-03-22,1,6
2020-03-23,2020-03-23,2,-1
2020-03-24,2020-03-24,1,4
2020-03-25,2020-03-25,1,4
2020-03-26,2020-03-26,1,6
2020-03-27,2020-03-27,1,-1
2020-03-28,2020-03-28,1,4
2020-03-29,2020-03-29,1,-1
2020-03-30,2020-03-30,1,-1
2020-03-31,2020-03-31,1,-1
2020-04-01,2020-04-01,1,-1
2020-04-02,2020-04-02,1,-1
2020-04-03,2020-04-03,1,-1
2020-04-04,2020-04-04,3,-1
2020-04-05,2020-04-05,1,-1
2020-04-06,2020-04-06,1,4
2020-04-07,2020-04-07,1,-1
2020-04-08,2020-04-08,1,-1
2020-04-09,2020-04-09,1,-1
2020-04-10,2020-04-10,1,5
2020-04-11,2020-04-11,2,-1
2020-04-12,2020-04-12,1,-1
2020-04-13,2020-04-13,2,-1
2020-04-14,2020-04-14,1,4
2020-04-15,2020-04-15,1,-1
2020-04-16,2020-04-16,1,-1
2020-04-17,2020-04-17,1,4
2020-04-18,2020-04-18,4,-1
2020-04-19,2020-04-19,2,-1
2020-04-20,2020-04-20,1,-1
2020-04-21,2020-04-21,1,-1
2020-04-22,2020-04-22,1,-1
2020-04-23,2020-04-23,6,-1
2020-04-24,2020-04-24,1,-1
2020-04-25,2020-04-25,2,-1
2020-04-26,2020-04-26,2,-1
2020-04-27,2020-04-27,1,-1
2020-04-28,2020-04-28,2,-1
2020-04-29,2020-04-29,1,-1
2020-04-30,2020-04-30,2,-1
2020-05-01,2020-05-01,3,-1
2020-05-02,2020-05-02,4,-1
2020-05-04,2020-05-04,4,-1
2020-05-05,2020-05-05,1,-1
2020-05-06,2020-05-06,2,-1
2020-05-08,2020-05-08,1,-1
2020-05-09,2020-05-09,1,-1
2020-05-10,2020-05-10,2,-1
2020-05-11,2020-05-11,1,-1
2020-05-12,2020-05-12,2,-1
2020-05-14,2020-05-14,1,-1
2020-05-16,2020-05-16,3,-1
2020-05-17,2020-05-17,9,-1
2020-05-18,2020-05-18,1,-1
2020-05-19,2020-05-19,10,-1
2020-05-20,2020-05-20,1,-1
2020-05-22,2020-05-22,2,-1
2020-05-23,2020-05-23,3,-1
2020-05-26,2020-05-26,17,-1
2020-05-29,2020-05-29,1,-1
2020-06-03,2020-06-03,2,-1
2020-06-04,2020-06-04,8,-1
2020-06-05,2020-06-05,6,-1
2020-06-08,2020-06-08,2,-1
2020-06-10,2020-06-10,1,-1
2020-06-18,2020-06-18,1,-1
2020-06-22,2020-06-22,1,-1
2020-06-24,2020-06-24,9,-1
2020-06-25,2020-06-25,4,-1
2020-06-29,2020-06-29,2,-1
2020-07-07,2020-07-07,7,-1
2020-07-14,2020-07-14,9,-1
2020-07-18,2020-07-18,13,-1
2020-07-22,2020-07-22,7,-1
2020-07-28,2020-07-28,10,-1
2020-08-01,2020-08-01,6,-1
2020-08-03,2020-08-03,1,-1
2020-08-12,2020-08-12,3,-1
2020-08-17,2020-08-17,3,-1
2020-08-18,2020-08-18,9,-1
2020-08-19,2020-08-19,6,-1
2020-08-20,2020-08-20,6,-1
2020-08-22,2020-08-22,17,-1
2020-08-23,2020-08-23,2,-1
2020-08-26,2020-08-26,6,-1
2020-08-27,2020-08-27,4,-1
2020-08-28,2020-08-28,4,-1
2020-09-01,2020-09-01,8,-1
2020-09-02,2020-09-02,2,-1
2020-09-03,2020-09-03,1,-1
2020-09-05,2020-09-05,17,-1
2020-09-06,2020-09-06,6,-1
2020-09-09,2020-09-09,1,-1
2020-09-12,2020-09-12,2,-1
2020-09-14,2020-09-14,1,-1
2020-09-15,2020-09-15,2,-1
2020-09-16,2020-09-16,7,-1
2020-09-18,2020-09-18,4,-1
2020-09-19,2020-09-19,2,-1
2020-09-20,2020-09-20,10,-1
2020-09-21,2020-09-21,1,-1
2020-09-22,2020-09-22,1,-1
