data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,11,210
2020-01-01,2020-12-31,1,994
2020-01-01,2020-12-31,7,368
2020-01-01,2020-12-31,4,555
2020-01-01,2020-12-31,2,862
2020-01-01,2020-12-31,8,312
2020-01-01,2020-12-31,5,517
2020-01-01,2020-12-31,6,451
2020-01-01,2020-12-31,10,239
2020-01-01,2020-12-31,14,147
2020-01-01,2020-12-31,3,635
2020-01-01,2020-12-31,9,290
2020-01-01,2020-12-31,16,78
2020-01-01,2020-12-31,15,86
2020-01-01,2020-12-31,12,189
2020-01-01,2020-12-31,13,149
2020-01-01,2020-12-31,19,16
2020-01-01,2020-12-31,17,65
2020-01-01,2020-12-31,18,30
2020-01-01,2020-12-31,20,3
