data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,2,2004
2020-01-01,2020-04-30,1,1912
2020-01-01,2020-04-30,42,22
2020-01-01,2020-04-30,33,44
2020-01-01,2020-04-30,15,146
2020-01-01,2020-04-30,9,258
2020-01-01,2020-04-30,3,1535
2020-01-01,2020-04-30,4,742
2020-01-01,2020-04-30,38,32
2020-01-01,2020-04-30,13,168
2020-01-01,2020-04-30,12,174
2020-01-01,2020-04-30,158,1
2020-01-01,2020-04-30,11,171
2020-01-01,2020-04-30,5,500
2020-01-01,2020-04-30,18,100
2020-01-01,2020-04-30,22,81
2020-01-01,2020-04-30,20,95
2020-01-01,2020-04-30,39,33
2020-01-01,2020-04-30,6,374
2020-01-01,2020-04-30,21,75
2020-01-01,2020-04-30,28,46
2020-01-01,2020-04-30,17,98
2020-01-01,2020-04-30,8,261
2020-01-01,2020-04-30,30,61
2020-01-01,2020-04-30,7,312
2020-01-01,2020-04-30,288,1
2020-01-01,2020-04-30,14,148
2020-01-01,2020-04-30,10,198
2020-01-01,2020-04-30,106,1
2020-01-01,2020-04-30,50,9
2020-01-01,2020-04-30,27,48
2020-01-01,2020-04-30,40,26
2020-01-01,2020-04-30,79,4
2020-01-01,2020-04-30,16,129
2020-01-01,2020-04-30,31,51
2020-01-01,2020-04-30,57,11
2020-01-01,2020-04-30,63,10
2020-01-01,2020-04-30,25,59
2020-01-01,2020-04-30,35,38
2020-01-01,2020-04-30,24,70
2020-01-01,2020-04-30,32,47
2020-01-01,2020-04-30,43,30
2020-01-01,2020-04-30,176,1
2020-01-01,2020-04-30,58,8
2020-01-01,2020-04-30,26,59
2020-01-01,2020-04-30,36,22
2020-01-01,2020-04-30,37,42
2020-01-01,2020-04-30,67,8
2020-01-01,2020-04-30,88,2
2020-01-01,2020-04-30,279,1
2020-01-01,2020-04-30,45,31
2020-01-01,2020-04-30,29,50
2020-01-01,2020-04-30,19,100
2020-01-01,2020-04-30,34,31
2020-01-01,2020-04-30,111,2
2020-01-01,2020-04-30,123,2
2020-01-01,2020-04-30,23,68
2020-01-01,2020-04-30,113,2
2020-01-01,2020-04-30,276,1
2020-01-01,2020-04-30,128,1
2020-01-01,2020-04-30,85,1
2020-01-01,2020-04-30,52,9
2020-01-01,2020-04-30,274,1
2020-01-01,2020-04-30,101,2
2020-01-01,2020-04-30,60,5
2020-01-01,2020-04-30,64,10
2020-01-01,2020-04-30,271,1
2020-01-01,2020-04-30,47,26
2020-01-01,2020-04-30,56,10
2020-01-01,2020-04-30,55,5
2020-01-01,2020-04-30,51,12
2020-01-01,2020-04-30,91,2
2020-01-01,2020-04-30,41,25
2020-01-01,2020-04-30,108,3
2020-01-01,2020-04-30,77,4
2020-01-01,2020-04-30,49,16
2020-01-01,2020-04-30,137,1
2020-01-01,2020-04-30,268,1
2020-01-01,2020-04-30,203,1
2020-01-01,2020-04-30,267,1
2020-01-01,2020-04-30,92,2
2020-01-01,2020-04-30,53,16
2020-01-01,2020-04-30,44,24
2020-01-01,2020-04-30,105,1
2020-01-01,2020-04-30,81,3
2020-01-01,2020-04-30,103,2
2020-01-01,2020-04-30,65,7
2020-01-01,2020-04-30,46,28
2020-01-01,2020-04-30,80,2
2020-01-01,2020-04-30,146,1
2020-01-01,2020-04-30,134,2
2020-01-01,2020-04-30,188,1
2020-01-01,2020-04-30,207,1
2020-01-01,2020-04-30,95,1
2020-01-01,2020-04-30,116,1
2020-01-01,2020-04-30,78,2
2020-01-01,2020-04-30,143,1
2020-01-01,2020-04-30,96,3
2020-01-01,2020-04-30,54,11
2020-01-01,2020-04-30,217,1
2020-01-01,2020-04-30,90,3
2020-01-01,2020-04-30,70,6
2020-01-01,2020-04-30,109,2
2020-01-01,2020-04-30,94,1
2020-01-01,2020-04-30,133,1
2020-01-01,2020-04-30,141,1
2020-01-01,2020-04-30,48,13
2020-01-01,2020-04-30,59,7
2020-01-01,2020-04-30,132,1
2020-01-01,2020-04-30,75,3
2020-01-01,2020-04-30,69,7
2020-01-01,2020-04-30,162,1
2020-01-01,2020-04-30,175,1
2020-01-01,2020-04-30,89,2
2020-01-01,2020-04-30,87,5
2020-01-01,2020-04-30,259,1
2020-01-01,2020-04-30,66,5
2020-01-01,2020-04-30,214,1
2020-01-01,2020-04-30,222,2
2020-01-01,2020-04-30,150,1
2020-01-01,2020-04-30,74,2
2020-01-01,2020-04-30,82,2
2020-01-01,2020-04-30,119,2
2020-01-01,2020-04-30,102,2
2020-01-01,2020-04-30,255,1
2020-01-01,2020-04-30,104,1
2020-01-01,2020-04-30,110,1
2020-01-01,2020-04-30,114,1
2020-01-01,2020-04-30,144,1
2020-01-01,2020-04-30,253,2
2020-01-01,2020-04-30,86,2
2020-01-01,2020-04-30,184,1
2020-01-01,2020-04-30,249,2
2020-01-01,2020-04-30,68,4
2020-01-01,2020-04-30,248,1
2020-01-01,2020-04-30,126,1
2020-01-01,2020-04-30,180,1
2020-05-01,2020-08-29,130,1
2020-05-01,2020-08-29,71,2
2020-05-01,2020-08-29,157,1
2020-05-01,2020-08-29,61,7
2020-05-01,2020-08-29,153,1
2020-05-01,2020-08-29,159,1
2020-05-01,2020-08-29,160,1
2020-05-01,2020-08-29,183,1
2020-08-30,2020-12-28,115,1
2020-08-30,2020-12-28,107,1
2020-08-30,2020-12-28,76,1
2020-08-30,2020-12-28,62,4
