data_inizio,data_fine,delay,frequenza_delay
2020-02-01,2020-03-02,0,1912
2020-02-01,2020-03-02,4,274
2020-03-03,2020-04-02,2,957
2020-03-03,2020-04-02,1,972
2020-03-03,2020-04-02,3,704
2020-03-03,2020-04-02,6,87
2020-03-03,2020-04-02,9,36
2020-03-03,2020-04-02,5,146
2020-03-03,2020-04-02,11,25
2020-03-03,2020-04-02,22,5
2020-03-03,2020-04-02,8,48
2020-03-03,2020-04-02,17,9
2020-03-03,2020-04-02,10,29
2020-03-03,2020-04-02,15,14
2020-03-03,2020-04-02,19,8
2020-03-03,2020-04-02,12,13
2020-03-03,2020-04-02,7,52
2020-03-03,2020-04-02,41,1
2020-03-03,2020-04-02,35,2
2020-03-03,2020-04-02,25,4
2020-03-03,2020-04-02,30,2
2020-03-03,2020-04-02,16,13
2020-04-03,2020-05-03,18,7
2020-04-03,2020-05-03,14,16
2020-04-03,2020-05-03,141,1
2020-04-03,2020-05-03,29,5
2020-04-03,2020-05-03,23,3
2020-04-03,2020-05-03,47,1
2020-04-03,2020-05-03,13,10
2020-04-03,2020-05-03,248,1
2020-04-03,2020-05-03,32,2
2020-04-03,2020-05-03,34,1
2020-04-03,2020-05-03,42,3
2020-10-06,2020-11-05,28,2
2020-10-06,2020-11-05,36,1
2020-10-06,2020-11-05,66,1
2020-10-06,2020-11-05,60,1
2020-10-06,2020-11-05,56,1
2020-10-06,2020-11-05,27,7
2020-10-06,2020-11-05,21,4
2020-11-06,2020-12-06,24,4
2020-11-06,2020-12-06,40,1
2020-11-06,2020-12-06,37,2
2020-11-06,2020-12-06,20,1
