data_inizio,data_fine,delay,frequenza_delay
2020-02-14,2020-03-06,9,166
2020-02-14,2020-03-06,10,127
2020-02-14,2020-03-06,23,57
2020-02-14,2020-03-06,114,1
2020-02-14,2020-03-06,5,250
2020-02-14,2020-03-06,4,272
2020-02-14,2020-03-06,11,97
2020-02-14,2020-03-06,6,193
2020-03-07,2020-03-28,18,71
2020-03-07,2020-03-28,2,166
2020-03-07,2020-03-28,36,18
2020-03-07,2020-03-28,12,94
2020-03-07,2020-03-28,25,28
2020-03-07,2020-03-28,15,81
2020-03-07,2020-03-28,24,37
2020-03-07,2020-03-28,16,72
2020-03-07,2020-03-28,13,107
2020-03-07,2020-03-28,37,25
2020-03-07,2020-03-28,7,202
2020-03-07,2020-03-28,31,25
2020-03-07,2020-03-28,3,207
2020-03-07,2020-03-28,30,23
2020-03-07,2020-03-28,17,63
2020-03-07,2020-03-28,26,31
2020-03-07,2020-03-28,14,97
2020-03-07,2020-03-28,20,61
2020-03-07,2020-03-28,1,60
2020-03-07,2020-03-28,65,1
2020-03-07,2020-03-28,39,19
2020-03-07,2020-03-28,8,180
2020-03-07,2020-03-28,77,3
2020-03-07,2020-03-28,19,44
2020-03-07,2020-03-28,32,22
2020-03-07,2020-03-28,33,17
2020-03-07,2020-03-28,29,29
2020-03-07,2020-03-28,61,3
2020-03-07,2020-03-28,59,3
2020-03-07,2020-03-28,41,15
2020-03-07,2020-03-28,38,12
2020-03-07,2020-03-28,68,3
2020-03-07,2020-03-28,35,24
2020-03-07,2020-03-28,102,1
2020-03-07,2020-03-28,21,42
2020-03-07,2020-03-28,45,7
2020-03-07,2020-03-28,48,14
2020-03-07,2020-03-28,40,13
2020-03-07,2020-03-28,62,2
2020-03-07,2020-03-28,57,5
2020-03-07,2020-03-28,22,26
2020-03-07,2020-03-28,54,2
2020-03-07,2020-03-28,60,5
2020-03-07,2020-03-28,28,27
2020-03-07,2020-03-28,49,8
2020-03-07,2020-03-28,56,4
2020-03-07,2020-03-28,134,1
2020-03-29,2020-04-19,44,6
2020-03-29,2020-04-19,51,9
2020-03-29,2020-04-19,43,5
2020-03-29,2020-04-19,55,3
2020-03-29,2020-04-19,50,5
2020-03-29,2020-04-19,47,8
2020-03-29,2020-04-19,42,13
2020-03-29,2020-04-19,58,4
2020-03-29,2020-04-19,67,3
2020-03-29,2020-04-19,52,4
2020-03-29,2020-04-19,34,19
2020-03-29,2020-04-19,64,3
2020-03-29,2020-04-19,53,3
2020-04-20,2020-05-11,27,20
2020-04-20,2020-05-11,82,1
2020-07-17,2020-08-07,160,1
2020-08-30,2020-09-20,86,1
2020-09-21,2020-10-12,46,14
2020-09-21,2020-10-12,91,1
2020-10-13,2020-11-03,75,1
2020-10-13,2020-11-03,72,1
2020-10-13,2020-11-03,69,1
2020-10-13,2020-11-03,66,1
2020-10-13,2020-11-03,63,2
