data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-08-28,10,12
2020-01-01,2020-08-28,5,19
2020-01-01,2020-08-28,31,8
2020-01-01,2020-08-28,27,9
2020-01-01,2020-08-28,6,19
2020-01-01,2020-08-28,50,1
2020-01-01,2020-08-28,3,25
2020-01-01,2020-08-28,2,20
2020-01-01,2020-08-28,1,16
2020-01-01,2020-08-28,51,2
2020-01-01,2020-08-28,23,3
2020-01-01,2020-08-28,43,2
2020-01-01,2020-08-28,12,9
2020-01-01,2020-08-28,11,10
2020-01-01,2020-08-28,28,9
2020-01-01,2020-08-28,15,10
2020-01-01,2020-08-28,17,8
2020-01-01,2020-08-28,18,8
2020-01-01,2020-08-28,25,5
2020-01-01,2020-08-28,7,17
2020-01-01,2020-08-28,36,2
2020-01-01,2020-08-28,8,14
2020-01-01,2020-08-28,83,1
2020-01-01,2020-08-28,19,9
2020-01-01,2020-08-28,14,5
2020-01-01,2020-08-28,45,2
2020-01-01,2020-08-28,13,12
2020-01-01,2020-08-28,32,5
2020-01-01,2020-08-28,38,4
2020-01-01,2020-08-28,30,6
2020-01-01,2020-08-28,44,5
2020-01-01,2020-08-28,152,1
2020-01-01,2020-08-28,16,11
2020-08-29,2021-04-26,22,8
2020-08-29,2021-04-26,33,4
2020-08-29,2021-04-26,29,4
2020-08-29,2021-04-26,63,1
2020-08-29,2021-04-26,26,5
2020-08-29,2021-04-26,4,19
2020-08-29,2021-04-26,20,2
2020-08-29,2021-04-26,21,4
2020-08-29,2021-04-26,58,1
2020-08-29,2021-04-26,9,8
2020-08-29,2021-04-26,35,3
2020-08-29,2021-04-26,54,1
2020-08-29,2021-04-26,56,1
2020-08-29,2021-04-26,37,7
2020-08-29,2021-04-26,46,1
2020-08-29,2021-04-26,53,1
2020-08-29,2021-04-26,40,1
2020-08-29,2021-04-26,42,1
2020-08-29,2021-04-26,34,2
2020-08-29,2021-04-26,41,3
2020-08-29,2021-04-26,39,1
2020-08-29,2021-04-26,24,2
