data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,18,13
2020-01-01,2020-12-31,11,31
2020-01-01,2020-12-31,9,26
2020-01-01,2020-12-31,7,17
2020-01-01,2020-12-31,17,10
2020-01-01,2020-12-31,24,2
2020-01-01,2020-12-31,57,1
2020-01-01,2020-12-31,16,14
2020-01-01,2020-12-31,35,4
2020-01-01,2020-12-31,34,4
2020-01-01,2020-12-31,8,29
2020-01-01,2020-12-31,62,1
2020-01-01,2020-12-31,4,14
2020-01-01,2020-12-31,20,5
2020-01-01,2020-12-31,14,23
2020-01-01,2020-12-31,5,15
2020-01-01,2020-12-31,12,29
2020-01-01,2020-12-31,15,13
2020-01-01,2020-12-31,21,6
2020-01-01,2020-12-31,25,3
2020-01-01,2020-12-31,6,14
2020-01-01,2020-12-31,3,8
2020-01-01,2020-12-31,10,23
2020-01-01,2020-12-31,22,6
2020-01-01,2020-12-31,26,3
2020-01-01,2020-12-31,36,4
2020-01-01,2020-12-31,13,12
2020-01-01,2020-12-31,28,6
2020-01-01,2020-12-31,46,2
2020-01-01,2020-12-31,59,1
2020-01-01,2020-12-31,50,1
2020-01-01,2020-12-31,32,2
2020-01-01,2020-12-31,19,14
2020-01-01,2020-12-31,27,5
2020-01-01,2020-12-31,64,1
2020-01-01,2020-12-31,38,1
2020-01-01,2020-12-31,60,1
2020-01-01,2020-12-31,23,4
2020-01-01,2020-12-31,52,2
2020-01-01,2020-12-31,31,1
2020-01-01,2020-12-31,33,1
2020-01-01,2020-12-31,48,3
2020-01-01,2020-12-31,51,1
2020-01-01,2020-12-31,29,2
2020-01-01,2020-12-31,45,1
2020-01-01,2020-12-31,37,3
2020-01-01,2020-12-31,41,2
2020-01-01,2020-12-31,40,1
2020-01-01,2020-12-31,39,1
2020-01-01,2020-12-31,30,1
2020-01-01,2020-12-31,2,1
