data_inizio,data_fine,delay,frequenza_delay
2020-03-02,2020-05-01,12,13
2020-03-02,2020-05-01,32,3
2020-03-02,2020-05-01,17,75
2020-03-02,2020-05-01,18,66
2020-03-02,2020-05-01,10,19
2020-03-02,2020-05-01,11,14
2020-03-02,2020-05-01,87,1
2020-03-02,2020-05-01,13,14
2020-03-02,2020-05-01,20,70
2020-03-02,2020-05-01,14,55
2020-03-02,2020-05-01,16,56
2020-03-02,2020-05-01,9,19
2020-03-02,2020-05-01,15,61
2020-03-02,2020-05-01,19,62
2020-03-02,2020-05-01,7,13
2020-03-02,2020-05-01,21,28
2020-03-02,2020-05-01,31,3
2020-03-02,2020-05-01,8,13
2020-03-02,2020-05-01,62,1
2020-03-02,2020-05-01,24,5
2020-03-02,2020-05-01,3,9
2020-03-02,2020-05-01,30,6
2020-03-02,2020-05-01,46,2
2020-03-02,2020-05-01,54,1
2020-03-02,2020-05-01,49,1
2020-03-02,2020-05-01,5,9
2020-03-02,2020-05-01,4,8
2020-03-02,2020-05-01,23,4
2020-03-02,2020-05-01,57,1
2020-03-02,2020-05-01,59,2
2020-03-02,2020-05-01,6,6
2020-03-02,2020-05-01,52,2
2020-03-02,2020-05-01,71,1
2020-03-02,2020-05-01,22,10
2020-05-02,2020-07-01,27,5
2020-05-02,2020-07-01,34,2
2020-07-02,2020-08-31,39,1
2020-09-01,2020-10-31,95,1
2020-09-01,2020-10-31,33,3
2020-09-01,2020-10-31,29,1
2020-09-01,2020-10-31,37,2
2020-09-01,2020-10-31,41,3
2020-09-01,2020-10-31,25,3
2020-11-01,2020-12-31,51,2
2020-11-01,2020-12-31,28,2
2020-11-01,2020-12-31,36,2
2020-11-01,2020-12-31,48,1
2020-11-01,2020-12-31,44,3
2020-11-01,2020-12-31,26,6
2020-11-01,2020-12-31,35,1
2020-11-01,2020-12-31,38,2
2020-11-01,2020-12-31,42,1
2020-11-01,2020-12-31,2,3
2020-11-01,2020-12-31,1,1
