data_inizio,data_fine,delay,frequenza_delay
2020-02-01,2020-03-02,3,913
2020-02-01,2020-03-02,18,937
2020-02-01,2020-03-02,2,1298
2020-02-01,2020-03-02,15,947
2020-02-01,2020-03-02,17,924
2020-03-03,2020-04-02,69,1
2020-03-03,2020-04-02,20,843
2020-03-03,2020-04-02,21,445
2020-03-03,2020-04-02,19,873
2020-03-03,2020-04-02,4,437
2020-03-03,2020-04-02,23,15
2020-03-03,2020-04-02,1,1327
2020-03-03,2020-04-02,16,884
2020-03-03,2020-04-02,14,512
2020-03-03,2020-04-02,33,10
2020-03-03,2020-04-02,22,19
2020-03-03,2020-04-02,5,249
2020-03-03,2020-04-02,9,83
2020-03-03,2020-04-02,71,1
2020-03-03,2020-04-02,11,66
2020-03-03,2020-04-02,40,7
2020-03-03,2020-04-02,34,12
2020-03-03,2020-04-02,65,1
2020-03-03,2020-04-02,13,65
2020-03-03,2020-04-02,77,1
2020-03-03,2020-04-02,12,71
2020-03-03,2020-04-02,31,11
2020-03-03,2020-04-02,6,135
2020-03-03,2020-04-02,8,102
2020-03-03,2020-04-02,7,104
2020-03-03,2020-04-02,59,2
2020-03-03,2020-04-02,66,1
2020-03-03,2020-04-02,10,90
2020-03-03,2020-04-02,43,6
2020-03-03,2020-04-02,78,1
2020-03-03,2020-04-02,95,1
2020-03-03,2020-04-02,28,6
2020-03-03,2020-04-02,25,16
2020-03-03,2020-04-02,38,8
2020-03-03,2020-04-02,26,18
2020-03-03,2020-04-02,52,1
2020-03-03,2020-04-02,24,10
2020-03-03,2020-04-02,49,9
2020-03-03,2020-04-02,129,1
2020-03-03,2020-04-02,32,11
2020-03-03,2020-04-02,37,12
2020-03-03,2020-04-02,61,2
2020-03-03,2020-04-02,51,2
2020-04-03,2020-05-03,35,5
2020-04-03,2020-05-03,27,13
2020-04-03,2020-05-03,46,5
2020-04-03,2020-05-03,64,1
2020-04-03,2020-05-03,53,2
2020-04-03,2020-05-03,48,1
2020-04-03,2020-05-03,57,2
2020-04-03,2020-05-03,44,4
2020-04-03,2020-05-03,36,4
2020-04-03,2020-05-03,30,10
2020-07-05,2020-08-04,155,1
2020-09-05,2020-10-05,54,2
2020-10-06,2020-11-05,76,1
2020-10-06,2020-11-05,29,8
2020-10-06,2020-11-05,67,1
2020-10-06,2020-11-05,63,1
2020-10-06,2020-11-05,41,4
2020-10-06,2020-11-05,42,2
2020-10-06,2020-11-05,39,3
2020-10-06,2020-11-05,45,6
2020-10-06,2020-11-05,56,1
2020-10-06,2020-11-05,47,2
2020-11-06,2020-12-06,50,2
