data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-12-31,15,300
2020-01-01,2020-12-31,16,298
2020-01-01,2020-12-31,18,292
2020-01-01,2020-12-31,7,8
2020-01-01,2020-12-31,21,119
2020-01-01,2020-12-31,14,169
2020-01-01,2020-12-31,19,274
2020-01-01,2020-12-31,20,286
2020-01-01,2020-12-31,17,297
2020-01-01,2020-12-31,4,3
2020-01-01,2020-12-31,12,13
2020-01-01,2020-12-31,11,12
2020-01-01,2020-12-31,1,3
2020-01-01,2020-12-31,22,1
2020-01-01,2020-12-31,9,5
2020-01-01,2020-12-31,26,1
2020-01-01,2020-12-31,2,5
2020-01-01,2020-12-31,5,4
2020-01-01,2020-12-31,37,1
2020-01-01,2020-12-31,13,20
2020-01-01,2020-12-31,6,6
2020-01-01,2020-12-31,8,3
2020-01-01,2020-12-31,10,17
2020-01-01,2020-12-31,41,2
2020-01-01,2020-12-31,36,1
2020-01-01,2020-12-31,3,1
