data_inizio,data_fine,delay,frequenza_delay
2020-02-24,2020-02-24,15,-1
2020-02-27,2020-02-27,19,-1
2020-02-27,2020-02-27,18,-1
2020-02-27,2020-02-27,17,-1
2020-02-29,2020-02-29,15,-1
2020-02-29,2020-02-29,20,-1
2020-03-01,2020-03-01,14,-1
2020-03-02,2020-03-02,14,-1
2020-03-03,2020-03-03,16,-1
2020-03-04,2020-03-04,20,-1
2020-03-05,2020-03-05,21,-1
2020-03-06,2020-03-06,18,-1
2020-03-07,2020-03-07,20,5
2020-03-08,2020-03-08,19,6
2020-03-09,2020-03-09,17,-1
2020-03-10,2020-03-10,20,7
2020-03-11,2020-03-11,16,9
2020-03-12,2020-03-12,18,10
2020-03-13,2020-03-13,15,17
2020-03-14,2020-03-14,20,16
2020-03-15,2020-03-15,20,10
2020-03-16,2020-03-16,19,21
2020-03-17,2020-03-17,17,17
2020-03-18,2020-03-18,19,25
2020-03-19,2020-03-19,20,17
2020-03-20,2020-03-20,16,15
2020-03-21,2020-03-21,15,26
2020-03-22,2020-03-22,15,34
2020-03-23,2020-03-23,19,20
2020-03-24,2020-03-24,16,19
2020-03-25,2020-03-25,18,33
2020-03-26,2020-03-26,15,15
2020-03-27,2020-03-27,16,35
2020-03-28,2020-03-28,20,22
2020-03-29,2020-03-29,15,34
2020-03-30,2020-03-30,14,9
2020-03-31,2020-03-31,18,37
2020-04-01,2020-04-01,21,14
2020-04-02,2020-04-02,16,27
2020-04-03,2020-04-03,16,16
2020-04-04,2020-04-04,15,24
2020-04-05,2020-04-05,18,27
2020-04-06,2020-04-06,17,18
2020-04-07,2020-04-07,20,19
2020-04-08,2020-04-08,15,20
2020-04-09,2020-04-09,18,23
2020-04-10,2020-04-10,15,23
2020-04-11,2020-04-11,17,21
2020-04-12,2020-04-12,16,15
2020-04-13,2020-04-13,14,6
2020-04-14,2020-04-14,16,10
2020-04-15,2020-04-15,16,29
2020-04-16,2020-04-16,17,23
2020-04-17,2020-04-17,18,22
2020-04-18,2020-04-18,20,27
2020-04-19,2020-04-19,19,9
2020-04-20,2020-04-20,20,19
2020-04-21,2020-04-21,18,21
2020-04-22,2020-04-22,19,22
2020-04-23,2020-04-23,18,26
2020-04-24,2020-04-24,20,23
2020-04-25,2020-04-25,19,14
2020-04-26,2020-04-26,19,11
2020-04-27,2020-04-27,18,8
2020-04-28,2020-04-28,18,21
2020-04-29,2020-04-29,16,15
2020-04-30,2020-04-30,16,23
2020-05-01,2020-05-01,19,9
2020-05-02,2020-05-02,17,7
2020-05-03,2020-05-03,20,7
2020-05-04,2020-05-04,19,9
2020-05-05,2020-05-05,18,8
2020-05-06,2020-05-06,15,11
2020-05-07,2020-05-07,17,12
2020-05-08,2020-05-08,20,6
2020-05-09,2020-05-09,17,7
2020-05-10,2020-05-10,20,4
2020-05-11,2020-05-11,19,4
2020-05-12,2020-05-12,19,4
2020-05-13,2020-05-13,19,11
2020-05-14,2020-05-14,19,7
2020-05-15,2020-05-15,16,4
2020-05-16,2020-05-16,16,5
2020-05-17,2020-05-17,20,-1
2020-05-18,2020-05-18,20,-1
2020-05-19,2020-05-19,18,4
2020-05-20,2020-05-20,16,10
2020-05-21,2020-05-21,20,7
2020-05-22,2020-05-22,17,-1
2020-05-23,2020-05-23,19,8
2020-05-24,2020-05-24,18,-1
2020-05-25,2020-05-25,20,-1
2020-05-26,2020-05-26,17,-1
2020-05-27,2020-05-27,19,5
2020-05-28,2020-05-28,15,-1
2020-05-29,2020-05-29,14,-1
2020-05-30,2020-05-30,16,5
2020-05-31,2020-05-31,17,-1
2020-06-01,2020-06-01,15,-1
2020-06-02,2020-06-02,18,-1
2020-06-03,2020-06-03,14,-1
2020-06-04,2020-06-04,17,-1
2020-06-05,2020-06-05,18,-1
2020-06-06,2020-06-06,19,-1
2020-06-07,2020-06-07,19,-1
2020-06-08,2020-06-08,16,-1
2020-06-09,2020-06-09,16,-1
2020-06-10,2020-06-10,17,4
2020-06-11,2020-06-11,14,-1
2020-06-12,2020-06-12,20,-1
2020-06-13,2020-06-13,18,-1
2020-06-14,2020-06-14,21,-1
2020-06-15,2020-06-15,18,-1
2020-06-16,2020-06-16,16,-1
2020-06-17,2020-06-17,14,-1
2020-06-18,2020-06-18,15,-1
2020-06-19,2020-06-19,19,-1
2020-06-20,2020-06-20,20,-1
2020-06-21,2020-06-21,16,-1
2020-06-22,2020-06-22,17,-1
2020-06-23,2020-06-23,16,6
2020-06-24,2020-06-24,20,-1
2020-06-25,2020-06-25,15,-1
2020-06-26,2020-06-26,18,-1
2020-06-27,2020-06-27,20,-1
2020-06-28,2020-06-28,16,-1
2020-06-29,2020-06-29,17,-1
2020-06-30,2020-06-30,15,-1
2020-07-01,2020-07-01,18,-1
2020-07-02,2020-07-02,15,-1
2020-07-03,2020-07-03,14,-1
2020-07-04,2020-07-04,21,-1
2020-07-05,2020-07-05,14,-1
2020-07-06,2020-07-06,19,-1
2020-07-07,2020-07-07,15,-1
2020-07-08,2020-07-08,21,-1
2020-07-09,2020-07-09,15,-1
2020-07-10,2020-07-10,19,-1
2020-07-11,2020-07-11,14,-1
2020-07-12,2020-07-12,15,-1
2020-07-13,2020-07-13,15,-1
2020-07-16,2020-07-16,21,-1
2020-07-17,2020-07-17,16,-1
2020-07-19,2020-07-19,17,-1
2020-07-20,2020-07-20,17,-1
2020-07-21,2020-07-21,20,-1
2020-07-22,2020-07-22,17,-1
2020-07-23,2020-07-23,19,-1
2020-07-24,2020-07-24,16,-1
2020-07-25,2020-07-25,20,-1
2020-07-26,2020-07-26,15,-1
2020-07-27,2020-07-27,20,-1
2020-07-28,2020-07-28,15,-1
2020-07-29,2020-07-29,16,-1
2020-07-30,2020-07-30,19,-1
2020-07-31,2020-07-31,15,-1
2020-08-01,2020-08-01,21,-1
2020-08-02,2020-08-02,18,-1
2020-08-03,2020-08-03,19,-1
2020-08-04,2020-08-04,21,-1
2020-08-05,2020-08-05,14,-1
2020-08-06,2020-08-06,18,-1
2020-08-07,2020-08-07,20,-1
2020-08-08,2020-08-08,17,-1
2020-08-09,2020-08-09,19,-1
2020-08-10,2020-08-10,18,-1
2020-08-11,2020-08-11,16,-1
2020-08-12,2020-08-12,16,-1
2020-08-13,2020-08-13,18,-1
2020-08-14,2020-08-14,19,-1
2020-08-15,2020-08-15,15,-1
2020-08-16,2020-08-16,17,-1
2020-08-17,2020-08-17,17,-1
2020-08-18,2020-08-18,20,-1
2020-08-19,2020-08-19,16,-1
2020-08-20,2020-08-20,20,-1
2020-08-21,2020-08-21,17,4
2020-08-22,2020-08-22,19,4
2020-08-23,2020-08-23,19,-1
2020-08-24,2020-08-24,17,-1
2020-08-25,2020-08-25,14,-1
2020-08-26,2020-08-26,17,-1
2020-08-27,2020-08-27,20,-1
2020-08-28,2020-08-28,16,4
2020-08-29,2020-08-29,19,4
2020-08-30,2020-08-30,16,-1
2020-08-31,2020-08-31,16,-1
2020-09-01,2020-09-01,19,-1
2020-09-02,2020-09-02,14,-1
2020-09-03,2020-09-03,19,4
2020-09-04,2020-09-04,17,-1
2020-09-05,2020-09-05,20,5
2020-09-06,2020-09-06,17,-1
2020-09-07,2020-09-07,18,-1
2020-09-08,2020-09-08,15,5
2020-09-09,2020-09-09,17,4
2020-09-10,2020-09-10,19,-1
2020-09-11,2020-09-11,16,7
2020-09-12,2020-09-12,17,-1
2020-09-13,2020-09-13,21,-1
2020-09-14,2020-09-14,17,-1
2020-09-15,2020-09-15,20,8
2020-09-16,2020-09-16,14,-1
2020-09-17,2020-09-17,17,4
2020-09-18,2020-09-18,16,7
2020-09-19,2020-09-19,16,4
2020-09-20,2020-09-20,20,-1
2020-09-21,2020-09-21,17,-1
2020-09-22,2020-09-22,16,7
2020-09-23,2020-09-23,18,4
2020-09-24,2020-09-24,18,4
2020-09-25,2020-09-25,17,5
2020-09-26,2020-09-26,19,6
2020-09-27,2020-09-27,15,-1
2020-09-28,2020-09-28,20,-1
2020-09-29,2020-09-29,21,5
2020-09-30,2020-09-30,17,7
2020-10-01,2020-10-01,20,10
2020-10-02,2020-10-02,19,7
2020-10-03,2020-10-03,20,8
2020-10-04,2020-10-04,14,-1
2020-10-05,2020-10-05,19,6
2020-10-06,2020-10-06,21,9
2020-10-07,2020-10-07,16,13
2020-10-08,2020-10-08,19,13
2020-10-09,2020-10-09,15,12
2020-10-10,2020-10-10,20,28
2020-10-11,2020-10-11,14,6
2020-10-12,2020-10-12,21,17
2020-10-13,2020-10-13,20,29
2020-10-14,2020-10-14,17,26
2020-10-15,2020-10-15,15,41
2020-10-16,2020-10-16,19,38
2020-10-17,2020-10-17,19,52
2020-10-18,2020-10-18,14,11
2020-10-19,2020-10-19,18,69
2020-10-20,2020-10-20,14,20
2020-10-21,2020-10-21,17,83
2020-10-22,2020-10-22,21,46
2020-10-23,2020-10-23,15,86
2020-10-24,2020-10-24,15,100
2020-10-25,2020-10-25,14,24
2020-10-26,2020-10-26,17,93
2020-10-27,2020-10-27,17,132
2020-10-28,2020-10-28,19,148
2020-10-29,2020-10-29,16,117
2020-10-30,2020-10-30,15,144
2020-10-31,2020-10-31,19,128
2020-11-01,2020-11-01,17,78
2020-11-02,2020-11-02,18,122
2020-11-03,2020-11-03,20,143
2020-11-04,2020-11-04,17,200
2020-11-05,2020-11-05,20,180
2020-11-06,2020-11-06,14,130
2020-11-07,2020-11-07,17,162
2020-11-08,2020-11-08,18,98
2020-11-09,2020-11-09,17,184
2020-11-10,2020-11-10,19,180
2020-11-11,2020-11-11,18,207
2020-11-12,2020-11-12,16,212
2020-11-13,2020-11-13,19,212
2020-11-14,2020-11-14,16,209
2020-11-15,2020-11-15,17,105
2020-11-16,2020-11-16,19,168
2020-11-17,2020-11-17,16,174
2020-11-18,2020-11-18,17,168
2020-11-19,2020-11-19,16,194
2020-11-20,2020-11-20,15,169
2020-11-21,2020-11-21,19,138
2020-11-22,2020-11-22,20,60
2020-11-23,2020-11-23,16,102
2020-11-24,2020-11-24,21,63
2020-11-25,2020-11-25,15,126
2020-11-26,2020-11-26,20,126
2020-11-27,2020-11-27,18,100
2020-11-28,2020-11-28,19,84
2020-11-29,2020-11-29,17,39
2020-11-30,2020-11-30,17,70
2020-12-01,2020-12-01,15,69
2020-12-02,2020-12-02,21,39
2020-12-03,2020-12-03,14,47
2020-12-04,2020-12-04,18,77
2020-12-05,2020-12-05,18,46
2020-12-06,2020-12-06,15,35
2020-12-07,2020-12-07,16,39
2020-12-08,2020-12-08,17,150
2020-12-09,2020-12-09,16,250
2020-12-10,2020-12-10,15,354
2020-12-11,2020-12-11,14,451
2020-12-12,2020-12-12,13,336
2020-12-13,2020-12-13,12,162
2020-12-14,2020-12-14,11,196
2020-12-15,2020-12-15,10,314
