data_inizio,data_fine,delay,frequenza_delay
2020-02-26,2020-02-27,2,-1
2020-02-29,2020-03-01,3,-1
2020-03-02,2020-03-03,2,-1
2020-03-02,2020-03-03,1,-1
2020-03-04,2020-03-05,2,-1
2020-03-05,2020-03-06,3,-1
2020-03-06,2020-03-07,1,5
2020-03-07,2020-03-08,2,-1
2020-03-08,2020-03-09,2,5
2020-03-09,2020-03-10,1,5
2020-03-10,2020-03-11,2,5
2020-03-11,2020-03-12,2,6
2020-03-12,2020-03-13,2,6
2020-03-13,2020-03-14,1,13
2020-03-14,2020-03-15,3,9
2020-03-15,2020-03-16,2,7
2020-03-16,2020-03-17,2,10
2020-03-17,2020-03-18,1,10
2020-03-18,2020-03-19,1,8
2020-03-19,2020-03-20,2,12
2020-03-20,2020-03-21,1,8
2020-03-21,2020-03-22,1,16
2020-03-22,2020-03-23,1,14
2020-03-23,2020-03-24,1,16
2020-03-24,2020-03-25,2,7
2020-03-25,2020-03-26,1,14
2020-03-26,2020-03-27,1,4
2020-03-27,2020-03-28,3,15
2020-03-28,2020-03-29,2,16
2020-03-29,2020-03-30,1,13
2020-03-30,2020-03-31,2,26
2020-03-31,2020-04-01,1,22
2020-04-01,2020-04-02,1,21
2020-04-02,2020-04-03,1,21
2020-04-03,2020-04-04,2,32
2020-04-04,2020-04-05,1,29
2020-04-05,2020-04-06,1,31
2020-04-06,2020-04-07,1,19
2020-04-07,2020-04-08,1,15
2020-04-08,2020-04-09,3,13
2020-04-09,2020-04-10,2,52
2020-04-10,2020-04-11,3,34
2020-04-11,2020-04-12,3,24
2020-04-12,2020-04-13,2,47
2020-04-13,2020-04-14,1,25
2020-04-14,2020-04-15,1,31
2020-04-15,2020-04-16,3,32
2020-04-16,2020-04-17,3,33
2020-04-17,2020-04-18,2,32
2020-04-18,2020-04-19,3,19
2020-04-19,2020-04-20,1,12
2020-04-20,2020-04-21,1,37
2020-04-21,2020-04-22,1,27
2020-04-22,2020-04-23,2,23
2020-04-23,2020-04-24,2,37
2020-04-24,2020-04-25,2,28
2020-04-25,2020-04-26,2,27
2020-04-26,2020-04-27,1,7
2020-04-27,2020-04-28,3,-1
2020-04-28,2020-04-29,2,31
2020-04-29,2020-04-30,1,14
2020-04-30,2020-05-01,2,8
2020-05-01,2020-05-02,1,17
2020-05-02,2020-05-03,1,17
2020-05-03,2020-05-04,1,-1
2020-05-04,2020-05-05,1,4
2020-05-05,2020-05-06,2,4
2020-05-06,2020-05-07,2,10
2020-05-07,2020-05-08,1,11
2020-05-08,2020-05-09,1,11
2020-05-09,2020-05-10,2,10
2020-05-10,2020-05-11,3,-1
2020-05-11,2020-05-12,3,-1
2020-05-12,2020-05-13,2,5
2020-05-13,2020-05-14,2,4
2020-05-14,2020-05-15,1,6
2020-05-15,2020-05-16,2,4
2020-05-16,2020-05-17,1,-1
2020-05-17,2020-05-18,3,-1
2020-05-18,2020-05-19,1,5
2020-05-19,2020-05-20,2,-1
2020-05-20,2020-05-21,2,6
2020-05-21,2020-05-22,3,4
2020-05-22,2020-05-23,1,4
2020-05-23,2020-05-24,1,-1
2020-05-24,2020-05-25,2,-1
2020-05-25,2020-05-26,1,-1
2020-05-26,2020-05-27,1,-1
2020-05-27,2020-05-28,2,-1
2020-05-28,2020-05-29,2,-1
2020-05-29,2020-05-30,2,-1
2020-05-30,2020-05-31,2,-1
2020-06-01,2020-06-02,3,-1
2020-06-02,2020-06-03,3,-1
2020-06-03,2020-06-04,3,-1
2020-06-04,2020-06-05,2,-1
2020-06-05,2020-06-06,1,-1
2020-06-08,2020-06-09,1,-1
2020-06-10,2020-06-11,3,-1
2020-06-11,2020-06-12,2,-1
2020-06-12,2020-06-13,3,-1
2020-06-15,2020-06-16,2,-1
2020-06-16,2020-06-17,1,-1
2020-06-17,2020-06-18,2,-1
2020-06-19,2020-06-20,2,-1
2020-06-20,2020-06-21,1,-1
2020-06-22,2020-06-23,3,-1
2020-06-23,2020-06-24,1,-1
2020-06-24,2020-06-25,1,-1
2020-06-26,2020-06-27,3,-1
2020-06-29,2020-06-30,2,-1
2020-07-01,2020-07-02,1,-1
2020-07-03,2020-07-04,1,-1
2020-07-04,2020-07-05,1,-1
2020-07-06,2020-07-07,2,-1
2020-07-10,2020-07-11,2,-1
