data_inizio,data_fine,delay,frequenza_delay
2020-02-15,2020-02-29,16,27
2020-02-15,2020-02-29,31,5
2020-02-15,2020-02-29,15,28
2020-03-01,2020-03-15,8,25
2020-03-01,2020-03-15,3,13
2020-03-01,2020-03-15,4,19
2020-03-01,2020-03-15,11,29
2020-03-01,2020-03-15,5,25
2020-03-01,2020-03-15,2,12
2020-03-01,2020-03-15,14,22
2020-03-01,2020-03-15,6,17
2020-03-01,2020-03-15,12,28
2020-03-01,2020-03-15,24,8
2020-03-01,2020-03-15,19,26
2020-03-01,2020-03-15,41,2
2020-03-01,2020-03-15,20,17
2020-03-01,2020-03-15,22,15
2020-03-16,2020-03-30,34,5
2020-03-16,2020-03-30,7,21
2020-03-16,2020-03-30,1,10
2020-03-16,2020-03-30,9,22
2020-03-16,2020-03-30,10,29
2020-03-16,2020-03-30,32,3
2020-03-16,2020-03-30,13,15
2020-03-16,2020-03-30,17,25
2020-03-16,2020-03-30,18,30
2020-03-16,2020-03-30,45,2
2020-03-16,2020-03-30,21,11
2020-03-31,2020-04-14,55,2
2020-03-31,2020-04-14,29,2
2020-03-31,2020-04-14,42,3
2020-03-31,2020-04-14,72,1
2020-03-31,2020-04-14,48,1
2020-04-30,2020-05-14,67,1
2020-05-15,2020-05-29,36,3
2020-08-13,2020-08-27,40,3
2020-09-12,2020-09-26,54,1
2020-09-12,2020-09-26,51,1
2020-09-27,2020-10-11,27,4
2020-09-27,2020-10-11,26,6
2020-09-27,2020-10-11,28,5
2020-09-27,2020-10-11,57,1
2020-10-12,2020-10-26,46,1
2020-10-12,2020-10-26,30,1
2020-10-12,2020-10-26,64,1
2020-10-12,2020-10-26,23,7
2020-10-12,2020-10-26,25,6
2020-10-12,2020-10-26,35,1
2020-10-12,2020-10-26,49,1
2020-10-27,2020-11-10,59,1
2020-10-27,2020-11-10,60,1
2020-10-27,2020-11-10,37,1
2020-10-27,2020-11-10,43,1
2020-10-27,2020-11-10,52,1
2020-11-11,2020-11-25,44,1
