data_inizio,data_fine,delay,frequenza_delay
2020-02-01,2020-03-02,7,9
2020-02-01,2020-03-02,13,11
2020-03-03,2020-04-02,5,8
2020-03-03,2020-04-02,11,11
2020-03-03,2020-04-02,9,10
2020-03-03,2020-04-02,12,10
2020-03-03,2020-04-02,4,8
2020-03-03,2020-04-02,17,8
2020-03-03,2020-04-02,15,8
2020-03-03,2020-04-02,20,16
2020-03-03,2020-04-02,16,8
2020-03-03,2020-04-02,37,1
2020-03-03,2020-04-02,18,7
2020-03-03,2020-04-02,21,7
2020-04-03,2020-05-03,10,10
2020-04-03,2020-05-03,3,5
2020-04-03,2020-05-03,14,12
2020-09-05,2020-10-05,27,1
2020-09-05,2020-10-05,22,3
2020-10-06,2020-11-05,8,9
2020-10-06,2020-11-05,2,5
2020-10-06,2020-11-05,26,3
2020-10-06,2020-11-05,25,2
2020-10-06,2020-11-05,19,3
2020-10-06,2020-11-05,1,3
2020-10-06,2020-11-05,6,5
2020-10-06,2020-11-05,24,1
2020-11-06,2020-12-06,36,1
