data_inizio,data_fine,delay,frequenza_delay
2020-01-01,2020-04-30,62,13
2020-01-01,2020-04-30,48,33
2020-01-01,2020-04-30,28,59
2020-01-01,2020-04-30,2,40
2020-01-01,2020-04-30,17,159
2020-01-01,2020-04-30,22,98
2020-01-01,2020-04-30,10,111
2020-01-01,2020-04-30,29,62
2020-01-01,2020-04-30,14,129
2020-01-01,2020-04-30,51,24
2020-01-01,2020-04-30,8,94
2020-01-01,2020-04-30,18,154
2020-01-01,2020-04-30,27,56
2020-01-01,2020-04-30,34,39
2020-01-01,2020-04-30,7,84
2020-01-01,2020-04-30,59,16
2020-01-01,2020-04-30,6,75
2020-01-01,2020-04-30,40,42
2020-01-01,2020-04-30,13,126
2020-01-01,2020-04-30,20,138
2020-01-01,2020-04-30,15,127
2020-01-01,2020-04-30,72,12
2020-01-01,2020-04-30,97,2
2020-01-01,2020-04-30,45,30
2020-01-01,2020-04-30,16,135
2020-01-01,2020-04-30,12,130
2020-01-01,2020-04-30,25,80
2020-01-01,2020-04-30,9,112
2020-01-01,2020-04-30,300,1
2020-01-01,2020-04-30,26,67
2020-01-01,2020-04-30,11,106
2020-01-01,2020-04-30,85,2
2020-01-01,2020-04-30,23,86
2020-01-01,2020-04-30,24,82
2020-01-01,2020-04-30,5,71
2020-01-01,2020-04-30,31,55
2020-01-01,2020-04-30,19,146
2020-01-01,2020-04-30,21,107
2020-01-01,2020-04-30,33,42
2020-01-01,2020-04-30,50,32
2020-01-01,2020-04-30,44,17
2020-01-01,2020-04-30,39,29
2020-01-01,2020-04-30,64,10
2020-01-01,2020-04-30,79,5
2020-01-01,2020-04-30,43,28
2020-01-01,2020-04-30,4,63
2020-01-01,2020-04-30,89,1
2020-01-01,2020-04-30,36,53
2020-01-01,2020-04-30,30,46
2020-01-01,2020-04-30,108,3
2020-01-01,2020-04-30,41,28
2020-01-01,2020-04-30,114,2
2020-01-01,2020-04-30,137,1
2020-01-01,2020-04-30,57,18
2020-01-01,2020-04-30,37,37
2020-01-01,2020-04-30,42,24
2020-01-01,2020-04-30,61,14
2020-01-01,2020-04-30,70,8
2020-01-01,2020-04-30,282,1
2020-01-01,2020-04-30,101,1
2020-01-01,2020-04-30,84,4
2020-01-01,2020-04-30,93,3
2020-01-01,2020-04-30,52,19
2020-01-01,2020-04-30,139,1
2020-01-01,2020-04-30,3,36
2020-01-01,2020-04-30,47,25
2020-01-01,2020-04-30,38,35
2020-01-01,2020-04-30,179,1
2020-01-01,2020-04-30,56,16
2020-01-01,2020-04-30,32,50
2020-01-01,2020-04-30,69,5
2020-01-01,2020-04-30,60,11
2020-01-01,2020-04-30,35,35
2020-01-01,2020-04-30,73,7
2020-01-01,2020-04-30,143,1
2020-01-01,2020-04-30,120,1
2020-01-01,2020-04-30,58,21
2020-01-01,2020-04-30,1,6
2020-01-01,2020-04-30,117,1
2020-01-01,2020-04-30,53,22
2020-01-01,2020-04-30,66,6
2020-01-01,2020-04-30,49,21
2020-01-01,2020-04-30,170,1
2020-01-01,2020-04-30,75,6
2020-01-01,2020-04-30,99,3
2020-01-01,2020-04-30,80,5
2020-01-01,2020-04-30,68,5
2020-01-01,2020-04-30,90,1
2020-01-01,2020-04-30,46,26
2020-01-01,2020-04-30,146,1
2020-01-01,2020-04-30,175,1
2020-01-01,2020-04-30,124,1
2020-01-01,2020-04-30,54,21
2020-01-01,2020-04-30,98,3
2020-01-01,2020-04-30,78,5
2020-01-01,2020-04-30,132,1
2020-01-01,2020-04-30,156,1
2020-01-01,2020-04-30,147,2
2020-01-01,2020-04-30,116,2
2020-01-01,2020-04-30,65,8
2020-01-01,2020-04-30,77,2
2020-01-01,2020-04-30,82,3
2020-01-01,2020-04-30,125,1
2020-01-01,2020-04-30,107,1
2020-01-01,2020-04-30,173,1
2020-01-01,2020-04-30,136,1
2020-01-01,2020-04-30,92,1
2020-01-01,2020-04-30,133,2
2020-01-01,2020-04-30,140,2
2020-01-01,2020-04-30,104,1
2020-01-01,2020-04-30,103,1
2020-01-01,2020-04-30,268,1
2020-01-01,2020-04-30,94,2
2020-01-01,2020-04-30,71,5
2020-01-01,2020-04-30,63,6
2020-01-01,2020-04-30,76,6
2020-01-01,2020-04-30,163,1
2020-01-01,2020-04-30,155,1
2020-01-01,2020-04-30,271,1
2020-01-01,2020-04-30,95,1
2020-01-01,2020-04-30,118,1
2020-01-01,2020-04-30,67,4
2020-01-01,2020-04-30,74,4
2020-01-01,2020-04-30,86,1
2020-01-01,2020-04-30,111,1
2020-01-01,2020-04-30,115,1
2020-01-01,2020-04-30,121,1
2020-01-01,2020-04-30,145,1
2020-01-01,2020-04-30,157,1
2020-01-01,2020-04-30,105,1
2020-01-01,2020-04-30,55,13
2020-01-01,2020-04-30,122,1
2020-05-01,2020-08-29,81,3
2020-05-01,2020-08-29,189,1
2020-08-30,2020-12-28,91,1
2020-08-30,2020-12-28,87,1
2020-08-30,2020-12-28,83,1
